商品ID,产品型号,评论内容,点赞,评分,评论id,会员级别,评论时间
100006808184,8GB+128GB 黑色,120刷新率很给力。系统还可以，手机重量换来的6000毫安大电池也是很值得的。眼睛logo确实看着舒服。新机琢磨了很久，双肩键还能调整灵敏度很舒心，屏幕也还不错个人是能接受的，还贴心得送了个壳子，还有半年碎屏险。屏下指纹也准确灵敏。总体比较满意，可以入手。屏真的够大。性能颜值是都有了,61,5,罗***笑,PLUS会员,2019-07-31 00:00:58
100006808184,8GB+128GB 黑色,当晚12点抢到，次日上午到货。激动了一天。晚上到家拆机，比起一代rog，总体显示屏更清晰，最高可以120刷新频率。机身更修长，更适合游戏玩家。面部识别加指纹识别都超级好用。触压开启X模式，cpu直接最高2.4Mhz。感觉已经是王者了！充满电在游戏状态下显示可以超过20小时时间。各种方便小功能发现中，****超级好用。,108,5,j***a,PLUS会员,2019-07-30 18:51:33
100006808184,8GB+128GB 黑色,机器很棒很喜欢，rog难得不败家，开始持家了！上手第一感觉是重，所以买来也只是用着玩游戏，不会考虑打电话什么的，当备用机完美，主力机不行（说到这里华硕考不考虑给这台机器加个给别的机子充电的功能啊）再就是压力边框，放成手电筒之类的超级好用。音质也很好，很立体。,32,5,DriftingDinghy,PLUS会员,2019-07-31 00:00:19
100006808184,8GB+128GB 黑色,第一次入手华硕手机，手机到手玩了几天了，上手感觉手感很好，做工精致，主要是屏幕长，玩的跑跑卡丁车，开启X模式起飞，温度控制可以不超过40度。系统更新后很多细节完善了，电池容量不必担心，妥妥两天。屏幕还可以！，相机一般般吧，毕竟是游戏手机，这个价格，这个配置，真香！,0,5,j***多,PLUS会员,2019-08-04 10:05:24
100006808184,8GB+128GB 黑色,ROG败家之眼，真的很香   就是玩游戏的话一定要风扇不然很烫  可能我是个色弱的原因  没有看出来这个屏幕哪里有不好的地方  120hz刷新频率 用了回不去了  平常使用感觉可以   第一感觉这个手机就是大  好看  炫酷灯闪闪的  运行很快   iPhone8p可以丢一边了  就当主力机  杠杠的 京东这个手机也太好抢了  抢了两回 全抢到了,13,5,李云山的JD,PLUS会员,2019-08-07 10:05:32
100006808184,8GB+128GB 黑色,6000MA电池，最强CPU骁龙855PLU，4天线设计，~定制专属BUFF，液冷散热，120HZ电竞屏，满满都是爱，背部信仰之眼ROG灯光！走到那里都是最亮的你！为信仰充值！,43,5,华***威,企业会员,2019-07-30 18:51:54
100006808184,8GB+128GB 黑色,手机收到了，当我开机的一瞬间我就喜欢上它了，上手感觉也很好。手机背面败家之眼灯光设置，酷，大爱120Hz电竞屏，ROG手机自带的散热设计，反正我用下来是最好的，玩了把王者，看不出掉电，电池#，手机的扬声器，开机时候吓了一大跳，超立体声，声音又响，喜欢侧边的那个接口，充电线不卡手，打了两局吃鸡，不烫，游戏加载速度没骗人，比队友的快得明显，没有理由的喜欢，为信仰充值,83,5,j***f,注册会员,2019-07-30 19:06:09
100006808184,8GB+128GB 黑色,这只眼睛就是信仰！有它性能加成200%。之前败家之眼说出游戏手机就很惊讶，手机也能这么搞，1代的时候就看着很好奇，2代的电池和快充一下就让我果断下手。最好的CPU，大内存大储存可以很容易的带起各种大游戏。这次这六千毫安的电池，真能畅爽的玩上半天时间。拿上手去设置开启了90Hz，就感觉丝一般顺滑，120准备后期习惯了再去开启。手机的握感加肩键，打游戏的体验，真的是当之无愧的游戏手机。,12,5,梦域,PLUS会员,2019-07-31 00:00:43
100006808184,8GB+128GB 黑色,手机玩了四天了，上手感觉手感很好，做工精致，没有想象中沉重，主要是大块头就得配大手机，屏幕长，打游戏开启X模式起飞，温度控制可以不超过40度。系统更新后很多细节完善了，电池容量不必担心，妥妥两天。两个虚拟键吃鸡必备。屏幕没颗粒感啊，可以可以，相机中规中矩，这个价格，这个配置，你还想要啥，买就完事儿了！,11,5,j***河,PLUS会员,2019-07-31 00:00:12
100006808184,8GB+128GB 黑色,31号晚上0点下单，8号才拿到手机，真是激动。打开以后还是京东一贯自信的包装。手机开机时音效真不错，抓紧设置完了之后一直打游戏，我就想跟大家说俩字儿：真爽！用这手机打游戏真是爽！屏幕够大，视觉效果震撼，前置双扬声器，打游戏立体声，而且不会被手挡住声音，电池够大，打游戏真是不担心续航，打了一下午王者农药，还有50多个电。我买的这款很不错，屏幕完全没有网上那些人说的问题。性能之巅，游戏首选，持家之眼！强烈推荐！！,3,5,小刘同学啊-,PLUS会员,2019-07-31 00:00:43
