行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
上海市本级,嘉定区江桥镇北社区G1A-01地块,嘉定区江桥镇（江桥镇北社区G1A-01地块）,中低价位、中小套型普通商品住房用地,房地产业,2.581790,挂牌出让,70,23328.0000,下限:1.00上限:2.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=53e6f7cd-a380-4695-abf2-0f6105ab69cb,2019-08-27 13:25:11
上海市本级,松江区中山街道工业区ZS-13-001-1号地块,松江区中山街道（松江区中山街道工业区ZS-13-001-1号地块）,工业用地,化学原料及化学制品制造业,2.333330,挂牌出让,20,2195.0000,下限:1.00上限:2.00,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e049ec16-ea50-468c-a698-201b6080267d,2019-08-27 13:25:13
上海市本级,松江工业区出口加工区A区III-90号（13-01A号),松江区工业区(松江工业区出口加工区A区III-90号地块）,工业用地,仓储业,13.647200,挂牌出让,20,12520.0000,下限:1.00上限:1.67,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d14c450f-c085-4568-8f66-74da14f2e4ef,2019-08-27 13:25:14
上海市本级,松江区工业区IV-159号（SJC10023单元17-02A）,松江东部工业区（松江区工业区IV-159号地块）,工业用地,化学原料及化学制品制造业,2.333310,挂牌出让,20,2070.0000,下限:1.00上限:0.94,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d968ac6a-70cb-479e-8e49-01735c5b586b,2019-08-27 13:25:15
上海市本级,浦东新区祝桥镇1单元1-3-4地块,浦东新区祝桥镇,中低价位、中小套型普通商品住房用地,房地产业,14.362720,挂牌出让,70,66155.0000,下限:1.00上限:1.40,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=990d9704-e9a1-412f-9076-3e926ce180e7,2019-08-27 13:25:17
上海市本级,闵行区浦江镇工-262号地块,闵行区浦江镇126街坊P1宗地（闵行区浦江镇工-262号地块）,工业用地,通用设备制造业,2.259340,挂牌出让,20,4070.0000,下限:1.20上限:1.20,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b2b7def8-02a7-4951-9793-16123d4297bf,2019-08-27 13:25:18
上海市本级,松江区车墩镇南站大型居住社区C18-24-01号地块,松江区车墩镇,中低价位、中小套型普通商品住房用地,房地产业,4.998380,挂牌出让,70,26263.0000,下限:2.00上限:2.00,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e85f4385-f491-4753-bf59-0d385149b54a,2019-08-27 13:25:20
上海市本级,闵行区新虹街道MHSB0001单元23-03地块（“城中村”改造项目-红星村）,华漕镇245街坊P1,中低价位、中小套型普通商品住房用地,房地产业,6.949460,挂牌出让,70,80100.0000,下限:1.00上限:2.18,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=410e4aeb-4685-42a4-9fc8-fed552858e79,2019-08-27 13:25:21
上海市本级,闵行区吴泾镇闵行新城MHC11101单元01A-04A、03A-04A地块,吴泾镇356街坊,中低价位、中小套型普通商品住房用地,房地产业,10.626960,挂牌出让,70,97390.0000,下限:1.82上限:1.84,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c0e2ad03-84ce-4057-aa5e-88be7e3e4c3d,2019-08-27 13:25:23
上海市本级,松江区车墩镇松江南站大型居住社区C19-13-02号地块,松江区车墩镇,中低价位、中小套型普通商品住房用地,房地产业,4.548690,挂牌出让,70,29130.0000,下限:1.00上限:2.00,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f8bc05a4-c654-4597-a2f7-1671ab7af1e0,2019-08-27 13:25:25
上海市本级,闵行区七宝镇七宝社区MHP0-0105单元10-04地块,闵行区七宝镇768街坊P1宗地,中低价位、中小套型普通商品住房用地,房地产业,7.712080,挂牌出让,70,106428.0000,下限:1.00上限:2.00,2017年12月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=819d55dc-0fca-4286-b7a8-1a9e173bc18c,2019-08-27 13:25:27
上海市本级,金山区亭林镇亭林大型居住区21-03地块,金山区亭林镇16街坊P1宗地,中低价位、中小套型普通商品住房用地,房地产业,3.951340,挂牌出让,70,11949.0000,下限:1.00上限:1.80,2017年12月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d9b4e3bc-5f1a-4220-8a64-35a6882b48d0,2019-08-27 13:25:28
上海市本级,闵行区闵行新城梅陇社区MHP0-0303单元02-07-02地块,闵行区梅陇镇4街坊P1,中低价位、中小套型普通商品住房用地,房地产业,5.463140,挂牌出让,70,74150.0000,下限:2.00上限:2.00,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=26569ebb-437b-4937-a131-d6d1ecd554b2,2019-08-27 13:25:30
上海市本级,嘉定区菊园新区1401号地块,嘉定区菊园新区（菊园新区1401号地块）,工业用地,研究与试验发展,0.587220,挂牌出让,50,1144.0000,下限:2.00上限:2.00,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=81d006ba-a341-47f8-86c8-601dca9a5e00,2019-08-27 13:25:31
上海市本级,黄浦区南浦社区S010601单元F01-01地块,黄浦区半淞园街道,其他普通商品住房用地,房地产业,2.003810,挂牌出让,70,48949.0000,下限:2.50上限:2.50,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=142fa51c-c2fc-40f3-a4e9-a06b5abee860,2019-08-27 13:25:33
上海市本级,浦东新区外高桥新市镇G03-06地块,浦东新区高行镇,中低价位、中小套型普通商品住房用地,房地产业,5.607250,挂牌出让,70,70900.0000,下限:1.00上限:2.20,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=30efe182-27f9-477a-89e3-cf141b640234,2019-08-27 13:25:34
上海市本级,浦东新区16号线周浦站周边地区控制性详细规划10-05地块,浦东新区周浦镇29街坊P1宗地,其他普通商品住房用地,房地产业,3.873520,挂牌出让,70,30051.0000,下限:1.00上限:1.80,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4350ee04-60f5-4864-b719-ed29e4cc0379,2019-08-27 13:25:36
上海市本级,闵行区莘庄工业区MHP0-0501单元34AA-01A地块,颛桥镇760街坊P1宗地,其他普通商品住房用地,房地产业,2.735680,挂牌出让,70,33743.0000,下限:1.00上限:2.35,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=92ddf2ed-f5e3-4485-92f8-4c1cc0029346,2019-08-27 13:25:37
上海市本级,浦东新区大团镇NH020201单元17-01地块,15430街道0014街坊P1宗地,中低价位、中小套型普通商品住房用地,房地产业,4.076450,挂牌出让,70,14676.0000,下限:1.00上限:1.80,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=967234b0-b2e8-4ba0-aef8-ba5269bf5bbc,2019-08-27 13:25:38
