行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
上饶市本级,中汽瑞华,上饶经济技术开发区凤凰西大道以东、中汽瑞华用地以南,工业用地,汽车制造,6.761150,拍卖出让,50,649.1000,下限:0.00上限:1.50,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c9d52e9e-7132-407a-add2-afc1242e7f37,2019-08-27 22:02:09
上饶市本级,上饶高铁经济试验区投资建设有限公司,上饶市高铁新区吴楚大道东侧、天佑大道南侧、信源路西侧、茶圣路北侧B地块,商务金融用地,房地产业,3.255400,拍卖出让,40,8350.0000,下限:1.00上限:2.60,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=32013e37-c063-44fe-9f70-af4ca6311231,2019-08-27 22:02:15
上饶市本级,云济投资,上饶经济技术开发区瑞华北路以北、凤凰西大道以东,批发零售用地,房地产业,12.148010,拍卖出让,批发零售用地40年;住宿餐饮用地40年;其他普通商品住房用地70年;,54600.0000,下限:1.00上限:2.00,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=13848e7d-ed20-4f46-b4c1-7ae25187ad6e,2019-08-27 22:02:19
上饶市本级,年产5000台电梯项目,上饶市信州区朝阳镇盘石村,工业用地,通用设备制造业,1.328640,拍卖出让,50,235.0000,下限:0.80上限:1.20,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c6a386a0-3cfa-4cf2-8440-1f411aa5af34,2019-08-27 22:02:25
上饶市本级,安厦房产地块二,上饶市高铁新区，凤凰大道南侧、吴楚大道西侧、茶圣东路北侧,其他普通商品住房用地,房地产业,6.991800,挂牌出让,70,18250.0000,下限:1.00上限:2.20,2017年11月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a5c82ddc-98c5-4cf8-9a14-7e8350f976e5,2019-08-27 22:02:30
上饶市本级,安厦房产地块一,上饶市高铁新区凤凰大道南侧、茶圣东路北侧、24米规划道路西侧,其他普通商品住房用地,房地产业,9.653100,挂牌出让,70,24620.0000,下限:1.00上限:2.20,2017年11月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ba6ef142-b69b-4982-b89a-5ad69cc40a3e,2019-08-27 22:02:34
上饶市本级,和济投资,上饶经济技术开发区兴业大道以西、规划用地以北,工业用地,仪器仪表及文化、办公用机械制造业,2.003830,拍卖出让,50,192.4000,下限:0.00上限:1.50,2017年11月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d22a81b2-c3a7-4b64-9a3a-ae5ab014c2b5,2019-08-27 22:02:39
上饶市本级,腾勒动力二期,上饶经济技术开发区新科大道以南、拓展路以西,工业用地,汽车制造,4.813700,拍卖出让,50,462.2000,下限:0.00上限:1.50,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6713f0f7-ae2f-44f6-be4f-179a7b1acc80,2019-08-27 22:02:43
上饶市本级,汉腾汽车,上饶经济技术开发区汉腾用地以南、规划用地以西,工业用地,汽车制造,2.070900,拍卖出让,50,199.0000,下限:0.00上限:1.50,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7018752c-ce64-4922-935f-869a8f660d84,2019-08-27 22:02:48
上饶市本级,沙溪镇商业项目,信州区沙溪镇胜利居委会320国道东侧,住宿餐饮用地,住宿和餐饮业,0.227170,挂牌出让,40,270.0000,下限:1.00上限:1.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aa608019-7dcc-4b1a-83d6-eb180da4a227,2019-08-27 22:02:52
上饶市本级,佳兴塑胶,上饶经济技术开发区潭林路以南、拓展路以西,工业用地,汽车制造,3.000100,拍卖出让,50,288.1000,下限:0.00上限:1.50,2017年11月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2b62a150-b7c0-4e44-a974-b1dc6ab7afa8,2019-08-27 22:02:56
上饶市本级,崧宸实业二期,上饶经济技术开发区新科大道以南、规划北路以东,工业用地,家具制造业,3.000890,拍卖出让,50,288.1000,下限:0.00上限:1.50,2017年11月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=59561d99-ec9e-4f0e-b535-feefb97bee91,2019-08-27 22:03:02
上饶市本级,安驰新能源二期,上饶经济技术开发区潭林路以北、拓展路以西,工业用地,汽车制造,5.427650,拍卖出让,50,521.1000,下限:0.00上限:1.50,2017年11月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6a9fac8d-2365-4a2b-ba13-fbc007bd276f,2019-08-27 22:03:07
上饶市本级,博萨汽车部件,上饶经济技术开发区兴业大道以东、潭林路以南,工业用地,汽车制造,6.660850,拍卖出让,50,639.5000,下限:0.00上限:1.50,2017年11月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d746328e-a296-40f3-a761-b9bbf1b3fcf7,2019-08-27 22:03:15
上饶市本级,华芯科技项目,上饶经济技术开发区凤凰西大道以西、董团大道以北,工业用地,汽车制造,4.660070,拍卖出让,50,447.4000,下限:0.00上限:1.50,2017年10月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0b0094ab-f1f7-4e24-a1b9-e441572c4adc,2019-08-27 22:03:19
上饶市本级,铭中机械,上饶经济技术开发区规划道路以西、锦晨用地以南,工业用地,纺织服装、鞋、帽制造业,1.073080,拍卖出让,50,103.1000,下限:0.00上限:1.50,2017年10月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f1eca7e4-5966-4d50-9e64-db6e9ccef7e7,2019-08-27 22:03:25
