行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
临翔区,2017L-006,临翔区忙畔街道忙令社区卧维安置区北侧,其他普通商品住房用地,房地产业,2.811800,拍卖出让,住宅70、商业40,3350.0000,下限:1.00上限:1.30,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=21426534-1385-4d20-9ef6-4bcdc1a421fe,2019-08-27 21:53:10
临翔区,2017L-004,临翔区忙畔街道忙令社区卧维安置区北侧,其他普通商品住房用地,房地产业,4.866300,拍卖出让,住宅70，商业40,5750.0000,下限:1.00上限:1.30,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=96f333bb-14e6-4ffa-98a1-ba034fe6331a,2019-08-27 21:53:16
临翔区,2017L-005,临翔区忙畔街道忙令社区卧维安置区北侧,其他普通商品住房用地,房地产业,4.331500,拍卖出让,住宅70，商业40,5450.0000,下限:1.00上限:1.30,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c7654a78-28b8-4748-b000-795aa0bdae6f,2019-08-27 21:53:18
临翔区,2017L-007,临翔区忙畔街道忙令社区卧维安置区北侧,其他普通商品住房用地,房地产业,6.198200,拍卖出让,住宅70、商业40,7800.0000,下限:1.00上限:1.30,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=888f73e1-f3a8-46d3-b4c3-c264dd0776fa,2019-08-27 21:53:20
沧源佤族自治县,临沧市尚品天城房地产开发有限公司,沧源县勐董镇,其他商服用地,房地产业,2.096400,挂牌出让,其他商服用地40年;中低价位、中小套型普通商品住房用地70年;,1939.1700,下限:1.00上限:4.00,2017年12月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=32b9493c-6406-4e46-aae4-939028e67f14,2019-08-27 21:53:26
临翔区,2017L-002,位于临沧城博尚片区,其他商服用地,商务服务业,0.133300,拍卖出让,40年,115.0000,下限:1.00上限:1.20,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=400039dc-680b-428d-bcde-45de5f4d5514,2019-08-27 21:53:29
临翔区,2017L-001,位于临沧城南部，大转山加油站（南汀河）东南侧，凤翔街道南信桥董家寨旁,其他普通商品住房用地,房地产业,3.049400,拍卖出让,住宅70，商业40,1660.0000,下限:1.00上限:1.50,2017年12月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=14bdc7cc-d64b-4ef8-8413-f8b8609fb836,2019-08-27 21:53:31
临翔区,2014LCCB-004,临沧城南片区，南汀河滨河路西侧,其他普通商品住房用地,房地产业,6.997700,拍卖出让,住宅70、商业40,25400.0000,下限:3.00上限:3.50,2017年12月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=78de5992-637f-462b-93ff-eb53e27495f5,2019-08-27 21:53:35
耿马傣族佤族自治县,耿马傣族佤族自治县国有资产经营有限责任公司,耿马自治县孟定镇艾叶大道旁,其他普通商品住房用地,住宿业,1.366732,挂牌出让,70,1280.6960,下限:2.50上限:3.00,2017年11月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0c7a0ed5-8502-48c8-98fa-27c9c5e09748,2019-08-27 21:53:37
耿马傣族佤族自治县,耿马傣族佤族自治县国有资产经营有限责任公司,耿马自治县孟定镇艾叶大道旁,其他普通商品住房用地,住宿业,1.809191,挂牌出让,70,1695.3020,下限:2.50上限:3.00,2017年11月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2360e015-9043-41a3-ba22-f9aa29ca3b01,2019-08-27 21:53:40
