行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
丽水市本级,丽水南城七百秧区块A-14-1商住地块(丽水恒品房地产开发有限公司),丽水南城七百秧东五路（兴惠路）与南二路（成大街）交叉口东北侧(丽水南城七百秧区块A-14-1商住地块),中低价位、中小套型普通商品住房用地,房地产业,8.018900,挂牌出让,其他商服用地40年;普通商品住房用地70,84550.0000,下限:1.90上限:2.20,2017年12月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fbc3ee5a-2716-4237-98b8-f56da3d974b5,2019-08-27 22:35:28
丽水市本级,水东村委西北侧地块,水东村委西北侧,批发零售用地,零售业,0.976900,挂牌出让,40,2505.0000,下限:0.70上限:0.85,2017年11月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=15a5f522-5863-4411-8d70-e018bc81890c,2019-08-27 22:35:31
丽水市本级,城北加油加气站地块,五里亭水库以北,批发零售用地,零售业,0.369800,挂牌出让,40,4000.0000,下限:0.19上限:0.27,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aa3021db-a5cb-48ca-bf6b-cbb3894bd29f,2019-08-27 22:35:33
丽水市本级,水东综合客运枢纽A、C地块,丽水火车站站前广场及过街通道,街巷用地,城市公共交通业,3.319300,挂牌出让,50,240.0000,下限:上限:0.08,2017年11月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3c1c0a64-aac4-437d-8ce6-1855b3e845fe,2019-08-27 22:35:34
丽水市本级,水东综合客运枢纽B地块（一期）,丽青路以北、水东路以西,住宿餐饮用地,住宿业,8.971500,挂牌出让,40,13760.0000,下限:1.30上限:1.36,2017年11月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e81c3a5d-32b8-4ff1-9888-52d96f410da6,2019-08-27 22:35:36
丽水市本级,新华书店南侧地块,紫金路与囿山路交叉口东南侧,文体娱乐用地,文化艺术业,0.452800,挂牌出让,50,1125.0000,下限:2.00上限:2.60,2017年11月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b3fd5f76-a56d-4355-b70a-9b4b4f0b0863,2019-08-27 22:35:40
丽水市本级,解放街与古城路交叉口东南侧地块,解放街与古城路交叉口东南侧,中低价位、中小套型普通商品住房用地,房地产业,0.335300,挂牌出让,普通商品住房用地70年;批发零售用地40,5530.0000,下限:2.00上限:2.24,2017年11月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2302e639-6e7c-4cfc-8f81-c42c9385d613,2019-08-27 22:35:43
丽水市本级,教工路西侧地块,教工路西侧,商务金融用地,商务服务业,1.053900,挂牌出让,40,5300.0000,下限:1.80上限:2.00,2017年11月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0bb9c7e5-42d2-4bbd-b886-f6e308c63642,2019-08-27 22:35:46
丽水市本级,丽水南城LJ-B-16-1地块（浙江康润新材料有限公司）,丽水南城祥龙路与东九路交叉口西北侧,工业用地,塑料制品业,2.106100,挂牌出让,50,572.0000,下限:0.90上限:1.60,2017年10月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7cb0132c-4270-4537-a74b-c6f21b5c6a4e,2019-08-27 22:35:48
丽水市本级,丽水南城入城口遂松路东侧1#仓储地块(浙江人立环保有限公司),丽水南入城口遂松路东侧1#仓储地块,仓储用地,环境管理业,1.555500,挂牌出让,50,588.0000,下限:0.50上限:1.00,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=87467b36-8d1f-44a7-8263-39ef6111c6ea,2019-08-27 22:35:50
