行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
丽江市本级,丽地2017-18宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,6.264200,拍卖出让,70,6859.5300,下限:1.00上限:1.05,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2a3a03ef-96b2-4e8a-980c-25d261b4159e,2019-08-27 22:51:30
丽江市本级,丽地2017-14宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,1.076600,拍卖出让,70,1178.9800,下限:1.00上限:1.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=da98934f-6cfc-479a-a9f5-6d60280ae2ab,2019-08-27 22:51:33
丽江市本级,丽地2017-17宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,5.614400,拍卖出让,70,6148.8400,下限:1.00上限:1.05,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e86557be-7564-4b7b-97d6-9d9119526fe4,2019-08-27 22:51:35
丽江市本级,丽地2017-15宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,3.130500,拍卖出让,70,3428.1900,下限:1.00上限:1.05,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb7b6a01-8677-4033-b1bb-7762cef91769,2019-08-27 22:51:37
丽江市本级,丽地2017-16宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,5.614400,拍卖出让,70,6148.8400,下限:1.00上限:1.05,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=abd8ab95-2350-43e6-b445-a59db54e6280,2019-08-27 22:51:40
丽江市本级,丽地2017-19宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,0.702900,拍卖出让,70,769.4700,下限:1.00上限:1.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b02c079f-8ab6-47cb-994f-0b36cfdcbfd2,2019-08-27 22:51:43
丽江市本级,丽地2017-13宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,0.395700,拍卖出让,70,433.6000,下限:1.00上限:1.05,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e8858cb2-bba3-40ef-922d-05d8a767407a,2019-08-27 22:51:46
丽江市本级,丽地2017-12宗地拍卖出让项目,丽江市荣华片区A-1、A-2号地块,其他普通商品住房用地,房地产业,1.184000,拍卖出让,70,1296.5500,下限:1.00上限:1.05,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f6301b22-e216-41d1-bc0b-3b6ff24985b2,2019-08-27 22:51:48
丽江市本级,丽地2016-03宗地挂牌出让项目,丽江市古城区青龙路东侧、尚义片区3-04号地块,其他商服用地,公共设施管理业,2.090000,挂牌出让,40,2299.0000,下限:1.26上限:1.80,2017年10月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c23b0967-c922-4b70-8d9a-415313ea267f,2019-08-27 22:51:50
丽江市本级,丽地2016-15宗地挂牌出让项目,古城区民航路西侧、八河片区7-22号地块,其他商服用地,纺织服装、鞋、帽制造业,0.268700,挂牌出让,40,322.4000,下限:上限:1.05,2017年08月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39d46f40-828d-41c4-92e3-ab221871eb72,2019-08-27 22:51:52
