行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
乐山市本级,中心城区通江片区文星后街南侧TJ(A)-20-a号地块,中心城区通江片区文星后街南侧,其他普通商品住房用地,房地产业,5.729442,拍卖出让,70,44500.0000,下限:1.00上限:2.50,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6565815e-76fa-4dac-8303-b04852cfb0a0,2019-08-27 22:53:51
乐山市本级,中心城区通江片区翰林路与凤凰路交汇处TJ(C)-04-b号地块,中心城区通江片区翰林路与凤凰路交汇处,其他普通商品住房用地,房地产业,2.979586,拍卖出让,70,24200.0000,下限:1.00上限:3.00,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6a9d831d-2831-4eca-a73e-2ad741de7bb8,2019-08-27 22:53:54
乐山市本级,中心城区青江片区太白路和凤洲路交汇处QJ(B)-19-a号,中心城区青江片区太白路和凤洲路交汇处,其他普通商品住房用地,房地产业,5.000000,拍卖出让,70,40000.0000,下限:1.00上限:3.00,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7a91be70-184b-4e3e-bf5a-fa978366f0fd,2019-08-27 22:53:57
乐山市本级,中心城区青江片区瑞祥路西侧QJ(A)-17-a号,中心城区青江片区瑞祥路西侧,其他普通商品住房用地,房地产业,8.963004,拍卖出让,70,50000.0000,下限:1.00上限:2.20,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=844531e6-33bb-4f52-bfdb-e8da282ca3fa,2019-08-27 22:54:00
乐山市本级,乐山市市中区安谷镇高山村2组地块,乐山市市中区安谷镇高山村2组,公共设施用地,水的生产和供应业,8.403300,挂牌出让,50,4040.0000,下限:0.00上限:1.00,2017年11月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=771e151a-1d4f-4e5f-b72a-daf812ddc1ee,2019-08-27 22:54:02
乐山市本级,中心城区青江片区鹤翔路西北侧[QJ(B)-07-a-1号],中心城区青江片区鹤翔路西北侧,其他普通商品住房用地,房地产业,1.977296,拍卖出让,70,8900.0000,下限:1.00上限:2.50,2017年06月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9bf35fee-54cf-4eea-b8ae-3f42b25c50c6,2019-08-27 22:54:03
乐山市本级,通江片区檀木南街与凤凰路北段交汇处TJ（B）-09-e号地块,通江片区檀木南街与凤凰路北段交汇处,其他普通商品住房用地,房地产业,1.643650,拍卖出让,70,8800.0000,下限:1.00上限:3.00,2017年06月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0f0be356-112a-41f5-a127-24472f41bf02,2019-08-27 22:54:05
乐山市本级,QJ(B)-04-c、d号地块建设项目,中心城区青江片区瑞晗路西侧,中低价位、中小套型普通商品住房用地,房地产业,12.425894,拍卖出让,70,28000.0000,下限:1.00上限:3.00,2016年03月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=db05dd1a-d81d-4188-ad43-bf16a33812ee,2019-08-27 22:54:07
乐山市本级,LX(RZ)-01号地块建设项,乐山市中心城区大件路东侧,中低价位、中小套型普通商品住房用地,房地产业,13.850656,拍卖出让,70,77000.0000,下限:1.00上限:6.00,2016年03月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7dcc97f3-38fb-4e02-971e-b04cecf579ae,2019-08-27 22:54:08
乐山市本级,TJ(A)-17-a号地块建设项目,乐山市中心城区通江片区杨山路南侧,中低价位、中小套型普通商品住房用地,房地产业,6.035614,拍卖出让,70,7650.0000,下限:1.00上限:3.00,2016年02月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=95167607-d0da-4f6b-8237-93c0e12804d7,2019-08-27 22:54:10
