行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
九江市本级,江西弘高科技有限公司,九江经济技术开发区城西港区港城大道以南、港兴路以北、官湖路以西、石牛路以东,工业用地,专用设备制造业,6.922400,挂牌出让,50,674.9386,下限:1.20上限:1.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b0be90a5-beb8-455e-b1c4-5b2b35c22bb0,2019-08-27 22:59:07
九江市本级,九江阳光城房地产有限公司,九江经济技术开发区浔阳西路以北、长江北大道以东,其他普通商品住房用地,房地产业,3.435000,挂牌出让,商服40年，住宅70年,25298.8732,下限:1.00上限:2.30,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0fee3f5b-f040-4d25-8d84-e5c72620c242,2019-08-27 22:59:09
九江市本级,万城（九江）茶文化创意有限公司,九江经济技术开发区浔阳西路以南、三马路以西,其他普通商品住房用地,房地产业,6.504000,挂牌出让,商服40年，住宅70年,53267.7600,下限:1.00上限:3.10,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a5e99fe2-0ec0-4dd9-bede-0fd184d3f209,2019-08-27 22:59:11
九江市本级,房地产开发,九江经济技术开发区浔阳西路以南、长江大道以东,其他普通商品住房用地,房地产业,2.455400,挂牌出让,商服40年，住宅70年,14769.3112,下限:1.00上限:2.30,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cf06c1c6-8934-42ca-ad14-10a97ab7a81d,2019-08-27 22:59:12
九江市本级,九江联碧旅业房地产开发有限公司,八里湖大道以南、财富大道以东宗地,中低价位、中小套型普通商品住房用地,房地产业,6.323154,挂牌出让,70,49605.1379,下限:1.00上限:2.20,2017年12月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=65df4a73-bfc6-45ed-bd4a-0fed9db8f7e0,2019-08-27 22:59:14
九江市本级,江西碧桂园地产有限公司,财富大道西侧、尚德路北侧宗地,中低价位、中小套型普通商品住房用地,房地产业,11.762361,挂牌出让,70,95098.6806,下限:1.00上限:2.50,2017年12月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b141ce16-9a3f-4e79-913c-2a919b5141c8,2019-08-27 22:59:15
九江市本级,江西九峰科技有限公司,九江经济技术开发区城西港区港城大道以南、港兴路以北、江一路以东,工业用地,纺织服装、鞋、帽制造业,23.381800,挂牌出让,50,2279.7294,下限:1.20上限:1.20,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2b1f97ce-04b7-4c94-994c-3fcd518cb8aa,2019-08-27 22:59:16
九江市本级,九江廊威工程机械有限公司,九江经济技术开发区城西港区港城大道以南、江一路以东,工业用地,专用设备制造业,2.000260,挂牌出让,50,195.0254,下限:1.20上限:1.20,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d8d9f462-5081-4a08-82ce-3ec0436c970d,2019-08-27 22:59:18
九江市本级,九江浔粤置业有限公司,长虹西大道以北、园艺路以东宗地,其他商服用地,其他金融服务,1.039571,挂牌出让,40,4834.0160,下限:3.00上限:3.00,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8d8840aa-6e8b-42d8-8741-8bb721907334,2019-08-27 22:59:19
九江市本级,爱优诺营养品有限公司,九江经济技术开发区城西港区江一路以西、爱优诺项目以北,工业用地,食品制造业,1.349000,挂牌出让,50,130.9528,下限:1.20上限:0.00,2017年10月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0abce153-77e8-4068-865f-be4a50c58025,2019-08-27 22:59:20
九江市本级,江西泰荣置业有限公司,九江经济技术开发区城西港区港口河以北、港兴路以南、石牛路以西,其他普通商品住房用地,房地产业,11.316900,挂牌出让,70,16466.0313,下限:1.00上限:2.00,2017年10月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3625a24c-27dd-4654-8177-699a3b3a0a08,2019-08-27 22:59:21
九江市本级,江西嘉浔置业有限公司,八里湖大道以北宗地（新一中对面）,中低价位、中小套型普通商品住房用地,房地产业,9.214971,挂牌出让,70,116661.5624,下限:2.50上限:2.50,2017年10月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e1abb149-1640-46ae-a713-03916cd477ba,2019-08-27 22:59:23
九江市本级,徐家兴,环城北路（灌婴路）东侧、滨江路南侧宗地,中低价位、中小套型普通商品住房用地,房地产业,1.501807,挂牌出让,70,8109.7560,下限:1.00上限:2.20,2017年09月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=efb4cf0d-8151-49c1-8071-335b79e0f6e0,2019-08-27 22:59:25
九江市本级,九江美置房地产开发有限公司,怡堂路东侧、德化支路北侧,中低价位、中小套型普通商品住房用地,房地产业,4.594476,挂牌出让,70,29703.2701,下限:1.00上限:2.00,2017年09月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=db8e3b4b-950c-4282-895d-d50ce585d371,2019-08-27 22:59:26
九江市本级,九江碧桂园置业有限公司,九莲北路西侧、德化路南侧宗地,中低价位、中小套型普通商品住房用地,房地产业,5.593316,挂牌出让,70,43879.5431,下限:1.00上限:2.50,2017年09月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d0c7722e-3b52-4f2a-871f-d7deb4b4c3aa,2019-08-27 22:59:27
九江市本级,德展食品（工业）,九江经济技术开发区城西港区美泰尔建材项目以东、官湖路以西、春江路以南,工业用地,食品制造业,1.260900,挂牌出让,50,122.9397,下限:1.20上限:0.00,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0ac693b3-74e4-446e-ab5c-6f6e860d0bac,2019-08-27 22:59:28
九江市本级,科技二大道以东、高新八路以北,科技二大道以东、高新八路以北,工业用地,木材加工及木、竹、藤、棕、草制品业,0.554272,挂牌出让,50,33.2600,下限:1.40上限:0.00,2017年06月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=05076e35-7264-4b59-9fa1-a07074a00bfc,2019-08-27 22:59:30
九江市本级,科技二大道以东、高新七路以南,科技二大道以东、高新七路以南,工业用地,建筑业,3.000010,挂牌出让,50,180.0000,下限:1.40上限:0.00,2017年06月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c48e113f-b56d-4185-9cc3-30fc80823b39,2019-08-27 22:59:31
