行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
六安市本级,高端智能装备产业园,六安经济开发区寿春路以南、五教路以东,工业用地,通用设备制造业,20.000000,挂牌出让,50,3550.0000,下限:1.20上限:0.00,2017年11月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=28d211a1-efb1-4f77-9fa9-6045c2f1c22c,2019-08-27 23:21:16
六安市本级,美盈森智慧型印刷业,六安经济开发区衡山路以南、九德路以东,工业用地,印刷业和记录媒体的复制,27.101400,挂牌出让,50,4793.0000,下限:1.20上限:,2017年11月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3b6ea1ff-9d2a-41f4-8080-7c485ce5a01a,2019-08-27 23:21:18
六安市本级,商品房住宅开发,六安经济技术开发区寿春路以南、安丰路以东,其他普通商品住房用地,房地产业,6.383900,拍卖出让,商业40年、住宅70年,18300.0000,下限:0.00上限:2.20,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1633a366-c9bb-4950-90f0-3267f8f9626a,2019-08-27 23:21:19
六安市本级,中石化仓储用地,六安经济开发区寿春路以南、九德路以东,仓储用地,仓储业,3.333300,挂牌出让,50年,594.0000,下限:1.00上限:0.00,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4a0275a0-525d-4457-9270-034562a2812e,2019-08-27 23:21:20
六安市本级,中商汉康物流园,六安经济开发区迎宾大道以东、寿春路以南,仓储用地,仓储业,5.985200,挂牌出让,50年,1104.0000,下限:1.00上限:0.00,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4d6a969f-ff4c-4903-85b5-649c7be76ad5,2019-08-27 23:21:21
六安市本级,六安远大住宅工业有限公司,六安经济开发区银雀路以西、刘安路以北,工业用地,砖瓦、石材及其他建筑材料制造,9.380900,挂牌出让,50年,1608.0000,下限:1.20上限:0.00,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=801c4ccd-e27c-42b6-9544-8b182a0dac73,2019-08-27 23:21:22
六安市本级,森湶谷生物药业项目,六安经济开发区衡山路以北、九德路以东,工业用地,医药制造业,4.583100,挂牌出让,50年,795.0000,下限:1.20上限:0.00,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c4e2646b-8134-47f1-a9d3-36eb36b7310c,2019-08-27 23:21:23
六安市本级,商场、酒店、住宅项目,六安经济开发区迎宾大道以东、皋城东路以北,其他普通商品住房用地,房地产业,13.210800,挂牌出让,商业40年住宅70年,34030.0000,下限:0.00上限:2.55,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eedae269-a369-4ec5-85d2-a72fb19fa285,2019-08-27 23:21:25
六安市本级,房地产,淠河北路以东、光华路以北,中低价位、中小套型普通商品住房用地,房地产业,11.658500,挂牌出让,70,38900.0000,下限:1.00上限:2.33,2017年09月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=42b6a198-46d4-40d0-8dc1-82e9834d31c2,2019-08-27 23:21:26
六安市本级,房地产,河西景观大道以西、西环路以北,中低价位、中小套型普通商品住房用地,房地产业,14.453200,拍卖出让,70,63100.0000,下限:1.00上限:2.20,2017年09月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8cba6790-7f28-4002-8bf2-08599db316cc,2019-08-27 23:21:27
