行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
六盘水市本级,水城古镇城市棚户区改造项目8号地块,钟山片区钟山大道以北、官厅路西侧,商务金融用地,房地产业,1.605707,挂牌出让,40,9502.0000,下限:上限:5.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=45de88ca-94ab-43f9-8db6-5f004ed6e961,2019-08-27 22:10:30
六盘水市本级,凤凰山城市综合体A-15#地块,钟山片区荷泉路与花园路交叉口西侧,其他普通商品住房用地,房地产业,3.421777,挂牌出让,其他普通商品住房用地70年;批发零售用地40年;,17220.0000,下限:1.00上限:2.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=66913cb4-3b8e-445f-af90-1e1d0e4ca9e3,2019-08-27 22:10:33
六盘水市本级,水城古镇城市棚户区改造项目7号地块,钟山片区钟山大道以北、官厅路东侧,商务金融用地,房地产业,0.919147,挂牌出让,40,6011.0000,下限:上限:6.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7f7f91fa-e5a4-4970-a51c-b092ebf534a2,2019-08-27 22:10:37
六盘水市本级,水城古镇城市棚户区改造项目6号地块,钟山片区钟山大道以北、官厅路西侧,批发零售用地,房地产业,1.806352,挂牌出让,40,8678.0000,下限:上限:1.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9d69d135-4cca-433f-a418-1e3ec96073a6,2019-08-27 22:10:40
六盘水市本级,水城古镇城市棚户区改造项目5号地块,钟山片区钟山大道以北、官厅路东侧,批发零售用地,房地产业,1.342740,挂牌出让,40,8055.0000,下限:上限:2.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c59a3033-d281-4c56-b56d-e5eacc91d548,2019-08-27 22:10:44
六盘水市本级,2015-DW-1,德坞片区人民西路北侧，大山加油加气站西侧,其他商服用地,零售业,0.266665,挂牌出让,40,670.0000,下限:上限:0.50,2017年08月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0f95961a-846c-4fa7-9bcb-dd1346cdf06d,2019-08-27 22:10:46
六盘水市本级,2013-DW-06号,钟山西路北侧、西山路西侧,其他普通商品住房用地,其他服务业,1.534101,挂牌出让,其他普通商品住房用地70年;批发零售用地40年;,5605.0000,下限:1.00上限:3.50,2017年04月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6dd3e698-2374-4cc8-a27d-793da70ff322,2019-08-27 22:10:49
六盘水市本级,凉都国际大厦（钟山区杉树林危旧房改造工程）一期,人民中路北侧、纬三四五路南侧（规划道路）、富丽豪酒店西侧,中低价位、中小套型普通商品住房用地,房地产业,1.394553,挂牌出让,70,8682.0000,下限:1.00上限:7.40,2016年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7fd3635e-3df1-4fb5-a66a-34bd5ceeb278,2019-08-27 22:10:52
六盘水市本级,2015-HQ-1,钟山片区区府北路西侧、水西南路东侧。,中低价位、中小套型普通商品住房用地,房地产业,0.526211,挂牌出让,70,2601.0000,下限:1.00上限:7.70,2016年09月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e8bd7687-73fa-49c2-a415-78b421b97616,2019-08-27 22:10:55
六盘水市本级,时代综合体1号C地块,钟山片区大连路与碧云路交叉口东北侧,中低价位、中小套型普通商品住房用地,房地产业,6.564785,挂牌出让,70,18930.0000,下限:1.00上限:4.00,2016年06月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=acff79df-e64b-4aeb-b648-2d501e2d66b3,2019-08-27 22:10:58
