行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
内江市本级,内地拍（2017）08号,新城中心组团谢家河片区D6-6至D6-8地块,其他商服用地,居民服务业,2.402404,拍卖出让,其他商服用地40年;科教用地50年;机关团体用地50年;,4324.3272,下限:1.00上限:1.70,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bb5c5241-6b90-468e-b183-98f220eb8779,2019-08-27 22:13:02
内江市本级,内地拍（2017）06号,东兴旧城片区F1-2地块,其他普通商品住房用地,房地产业,7.093816,拍卖出让,70,39157.8643,下限:1.00上限:2.50,2017年10月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=392fe64d-9ef3-4027-9a75-3e2501de4d01,2019-08-27 22:13:05
内江市本级,内地拍（2017）07号,东兴区汉安大道南侧、大千路西侧B地块,其他普通商品住房用地,房地产业,1.638892,拍卖出让,70,8137.0988,下限:1.00上限:2.00,2017年08月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=744e2b30-8877-4b70-9273-b510dc87e3ea,2019-08-27 22:13:08
内江市本级,内地拍（2017）01号,谢家河片区北环路北侧、栖霞路东侧E4-2至E4-4地块,其他普通商品住房用地,居民服务业,4.405376,拍卖出让,70,12158.8378,下限:1.00上限:2.00,2017年05月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a0d7a819-8fad-466c-94ae-8c7c4afe9424,2019-08-27 22:13:11
内江市本级,内地拍（2016）09号,东兴区大千路北延线西侧,其他商服用地,批发业,0.856772,拍卖出让,40,2287.5813,下限:1.00上限:2.00,2016年12月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5045268d-73ff-42b0-910e-e1258f225ace,2019-08-27 22:13:12
内江市本级,内地拍(2016)07号,新城中心组团谢家河片区A5-5至A5-8地块,其他普通商品住房用地,房地产业,8.273928,拍卖出让,70,36115.6957,下限:1.00上限:2.50,2016年08月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ca484a42-23bc-4f98-b1f2-e5f6cc137b85,2019-08-27 22:13:14
内江市本级,内地拍(2016)01号,内江新城中心组团谢家河片区I2-12至I2-13地块,其他普通商品住房用地,房地产业,1.981598,拍卖出让,70,8263.2637,下限:1.00上限:3.00,2016年05月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2dc83ea6-a0d7-4724-b334-cd927036db9d,2019-08-27 22:13:17
内江市本级,内地拍（2015）11号,谢家河D2-D3地块,其他普通商品住房用地,房地产业,15.432101,拍卖出让,70,57407.4157,下限:1.00上限:3.00,2015年09月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4d956b6f-573a-4045-bded-c00a2750f93b,2019-08-27 22:13:19
内江市本级,内地拍（2015）06号,高铁片区7#、8#地块,其他商服用地,计算机服务业,4.073596,拍卖出让,40,8554.5516,下限:1.00上限:2.60,2015年08月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8403fb16-b8b2-4e60-a5ec-7d835415927b,2019-08-27 22:13:23
内江市本级,内地拍（2015）10号,高铁片区1#、2#地块,其他商服用地,计算机服务业,7.916540,拍卖出让,40,17218.4745,下限:1.00上限:3.00,2015年08月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ab15f804-72e9-49c7-b001-5116ecce4834,2019-08-27 22:13:26
