行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
十堰市本级,居住兼容商业,十堰经济技术开发区郑家湾,其他普通商品住房用地,房地产业,0.883500,拍卖出让,70,1551.0000,下限:1.00上限:4.00,2017年12月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d628a294-74d2-4ff9-b709-38eb6e1d79c1,2019-08-27 22:51:37
十堰市本级,工业用地,东城开发区胡家村,工业用地,制造业,2.953400,挂牌出让,50,562.0000,下限:1.00上限:1.50,2017年10月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=12a64bf1-bdb0-4db0-b19c-240617b3bdc3,2019-08-27 22:51:39
十堰市本级,工业用地,张湾区工业新区,工业用地,制造业,0.114900,挂牌出让,50,30.5000,下限:0.70上限:1.50,2017年10月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e824fa45-b42a-41e1-a9b6-091dddfbfb35,2019-08-27 22:51:42
十堰市本级,工业用地,东城开发区胡家村,工业用地,制造业,4.376700,挂牌出让,50,810.0000,下限:1.00上限:1.50,2017年10月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=edca3fdf-22fa-43d7-8a1f-23c594a50e03,2019-08-27 22:51:46
十堰市本级,住宅用地，可配建总建筑面积10%比例的商业,十堰京东路,其他普通商品住房用地,房地产业,10%比例的商业项目位置:十堰京东路面积2.503900,拍卖出让,70,6895.0000,下限:1.00上限:3.50,2017年10月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7fc0e024-0810-4756-a2c3-7288c33b6ef1,2019-08-27 22:51:49
十堰市本级,住宅用地，可配建总建筑面积10%比例的商业,十堰京东路,其他普通商品住房用地,房地产业,10%比例的商业项目位置:十堰京东路面积1.171700,拍卖出让,70,3217.0000,下限:1.00上限:3.50,2017年10月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e8b0bc49-76ac-418e-bba6-8931afb7b307,2019-08-27 22:51:51
十堰市本级,工业用地,工业新区,工业用地,制造业,1.947500,挂牌出让,50,368.0000,下限:1.00上限:1.50,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2bf23065-5bdd-45af-9e13-0b38c46f5fd2,2019-08-27 22:51:54
十堰市本级,批发市场用地,十堰经济技术开发区丹江路,批发零售用地,房地产业,4.263900,拍卖出让,40,5889.0000,下限:0.00上限:1.50,2017年08月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1e341c04-6e04-41a5-8560-ff1d832e33cb,2019-08-27 22:51:57
十堰市本级,批发市场用地,十堰经济技术开发区丹江路,批发零售用地,房地产业,6.778200,拍卖出让,40,9361.0000,下限:0.00上限:1.50,2017年08月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=364109b1-bbc5-40d1-aca6-2d0116f37bf8,2019-08-27 22:51:59
十堰市本级,批发市场用地,十堰经济技术开发区丹江路,批发零售用地,房地产业,6.120000,拍卖出让,40,8452.0000,下限:0.00上限:1.50,2017年08月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c364ac7d-60d6-4c84-948b-6fbb9ea0e31c,2019-08-27 22:52:01
