行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
江宁区,城镇住宅用地（NO.2017G64）,江宁区秣陵街道云台山河以西、秣周路以南,其他普通商品住房用地,房地产业,7.080075,挂牌出让,70,149000.0000,下限:1.00上限:1.10,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6135A754B5F663C6E055000000000001,2019-08-27 18:27:30
六合区,南京贝特制泵有限公司,六合经济开发区,工业用地,专用设备制造业,0.997120,挂牌出让,50,390.0000,下限:1.00上限:2.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=614DD78D48D1437CE055000000000001,2019-08-27 18:27:33
六合区,南京登峰起重设备制造有限公司,六合经济开发区,工业用地,铁路运输设备制造,3.978063,挂牌出让,50,1556.0000,下限:1.00上限:2.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=614EEC9BB6E5481EE055000000000001,2019-08-27 18:27:36
浦口区,南京银行股份有限公司,南京海峡科工园绿水湾以北、沿山大道以南、新竹路以北,工业用地,银行业,7.995409,挂牌出让,50,8636.0000,下限:0.00上限:1.60,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60BDABC1D2764FC1E055000000000001,2019-08-27 18:27:38
浦口区,台积电（南京）有限公司,浦口经济开发区步月路以北、云杉路以西、秋韵路以南,工业用地,通讯设备、计算机及其他电子设备制造业,50.065897,挂牌出让,50,17325.0000,下限:1.00上限:2.00,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60BDE74BED1C50B1E055000000000001,2019-08-27 18:27:41
江宁区,农副食品加工业,淳化街道土桥新市镇104国道以北、金桥路以西,工业用地,农副食品加工业,5.034389,挂牌出让,50,2873.0000,下限:1.00上限:2.00,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60E503B424685683E055000000000001,2019-08-27 18:27:43
溧水县,永阳街道新华路以北、钟灵北路以东地块（锦和家园）,永阳街道新华路以北、钟灵北路以东,其他普通商品住房用地,房地产业,3.254320,挂牌出让,70,12300.0000,下限:1.00上限:2.20,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5FCEFFF9BFB53924E055000000000001,2019-08-27 18:27:47
南京市本级,艾仕得涂料系统（南京）有限公司,南京市江北新区长芦街道,工业用地,化学原料及化学制品制造业,4.586801,挂牌出让,50,1583.0000,下限:0.70上限:1.20,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5FCFAC2916863B9DE055000000000001,2019-08-27 18:27:51
南京市本级,南京力博维制药有限公司,南京市江北新区长芦街道,工业用地,化学原料及化学制品制造业,4.319769,挂牌出让,50,1685.0000,下限:1.00上限:1.20,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5FD01134B9073CB6E055000000000001,2019-08-27 18:27:53
溧水县,石湫镇社区中心地块,石湫镇,其他商服用地,居民服务业,1.622807,挂牌出让,40,3700.0000,下限:1.00上限:2.00,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5FD064C8B3BB3E2FE055000000000001,2019-08-27 18:27:55
溧水县,南京晨伟机械设备制造有限公司,永阳镇,工业用地,通用设备制造业,0.028814,挂牌出让,40,7.0000,下限:0.00上限:1.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60981BCC7D5B523FE055000000000001,2019-08-27 18:27:57
溧水县,南京晨伟机械设备制造有限公司,永阳镇,工业用地,通用设备制造业,0.763997,挂牌出让,40,184.0000,下限:0.00上限:1.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60983E7641815306E055000000000001,2019-08-27 18:27:59
溧水县,南京晨伟机械设备制造有限公司,永阳镇,工业用地,通用设备制造业,0.209749,挂牌出让,40,51.0000,下限:0.00上限:1.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6098C2B92A4A54C9E055000000000001,2019-08-27 18:28:01
