行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
南充市本级,南充市顺投广厦置地有限公司用地,白土坝片区Db-1-2,其他商服用地,商务服务业,0.697000,挂牌出让,40,3345.6000,下限:上限:1.60,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4a352cb0-a315-48fb-a300-7a4a894b1fb0,2019-08-28 12:45:54
南充市本级,南充市顺投发展集团有限公司用地,顺庆区潆溪职教城体育中心地块,文体娱乐用地,体育,0.425300,挂牌出让,50,574.1550,下限:上限:2.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dd78ccef-b22d-4864-95b7-ba2a5f6dfa19,2019-08-28 12:46:26
南充市本级,四川蓝光和骏实业有限公司用地,清泉坝A-1-2、A-1-3号地块,其他普通商品住房用地,房地产业,6.036500,拍卖出让,70,54056.8575,下限:1.00上限:2.50,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0969688f-b17f-4f61-8949-e76378883791,2019-08-28 12:46:55
南充市本级,成都市江龙投资有限公司用地,清泉坝A-2-1号地块,其他普通商品住房用地,房地产业,1.707100,拍卖出让,70,15876.0300,下限:1.00上限:3.00,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=386ea945-9db0-4aa2-bf57-481c2e9f1ba7,2019-08-28 12:47:30
南充市本级,成都市江龙投资有限公司用地,清泉坝A-2-4号地块,其他普通商品住房用地,房地产业,1.236000,拍卖出让,70,11216.7000,下限:1.00上限:3.00,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=724a737a-370b-4698-97de-f239fe934a6e,2019-08-28 12:48:52
南充市本级,成都垚鹏机电贸易有限公司用地,高坪区南渝连接线片区De-1-3号,其他普通商品住房用地,房地产业,10.452900,拍卖出让,70,36062.5050,下限:1.00上限:2.00,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=767562ba-b44a-449b-ab3e-df4c33ff78cf,2019-08-28 12:49:06
南充市本级,杭州中梁恒置业有限公司用地,清泉坝A-2-3号地块,其他普通商品住房用地,房地产业,2.577100,拍卖出让,70,27059.5500,下限:1.00上限:3.00,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dfdc64b5-dd6f-492b-a842-b857e8b4ddd8,2019-08-28 12:49:32
南充市本级,四川昌信房地产开发有限公司用地,顺庆区西山前山片区西河大桥南侧拟出让地块,其他普通商品住房用地,房地产业,7.258000,拍卖出让,70,48556.0200,下限:1.00上限:1.60,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f7a370f7-3dcb-481f-ad71-e3f061dc3689,2019-08-28 12:50:00
南充市本级,南充市顺投广厦置地有限公司用地,白土坝片区Ha-1-5号地块,其他商服用地,商务服务业,0.378100,拍卖出让,40,2268.6000,下限:上限:1.60,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7453f058-a3b6-4f71-be21-bb86c95687b7,2019-08-28 12:50:29
南充市本级,四川鸿升投资集团有限责任公司用地,高坪区南渝连接线片区Ba-1-1,其他商服用地,商务服务业,1.023200,挂牌出让,40,2762.6400,下限:0.00上限:1.20,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9c5fae7b-9da5-4b0a-9dea-d836feab786a,2019-08-28 12:51:03
南充市本级,南充川港经开燃气有限公司用地,河西工业园区天然气输气站拟用地块,公共设施用地,燃气生产和供应业,0.472169,挂牌出让,50,361.2126,下限:1.00上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0df7409c-1292-4f7b-bed7-e0f055be5f14,2019-08-28 12:51:24
南充市本级,南充西巷房地产开发有限公司用地,西山前山片区拟出让D-07-01地块,其他商服用地,商务服务业,3.986100,挂牌出让,40,10463.5125,下限:上限:1.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c001564-951f-49ba-8df1-17934a0229f0,2019-08-28 12:51:49
南充市本级,四川鑫安邦定化工有限公司用地,河西工业园区F-01-03-02号地块,工业用地,化学原料及化学制品制造业,3.345071,挂牌出让,50,401.4088,下限:0.70上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60f374e1-6bf1-4ca4-bdaa-b43b7317bbbe,2019-08-28 12:52:31
南充市本级,南充高坪华星锦业汽车销售服务有限公司南充高坪华星名仕汽车销售服务有限公司用地,斋公山片区拟出让Aa-1-2,其他商服用地,商务服务业,1.594100,挂牌出让,40,5475.7335,下限:0.00上限:1.50,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b6c78234-b2ae-496d-9853-24dd8b2948cb,2019-08-28 12:53:07
南充市本级,中国移动通信集团四川有限公司南充分公司用地,高坪区江东新区向阳街E-4-2号地块,公共设施用地,电信和其他信息传输服务业,0.336100,挂牌出让,40,312.5730,下限:1.00上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ebe3f75f-37c3-4195-b51a-5a9dc68d6135,2019-08-28 12:53:33
南充市本级,四川禾瑞源实业有限责任公司用地,下中坝32号地块,其他普通商品住房用地,房地产业,4.505200,拍卖出让,70,22030.4280,下限:1.00上限:2.30,2017年11月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7dd3d437-310f-4d7b-b7ca-361d6b94a5d5,2019-08-28 12:54:19
南充市本级,眉山市鸿通房地产开发有限公司用地,顺庆区潆华工业园拟出让Be-1-3号地块,其他普通商品住房用地,房地产业,2.879500,拍卖出让,70,18572.7750,下限:1.00上限:1.80,2017年11月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=942ec3d8-3fa6-45cc-9c50-69170fc30da6,2019-08-28 12:54:44
南充市本级,南充现代物流园投资建设开发有限责任公司用地,高坪区龙门片区Ba-5-1号地块,其他普通商品住房用地,房地产业,2.511000,拍卖出让,70,8097.9750,下限:1.00上限:2.50,2017年11月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=069005a6-b41b-422b-8344-a162a3c8055e,2019-08-28 12:55:14
南充市本级,南充世纪城（中南）房地产开发有限责任公司用地,下中坝30、31号地块,其他普通商品住房用地,房地产业,9.687600,拍卖出让,70,48534.8760,下限:1.00上限:2.30,2017年11月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=35edf173-ba22-4dc1-8e35-a2d3c9fc8c0b,2019-08-28 12:55:38
南充市本级,四川春风房地产有限公司用地,下中坝36号地块,其他普通商品住房用地,房地产业,3.206000,拍卖出让,70年,18562.7400,下限:1.00上限:2.30,2017年11月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ca02e0f5-c15a-4913-bf78-8489c1f63785,2019-08-28 12:56:18
南充市本级,南充市顺投发展集团有限公司用地,南充市顺庆区潆溪街道办事处,科教用地,教育业,5.124700,挂牌出让,50,6918.3450,下限:上限:1.80,2017年08月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e6c3ae7a-1992-4051-9a34-a40becfa6e92,2019-08-28 12:56:53
南充市本级,童昌梅用地,嘉陵主城片区拟出让He-1-1地块,其他普通商品住房用地,房地产业,4.615000,拍卖出让,70,24228.7500,下限:1.00上限:2.50,2017年08月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=112d975e-e2bf-4a68-9f10-61daf6e6a6a2,2019-08-28 12:57:19
南充市本级,四川绿洲置业有限公司用地,高坪区安汉新区Bb-1-2地块,其他普通商品住房用地,房地产业,3.713700,拍卖出让,70,15931.7730,下限:1.00上限:2.00,2017年08月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=43eb6c27-3789-467f-8d19-2284644a4109,2019-08-28 12:57:38
南充市本级,四川省鸿华房地产开发有限公司用地,嘉陵凤棲新城片区嘉南路东侧拟出让Ah-1-4地块,其他普通商品住房用地,房地产业,3.054200,拍卖出让,70,17408.9400,下限:1.00上限:2.00,2017年08月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=869c361a-b5de-44c5-8048-c493ee629c2b,2019-08-28 12:58:02
南充市本级,南充市阳光置业有限公司用地,嘉陵区凤棲新城片区Ac-1-2地块,其他普通商品住房用地,房地产业,3.663500,拍卖出让,70,19343.2800,下限:1.00上限:2.50,2017年08月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=99ea5edc-8f1c-44c1-b580-53f8812aa602,2019-08-28 12:58:37
南充市本级,四川昌信房地产开发有限公司用地,嘉陵区白马新城白马大道Cf-1-1地块,其他普通商品住房用地,房地产业,3.420200,拍卖出让,70,18622.9890,下限:1.00上限:2.20,2017年08月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a87afc34-b6a6-405a-be41-41c284ee02ca,2019-08-28 12:58:54
