行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
南通市本级,大和房屋工业株式会社、浙江宝业房地产集团有限公司,宏兴路南、林翠路西,其他普通商品住房用地,房地产业,13.554384,挂牌出让,70,164956.8533,下限:1.00上限:1.70,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=614A58FB23D637B2E055000000000001,2019-08-27 20:55:26
南通市本级,江苏佳丽斯智能科技有限公司,宏兴东路南、吉顺路西,工业用地,家用空气调节器制造,3.334003,挂牌出让,50,1280.2572,下限:0.90上限:2.00,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=612115F2A2831EE3E055000000000001,2019-08-27 20:55:30
南通市本级,南通金赞精密电子有限公司,通达路西、江海路北,工业用地,专用设备制造业,2.722121,挂牌出让,50,1045.2945,下限:1.00上限:2.00,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=605C5F5D38FB1353E055000000000001,2019-08-27 20:55:32
南通市本级,富海精密电子工业(南通)有限公司,苏通科技产业园南湖路西、海悦路北、通七河南侧,工业用地,其它,2.667198,挂牌出让,50,1024.2040,下限:0.90上限:2.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60475AE3AA834B29E055000000000001,2019-08-27 20:55:35
南通市本级,江苏鑫启盛科技有限公司,景兴路北、谷东路西,工业用地,通用设备制造业,2.551372,挂牌出让,50,979.7268,下限:0.70上限:2.00,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6007332181AA6A00E055000000000001,2019-08-27 20:55:37
南通市本级,江东翔骏材料有限公司,东方大道西、江海路南,工业用地,其它,1.335207,挂牌出让,50,512.7195,下限:0.90上限:2.00,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=600871A7AB656E08E055000000000001,2019-08-27 20:55:40
南通市本级,南通实创电子科技有限公司,苏通科技产业园海维路北、苏十二河西侧,工业用地,铁路运输设备制造,1.843222,挂牌出让,50,707.7972,下限:0.80上限:2.00,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5F2F921C745730CAE055000000000001,2019-08-27 20:55:42
南通市本级,上海贝恒人居建设集团南通有限公司,苏通科技产业园江康路东、海维路北侧,工业用地,砖瓦、石材及其他建筑材料制造,4.744236,挂牌出让,50,1821.7866,下限:0.90上限:2.00,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5F7E4DA794AA2E64E055000000000001,2019-08-27 20:55:46
南通市本级,上研动力科技江苏有限公司,苏通科技产业园井冈山路南、江港路北侧,工业用地,通用设备制造业,2.666927,挂牌出让,50,1024.1000,下限:0.80上限:2.00,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5F7E6BAD329A2E5AE055000000000001,2019-08-27 20:55:51
南通市本级,中铁置业集团有限公司,苏通科技产业园江安路东、江成路西、海伦路北侧,其他普通商品住房用地,房地产业,6.653638,挂牌出让,70,40054.9008,下限:1.00上限:1.40,2017年11月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5F02954C27EC159CE055000000000001,2019-08-27 20:55:55
