行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
台州市本级,国有建设用地使用权公开出让（集聚区DXQ010-0112-02地块）,台州湾集聚区东部新区渔舟路以东、东海大道以北,工业用地,其它,5.580400,挂牌出让,50,1608.0000,下限:1.10上限:0.00,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a896621f-c7a5-4ebc-af4b-58b486fc46e3,2019-08-27 22:01:48
台州市本级,国有建设用地使用权公开出让（集聚区DXQ010-0112-01地块）,台州湾集聚区东部新区渔舟路以东、台州湾大道以南,工业用地,其它,7.729100,挂牌出让,50,2226.0000,下限:1.10上限:0.00,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b33839dd-e388-421f-81f7-029ea6108f86,2019-08-27 22:01:51
台州市本级,国有建设用地使用权公开出让（集聚区汇金路以东、海翔路以南地块）,台州湾循环经济产业集聚区汇金路以东、海翔路以南,工业用地,水泥及石膏制品制造,16.630100,挂牌出让,50,5164.0000,下限:0.70上限:0.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5b230d66-1ebf-4e4b-ae26-7764b3dfeecc,2019-08-27 22:01:55
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0207-01地块）,台州湾循环经济产业集聚区聚贤路以东、海纳路以南,工业用地,其它,4.615900,挂牌出让,50,1434.0000,下限:1.00上限:0.00,2017年09月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f05c7132-7eb3-4180-8128-8b26c0e76d5f,2019-08-27 22:01:58
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0207-02地块）,台州湾循环经济产业集聚区聚洋大道以西、海纳路以南,工业用地,其它,5.859100,挂牌出让,50,1820.0000,下限:1.00上限:0.00,2017年09月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=894112f5-8c20-41ba-b5d9-a988008ae885,2019-08-27 22:02:02
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0209-01地块）,台州湾循环经济产业集聚区蓬北大道以北、聚贤路以东,工业用地,其它,4.288700,挂牌出让,50,1332.0000,下限:1.00上限:0.00,2017年09月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2ab2125d-eeda-4b95-9f54-8f0830b46861,2019-08-27 22:02:08
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0209-02地块）,台州湾循环经济产业集聚区蓬北大道以北、聚洋大道以西,工业用地,其它,5.132600,挂牌出让,50,1594.0000,下限:1.00上限:0.00,2017年09月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a6ffb07b-9f8b-420a-87e4-821fab669805,2019-08-27 22:02:15
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0109、0110地块）,台州湾循环经济产业集聚区聚海大道以东、长浦路以南,工业用地,其它,19.271900,挂牌出让,50,5984.0000,下限:1.10上限:0.00,2017年09月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=073dd38b-527e-4234-b149-64f50a773985,2019-08-27 22:02:19
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0111、0112、0113地块）,台州湾循环经济产业集聚区聚贤路以东、长浦路以南,工业用地,其它,21.992100,挂牌出让,50,6829.0000,下限:1.10上限:0.00,2017年09月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3666ed94-e0f7-42f4-9bf5-8b2bb5fa27df,2019-08-27 22:02:24
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0308-02、0309-01、0311-02地块）,台州湾循环经济产业集聚区聚洋大道以西、海豪路以北,工业用地,其它,10.649600,挂牌出让,50,3556.0000,下限:1.00上限:0.00,2017年06月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d620892a-ac1a-4289-9832-55fb8b0b13cc,2019-08-27 22:02:27
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0308-01、0311-01地块）,台州湾循环经济产业集聚区聚洋大道以西、蓬北大道以南,工业用地,其它,11.161900,挂牌出让,50,3775.0000,下限:1.00上限:0.00,2017年06月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=411588ae-bffc-4b71-9dfe-97fad2600271,2019-08-27 22:02:31
台州市本级,国有建设用地使用权公开出让（集聚区DXQ140-0308-03、0309-02）,台州湾循环经济产业集聚区聚贤路以东、蓬北大道以南,工业用地,其它,1.150600,挂牌出让,50,760.0000,下限:1.00上限:0.00,2017年06月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2d8395c9-6862-4cdc-8775-505079d21eb9,2019-08-27 22:02:35
台州市本级,国有建设用地使用权公开出让（DXQ130-0612-02）,台州湾循环经济产业集聚区辉煌路以南、聚英路以东,工业用地,摩托车制造,0.711600,挂牌出让,50,800.0000,下限:1.00上限:0.00,2017年05月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d1802f25-4412-4e16-8042-45e1e507d356,2019-08-27 22:02:39
台州市本级,国有建设用地使用权公开出让（DXQ071-0304-03）,台州湾循环经济产业集聚区海城路以北、聚英路以西,工业用地,塑料制品业,3.362100,挂牌出让,50,2540.0000,下限:1.10上限:0.00,2017年05月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d16c804d-12bf-4d79-8d76-64b169ed150e,2019-08-27 22:02:43
台州市本级,国有建设用地使用权公开出让（集聚区DXQ130-0510-01地块）,台州湾循环经济产业集聚区海纳路以南、聚海大道以西,工业用地,通用设备制造业,3.387200,挂牌出让,50,1730.0000,下限:1.00上限:0.00,2017年05月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e2949e1b-c452-4e7a-ad6e-8c7ce78e1d43,2019-08-27 22:02:48
台州市本级,国有建设用地使用权公开出让（DXQ130-0613-01）,台州湾循环经济产业集聚区聚英路以东、海豪路以北（DXQ130-0613-01）,工业用地,通用设备制造业,1.663900,挂牌出让,50,1400.0000,下限:1.00上限:0.00,2017年05月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dd3a45b2-2dea-45c0-b22a-6901a25d4948,2019-08-27 22:02:51
台州市本级,"国有建设用地使用权公开出让（DXQ130-0612-03,0614-01）",台州湾循环经济产业集聚区辉煌路以南、聚海大道以西,工业用地,通用设备制造业,0.711500,挂牌出让,50,860.0000,下限:1.00上限:0.00,2017年05月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=736691c7-0d30-4893-9dc2-878528a62ba3,2019-08-27 22:02:54
台州市本级,国有建设用地使用权公开出让（DXQ130-0612-01）,台州湾循环经济产业集聚区聚英路以东、辉煌路以南,工业用地,农副食品加工业,1.007300,挂牌出让,50,1130.0000,下限:1.20上限:0.00,2017年05月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=730e2c1b-d3e2-4604-9a38-a8b4080598ec,2019-08-27 22:02:58
台州市本级,国有建设用地使用权公开出让（集聚区DXQ190-0102、0107地块）,台州湾循环经济产业集聚区东方大道以南、规划道路以西,公共设施用地,公共设施管理业,24.555800,挂牌出让,50,14709.0000,下限:0.00上限:1.20,2017年04月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=80fd707a-8179-490d-b04c-a0cbbef6406b,2019-08-27 22:03:03
