行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
合肥市本级,科大国盾量子技术股份有限公司,合肥高新区文曲路与华佗巷交口东南角（KC2-3）地块,工业用地,通讯设备、计算机及其他电子设备制造业,3.227700,挂牌出让,50,1239.4368,下限:1.20上限:0.00,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=66663924-3781-477b-9699-5ee15598ab6b,2019-08-27 23:11:39
合肥市本级,合肥博律微波技术有限公司,合肥高新区铭传路与长宁大道交口东南角（KV2-4）地块,工业用地,专用设备制造业,0.239730,挂牌出让,50,92.0563,下限:1.20上限:0.00,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=71f32db7-2e0e-4130-b501-4230d9ae802b,2019-08-27 23:11:40
合肥市本级,合肥市庐阳房地产开发公司,合肥市庐阳区丽水路以东、耀远路以南,其他普通商品住房用地,房地产业,3.560425,挂牌出让,70,22430.6775,下限:1.00上限:1.50,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c757123-3fcd-4d5e-b84a-1581f6a90679,2019-08-27 23:11:42
合肥市本级,安徽甲天科技有限公司,合肥市包河区西安路以北、山西路以西,科教用地,化学原料及化学制品制造业,1.025625,拍卖出让,50,1323.0563,下限:1.60上限:2.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=038501ef-9e15-42aa-9b9e-a5bba27fe223,2019-08-27 23:11:43
合肥市本级,泰尔重工股份有限公司,合肥市包河区花园大道以南、规划支路以东,科教用地,零售业,1.032086,拍卖出让,50,1331.3910,下限:1.60上限:2.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17ddaf4a-f578-4784-9d0b-ed20916eb0bf,2019-08-27 23:11:45
合肥市本级,中国石化销售有限公司安徽合肥石油分公司,合肥市包河区辽宁路以东、太原路以南,其他商服用地,石油加工、炼焦及核燃料加工业,0.365960,拍卖出让,40,1262.5620,下限:0.00上限:0.50,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3605f709-d0c1-40a8-a3ed-48aa4c089f67,2019-08-27 23:11:46
合肥市本级,中国水利水电第十三工程局有限公司,合肥市包河区西安路以北、规划支路以东,科教用地,水利管理业,1.021297,拍卖出让,50,1317.4732,下限:1.60上限:2.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4b4021b5-2a95-41f7-887f-e5e8edca05e2,2019-08-27 23:11:48
合肥市本级,中铁上海工程局集团第三工程有限公司,合肥市包河区花园大道以南、山西路以西,科教用地,租赁业,1.032086,拍卖出让,50,1331.3910,下限:1.60上限:2.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=52fdf0fc-3923-4ae1-9d85-e7bf09108a70,2019-08-27 23:11:49
合肥市本级,安徽置地投资有限公司,柏景湾小区以西,其他普通商品住房用地,房地产业,0.042008,拍卖出让,70,668.5573,下限:1.00上限:3.50,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a3efbe9a-d4f9-46d6-9da1-c78cb305c3c9,2019-08-27 23:11:50
合肥市本级,中国石油天然气股份有限公司安徽销售分公司,合肥合经区锦绣大道以南、天都路以西,其他商服用地,零售业,0.399628,拍卖出让,40,1438.6608,下限:0.00上限:0.50,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c5a8d1a9-1ae8-4ed6-aaa6-cd6e689d09ad,2019-08-27 23:11:51
