行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
吉安市本级,罗家塘路南侧,罗家塘路南侧,工业用地,通讯设备、计算机及其他电子设备制造业,14.160400,挂牌出让,50,1286.0160,下限:1.00上限:0.00,2017年12月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b6a4f368-c97f-4777-ba58-60cbf14d0430,2019-08-27 23:48:12
吉安市本级,学院路西侧,学园路西侧,工业用地,塑料制品业,3.122400,挂牌出让,50,299.7760,下限:1.00上限:0.00,2017年12月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=49264ac4-b6f7-421a-8035-9e81d22da108,2019-08-27 23:48:18
吉安市本级,深圳大道与里塘路交叉口东南角,深圳大道与里塘路交叉口东南角,工业用地,通讯设备、计算机及其他电子设备制造业,22.048100,挂牌出让,50,1950.0800,下限:1.00上限:0.00,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f8dbbd70-6f05-486c-8b90-28e37dbe785a,2019-08-27 23:48:24
吉安市本级,深圳大道北侧,深圳大道北侧,工业用地,通讯设备、计算机及其他电子设备制造业,20.801600,挂牌出让,50,1920.0000,下限:1.00上限:0.00,2017年11月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=41fe42ff-ca66-4b75-a667-0e09b353c1be,2019-08-27 23:48:27
吉安市本级,樟树塘路与普祥路交叉口东北角,樟树塘路与普祥路交叉口东北角,其他普通商品住房用地,房地产业,6.604770,挂牌出让,70,8381.0400,下限:1.00上限:2.20,2017年10月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=291a9020-ff73-4977-833e-b59459f1f2a0,2019-08-27 23:48:28
吉安市本级,创新大道与京九大道交叉口东北角,创新大道与京九大道交叉口东北角,其他普通商品住房用地,房地产业,6.571270,挂牌出让,70,21029.5800,下限:1.00上限:2.20,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9885b8bb-7426-4570-bb9e-08f5b3b7bc4a,2019-08-27 23:48:30
吉安市本级,罗家塘路与永和大道交叉口西北角,罗家塘路与永和大道交叉口西北角,工业用地,软件业,12.797150,挂牌出让,50,1106.5600,下限:1.00上限:0.00,2017年09月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3d21dfd9-7c06-4736-b374-939fcddb35a6,2019-08-27 23:48:33
吉安市本级,创业大道与南塘路交叉口西北角,创业大道与南塘路交叉口西北角,其他普通商品住房用地,建筑装饰业,2.247100,挂牌出让,70,849.6000,下限:1.00上限:2.80,2017年09月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=623953c7-f035-460a-a3a5-8c0fad2ea7e4,2019-08-27 23:48:35
吉安市本级,君山大道与环岛北路交叉口西南角,君山大道与环岛北路交叉口西南角,工业用地,零售业,4.101560,挂牌出让,50,353.0880,下限:1.00上限:0.00,2017年09月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2c76ba88-57b7-4691-9e6d-b7ca70aa9c93,2019-08-27 23:48:38
吉安市本级,深圳大道北侧,深圳大道北侧,其他普通商品住房用地,房地产业,3.049780,挂牌出让,70,8700.8828,下限:1.00上限:2.50,2017年09月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2e895770-596d-4bab-9833-4f0703d68d3e,2019-08-27 23:48:41
