行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
咸宁市本级,咸宁香城泉都国际大酒店有限公司商服用地,麦笠山路东南侧,其他商服用地,房地产业,8.191746,挂牌出让,37.09,13900.0000,下限:1.00上限:1.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=48dcffa3-27ab-4399-96a8-2eefa8ad0d4d,2019-08-27 22:06:02
咸宁市本级,湖北开晟宏交通科技有限公司工业用地,咸宁高新区内,工业用地,其它,2.047190,挂牌出让,50,241.0000,下限:1.00上限:,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=452b7562-f392-4eed-a74b-efdf45fcde01,2019-08-27 22:06:06
咸宁市本级,武汉际华园投资建设有限公司商服用地,桂乡大道南侧,其他商服用地,房地产业,8.964679,挂牌出让,其他商服用地40年;中低价位、中小套型普通商品住房用地70年;,8571.9600,下限:1.00上限:1.60,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=01c207f0-7d94-40a3-8b3a-5e0b04b73bdc,2019-08-27 22:06:09
咸宁市本级,翔盛投资湖北有限公司工业用地,咸宁高新区内,工业用地,通讯设备、计算机及其他电子设备制造业,0.319303,挂牌出让,47.07,55.0000,下限:1.00上限:,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7babc81d-6132-4820-91e1-748785cb81e8,2019-08-27 22:06:12
咸宁市本级,咸宁市香城泉都旅游投资发展有限公司商服用地,太乙大道东侧,其他商服用地,其他服务业,2.826621,挂牌出让,38.07,2300.0000,下限:3.00上限:3.00,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7bc9ae2a-b0ca-4967-98a5-f811e9b5c873,2019-08-27 22:06:15
咸宁市本级,咸宁市香城泉都旅游投资发展有限公司商服用地,太乙大道东侧,其他商服用地,其他服务业,2.768045,挂牌出让,38.07,2260.0000,下限:3.00上限:3.00,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c6c3f463-7f32-4f97-8f77-fe2172127b46,2019-08-27 22:06:17
咸宁市本级,咸宁市香城泉都旅游投资发展有限公司商服用地,香太乙大道北侧,其他商服用地,其他服务业,3.918008,挂牌出让,38.07,3200.0000,下限:1.00上限:3.00,2017年11月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=24aa1c84-60c8-4a2e-a2d6-d846ac0191c3,2019-08-27 22:06:19
咸宁市本级,咸宁市香城泉都旅游投资发展有限公司商服用地,香太乙大道北侧,其他商服用地,其他服务业,3.324008,挂牌出让,38.07,2700.0000,下限:1.00上限:3.00,2017年11月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3a6ff629-e49e-4e40-a420-79da618d5faf,2019-08-27 22:06:21
咸宁市本级,咸宁市香城泉都旅游投资发展有限公司商服用地,香太乙大道北侧,其他商服用地,其他服务业,4.104321,挂牌出让,38.07,3350.0000,下限:1.00上限:3.00,2017年11月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4345b6b7-4112-4bfd-b08d-2ddef38da266,2019-08-27 22:06:24
咸宁市本级,咸宁市香城泉都旅游投资发展有限公司商服用地,龙潭大道东侧,其他商服用地,其他服务业,8.540367,挂牌出让,38.07,5800.0000,下限:3.00上限:3.00,2017年11月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b47a171a-b449-49ca-be1a-7172edc8f47c,2019-08-27 22:06:27
咸宁市本级,咸宁宏业土地整理经营有限公司商服用地,武咸快速通道东侧,其他商服用地,其他服务业,7.826002,挂牌出让,38.07,7200.0000,下限:3.00上限:3.00,2017年11月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f495031b-f05a-46f9-a25f-dd5edae36f8e,2019-08-27 22:06:30
咸宁市本级,湖北世丰汽车内饰有限公司工业用地,咸宁高新区内,工业用地,其它,7.193191,挂牌出让,50,855.0000,下限:1.00上限:0.00,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=803b72be-fa81-4e35-a6ae-c773e42a6e4a,2019-08-27 22:06:32
咸宁市本级,咸宁中恒置业有限公司商住用地,贺胜路东侧（新客运站后）,其他商服用地,房地产业,4.031190,挂牌出让,其他商服用地37.11年;中低价位、中小套型普通商品住房用地67.11年;,4000.0000,下限:1.00上限:2.50,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=58d2ac44-de6e-4d55-abe7-dbd3f2792869,2019-08-27 22:06:34
咸宁市本级,咸宁宏业土地整理经营有限公司商服用地,咸宁大道北侧,其他商服用地,公共设施管理业,3.700033,挂牌出让,38.08,5900.0000,下限:3.00上限:3.00,2017年10月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b9dee54e-a0c7-40d1-a978-9bdc0ef03c69,2019-08-27 22:06:37
咸宁市本级,咸宁市融兴投资有限公司商服用地,香城大道旁,其他商服用地,其他服务业,0.266169,挂牌出让,40,360.0000,下限:上限:1.20,2017年09月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=54e1d574-ff36-4da9-94c8-31371a581575,2019-08-27 22:06:41
咸宁市本级,咸宁香城泉都旅游投资发展有限公司商服用地,龙潭大道旁,其他商服用地,其他服务业,1.341329,挂牌出让,38.09,960.0000,下限:上限:3.00,2017年09月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=815fecfd-9115-4ec5-9b9b-049edaa91ac5,2019-08-27 22:06:43
咸宁市本级,咸宁香城泉都旅游投资发展有限公司商服用地,太乙大道东侧,其他商服用地,其他服务业,1.482328,挂牌出让,38.09,1210.0000,下限:上限:3.00,2017年09月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eba7e380-c7df-4930-815c-e1003474dd3f,2019-08-27 22:06:46
咸宁市本级,湖北海王德明医药有限公司工业用地,咸宁高新区内,工业用地,医药制造业,0.387532,挂牌出让,50,70.0000,下限:1.00上限:,2017年08月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c30e051b-0a63-48ae-9501-98494e967e1a,2019-08-27 22:06:48
咸宁市本级,湖北福人金身药业有限公司工业用地,咸宁高新区内,工业用地,医药制造业,0.563235,挂牌出让,50,100.0000,下限:1.00上限:,2017年08月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bbce7d19-0aaa-4c1c-8f6a-03f79ee534dc,2019-08-27 22:06:51
咸宁市本级,咸宁灵捷医用材料有限公司工业用地,咸宁高新区内,工业用地,化学纤维制造业,1.675340,挂牌出让,50,280.0000,下限:1.00上限:,2017年08月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d1b0059b-0986-451f-a1b6-ff16206af854,2019-08-27 22:06:53
咸宁市本级,湖北创能生物碳资源综合利用有限公司工业用地,咸宁高新区内,工业用地,其它,7.395386,挂牌出让,50,865.0000,下限:1.00上限:,2017年08月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=392b7507-7230-42be-8d27-faeee431ddb9,2019-08-27 22:06:56
