行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
嘉兴市本级,丰华路西、机场路北地块标准厂房项目,东至丰华路，南至机场路，西至万国路绿化带，北至横二路,工业用地,通用设备制造业,7.284580,挂牌出让,50,4771.4000,下限:1.20上限:1.60,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ac07085e-afcb-4da9-bdfc-3742aadfdfe0,2019-08-28 00:13:05
嘉兴市本级,嘉兴市华严花边织造有限公司其他商服用地项目,凯力路西，华严花边用地界南,其他商服用地,其他服务业,0.650030,挂牌出让,40,780.0400,下限:1.50上限:2.50,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=98f46ace-e104-4f61-8e27-cf0fccae03ca,2019-08-28 00:13:07
嘉兴市本级,嘉兴市云达智能科技有限公司工业项目,东至七一港绿化带，南至河道绿化带，西至天枢路，北至广穹路,工业用地,通讯设备、计算机及其他电子设备制造业,1.581500,挂牌出让,50,1129.1910,下限:1.30上限:1.80,2017年11月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c109b58f-a34d-4b96-b226-da705c98e2bb,2019-08-28 00:13:09
嘉兴市本级,上海隽翔房地产开发有限公司商住项目,庆丰路东，塘桥路南,中低价位、中小套型普通商品住房用地,房地产业,11.556100,挂牌出让,70,159586.8737,下限:2.00上限:2.20,2017年10月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2eeee881-c2d3-46c0-879a-d66d43a9d312,2019-08-28 00:13:14
嘉兴市本级,上海鸿业房地产开发有限公司商住项目,东至规划长福路，南至规划长乐路，西至规划富润路，北至长水路高压线,中低价位、中小套型普通商品住房用地,房地产业,3.974700,挂牌出让,70,77126.9455,下限:1.50上限:2.50,2017年10月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fb15dca0-a3ca-404b-9ee2-cd9cff49dabc,2019-08-28 00:13:17
嘉兴市本级,嘉兴市云豪印刷有限公司,东至曙光路、北至光缆北侧5米处、西南至曙光路及320绿化带,工业用地,通讯设备、计算机及其他电子设备制造业,0.450100,挂牌出让,50,674.9850,下限:1.10上限:1.60,2017年08月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c8472120-3785-4aae-a544-3196211ad08f,2019-08-28 00:13:20
嘉兴市本级,浙江高格精密机械有限公司工业用地,东至曙光路，南至光缆通道，西至金家浜河，北至永新纺织用地界,工业用地,金属制品业,0.991500,挂牌出让,50,631.5855,下限:1.00上限:1.60,2017年08月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8634acc8-ce0b-4c7c-a297-33b0deea7087,2019-08-28 00:13:23
嘉兴市本级,富通集团（嘉兴）管理总部有限公司商业商务用地项目,东至南湖大道绿化带，南至南泉路、西至秦逸路、北至祥和路,其他商服用地,零售业,2.792310,挂牌出让,40,11861.7329,下限:3.00上限:5.00,2017年06月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615966a3-f85a-4b2b-946a-93dc426c9ec6,2019-08-28 00:13:27
嘉兴市本级,淮矿地产（杭州）有限公司,东至规划光明路、南至规划爱民路、西至黄泥墩绿化带、北至万兴桥港绿化带,中低价位、中小套型普通商品住房用地,房地产业,6.432240,挂牌出让,普通商品住房用地70年;其他商服用地50,129127.2180,下限:1.50上限:2.30,2017年06月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f7f1bdad-69ab-4b3a-8637-2fa1a1be80b9,2019-08-28 00:13:31
嘉兴市本级,杭州铭昇达房地产开发有限公司住宅项目,东至承洪置业项目及洪仁苑用地界，南至洪仁路及保留小区用地界，西至常秀街，北至长住桥港沿河路绿化带,中低价位、中小套型普通商品住房用地,房地产业,2.756020,挂牌出让,70,55327.1015,下限:2.00上限:2.20,2017年06月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a3a750bc-9e00-4178-9c12-db4d03bb304a,2019-08-28 00:13:34
嘉兴市本级,众恒汽车部件有限公司工业项目用地,东至胜代机械项目用地界，南至塘汇路，西至六里长泾绿化带，北至和风路,工业用地,汽车制造,8.489460,挂牌出让,50,6052.9850,下限:1.00上限:1.60,2017年04月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3cd3c666-c869-4577-9058-b8cbbf2fdc06,2019-08-28 00:13:37
嘉兴市本级,嘉兴智慧产业创新园投资建设有限公司运河智慧小镇客厅（暂名）项目,东至桃花港绿化带，南至桃花港绿化带，西至天玑路，北至天盛路,其他商服用地,商务服务业,0.721470,挂牌出让,40,1602.3849,下限:1.30上限:2.00,2017年04月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4dbdb2ae-711c-4baa-b634-8b5318f1222c,2019-08-28 00:13:41
