行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
娄底市本级,娄底新合作奥莱小镇投资有限公司,湘阳街北侧、华星路东侧,其他商服用地,房地产业,6.981599,挂牌出让,40,16760.0000,下限:1.00上限:3.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0560bee1-38c2-446f-a7be-f04ad9193051,2019-08-29 00:17:21
娄底市本级,龙腾德、彭蔓如,新科街南侧,其他普通商品住房用地,房地产业,0.706623,挂牌出让,70,2735.0000,下限:1.00上限:4.65,2017年09月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1cceb666-1c67-4463-9556-ea42c983d239,2019-08-29 00:17:23
娄底市本级,中国移动通信集团湖南有限公司娄底分公司,娄星南路与万宝大道交叉口西北角,其他商服用地,电信和其他信息传输服务业,1.743785,挂牌出让,40,2150.0000,下限:上限:2.00,2017年09月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6c42b121-e826-4ed3-9cf9-6c1d37d973d7,2019-08-29 00:17:28
娄底市本级,娄底市宁邦置业有限公司,吉星路东侧、雨花街（规划路）南侧,其他普通商品住房用地,房地产业,6.950724,挂牌出让,70,10560.0000,下限:1.00上限:3.35,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=066019b6-d0ef-4b7d-9a9d-4d6c937f67a5,2019-08-29 00:17:54
娄底市本级,娄底市宁邦置业有限公司,吉星路与南龙街（规划道路）交叉口东南角,其他商服用地,房地产业,1.448675,挂牌出让,40,4970.0000,下限:上限:8.33,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0dd80325-d67d-4853-a804-80ca195dafbb,2019-08-29 00:17:59
娄底市本级,娄底市宁邦置业有限公司,吉星路与乐坪道交叉口东南角,其他普通商品住房用地,房地产业,3.977962,挂牌出让,70,6210.0000,下限:1.00上限:3.00,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3199f84e-1d8a-4278-bfe3-fd66af53bae6,2019-08-29 00:18:04
娄底市本级,娄底市娄星工业集中区开发建设投资有限公司,涟滨西街南面、百花路东面,其他商服用地,房地产业,3.896787,挂牌出让,40,5100.0000,下限:上限:2.36,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ac4c7ec2-b443-404b-8fba-c825e2443cb6,2019-08-29 00:18:16
娄底市本级,娄底市宁邦置业有限公司,吉星路东侧、大塘街（规划道路）南侧,其他普通商品住房用地,房地产业,11.348795,挂牌出让,70,18945.0000,下限:1.00上限:2.37,2017年09月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e0ab864d-daa5-4e08-9410-774a55818742,2019-08-29 00:18:42
娄底市本级,湖南省娄底经济技术开发投资建设有限公司,新坪街北面、新星北路东面,其他商服用地,其他金融服务,0.470338,挂牌出让,40,1048.0000,下限:1.00上限:3.50,2017年07月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=be85f639-7dec-4f91-b585-e62795e30dc6,2019-08-29 00:18:46
娄底市本级,湖南省娄底经济技术开发投资建设集团有限公司,秋浦街以南、江龙路以东,其他普通商品住房用地,房地产业,3.127914,挂牌出让,70,3288.0000,下限:1.00上限:3.00,2017年05月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2a293a29-11e6-47ef-b1cb-3c70cec90393,2019-08-29 00:18:55
娄底市本级,娄底市开元房地产开发有限公司,青山街北侧,其他普通商品住房用地,房地产业,0.202480,挂牌出让,70,520.0000,下限:1.00上限:2.90,2017年05月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f40d3545-115d-49f0-8d7a-57e75cf640b4,2019-08-29 00:18:59
娄底市本级,湖南电将军新能源有限公司,群乐街以北、南北三路以东,工业用地,零售业,0.999219,拍卖出让,50,380.0000,下限:1.00上限:2.00,2017年04月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d54eb6ab-af55-4a37-8188-c5a14b8d7912,2019-08-29 00:19:01
娄底市本级,娄底碧桂园房地产开发有限公司,娄星南路西侧、静安街北侧,其他普通商品住房用地,房地产业,8.717622,挂牌出让,70,11510.0000,下限:1.00上限:2.00,2017年04月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=237feb34-2655-45ec-bec7-6297db032192,2019-08-29 00:19:05
娄底市本级,娄底市创业投资集团有限公司,湘阳街以北、白塘路以东,其他商服用地,其他金融服务,1.059511,挂牌出让,40,5100.0000,下限:上限:3.60,2017年02月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6e082e2b-e312-4e80-836d-6fa144f966b5,2019-08-29 00:19:07
娄底市本级,唐晖、夏桂,孙水河以南、娄星南路西侧,其他商服用地,零售业,0.399901,挂牌出让,40,816.0000,下限:上限:0.29,2017年02月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=509e4f0e-4486-46d2-9f0f-1ca92ab0a853,2019-08-29 00:19:09
娄底市本级,湖南省娄底经济技术开发投资建设集团有限公司,东西四街南面、华星路西面,工业用地,其他金融服务,6.171430,拍卖出让,50,2320.0000,下限:1.00上限:2.00,2017年02月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1adab0a3-d398-4465-b5cb-3bd810233f2a,2019-08-29 00:19:12
娄底市本级,胡立涛、谭文辉、朱红卫、廖一翼、邓湉,吉星路以西、株山街南侧,其他普通商品住房用地,房地产业,0.549226,挂牌出让,70,1376.0000,下限:1.00上限:2.93,2017年02月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6b501014-cf25-4a1a-ba00-a62feaf793ff,2019-08-29 00:19:14
娄底市本级,湖南省娄底经济技术开发投资建设集团有限公司,群乐街以北、南北一路以西,工业用地,其他金融服务,1.311278,拍卖出让,50,500.0000,下限:1.00上限:1.50,2017年02月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e11187d5-0de7-4ca2-af7c-dc293f889a48,2019-08-29 00:19:19
