行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
孝感市本级,米开罗那机电技术（湖北）股份有限公司,孝天工业园横1#路以南、环川路以东,工业用地,制造业,2.960456,拍卖出让,50,999.2250,下限:1.20上限:0.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9c2e5165-c523-45ad-a8ac-e6d10bfef133,2019-08-27 22:28:48
孝感市本级,孝感同辉汽车销售服务有限公司,孝汉大道以南、孝感光源电力公司以西,其他商服用地,批发和零售业,1.848427,拍卖出让,40,5046.8600,下限:上限:1.40,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=75d77dc2-1860-46f9-91c8-a17f46402c13,2019-08-27 22:28:51
孝感市本级,湖北舒氏实业有限公司,航空路以东、六合商贸街以北,工业用地,工艺品及其他制造业,0.343300,拍卖出让,50,76.3230,下限:0.80上限:0.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ae2cc2b2-1cd1-4729-ad2a-957fe007e298,2019-08-27 22:28:54
孝感市本级,孝感恒信宝汽车销售服务有限公司,孝汉大道以南、光源电力公司以西,其他商服用地,批发和零售业,1.613591,拍卖出让,40,4404.4000,下限:0.00上限:1.40,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d4ad9017-35f2-4ed5-8d81-5acf5dd5c324,2019-08-27 22:28:57
孝感市本级,孝感东方亿佳房地产开发有限公司,北京二路南、熊咀路东,其他普通商品住房用地,房地产业,1.559220,挂牌出让,70,6876.6600,下限:1.00上限:4.50,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a9d092df-5bbd-41c9-97e9-1afc6d4f9551,2019-08-27 22:28:59
孝感市本级,孝感中燃天然气有限公司,政府北路以南、纵5号路以西,公共设施用地,燃气生产和供应业,1.001695,挂牌出让,50,706.4100,下限:0.00上限:2.00,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b3c34086-e212-43ea-bd5a-cdff887e03d3,2019-08-27 22:29:00
孝感市本级,湖北良诚汽车部件有限公司,横3号路以南，纵3号路以东,工业用地,汽车制造,1.470004,拍卖出让,50,295.4700,下限:1.20上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=09a54a31-f097-4736-96f4-da840cbaf22c,2019-08-27 22:29:02
孝感市本级,孝感协丰实业有限公司,乾坤大道以北、纵7#路以东,工业用地,制造业,7.421893,拍卖出让,50,1035.3690,下限:1.20上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ca4240c9-992b-4468-a0a1-e2e45049920c,2019-08-27 22:29:04
孝感市本级,孝感协丰实业有限公司,乾坤大道以北、纵7#路以东,工业用地,制造业,5.280598,拍卖出让,50,736.6530,下限:1.20上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d9be8e7b-174a-43e5-af33-c81035aa9484,2019-08-27 22:29:05
孝感市本级,孝感协丰实业有限公司,乾坤大道以北、纵7#路以东,工业用地,制造业,3.857956,拍卖出让,50,538.1910,下限:1.20上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e3681dc5-77b9-4d8a-ada9-c8102329e57f,2019-08-27 22:29:06
