行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
宁波市本级,轨道交通4号线翠柏里站地块,地处海曙区，北至蔡江河，东至蔡江河支流，西至翠柏路，南至永丰西路,中低价位、中小套型普通商品住房用地,房地产业,2.383200,挂牌出让,70,58469.4288,下限:1.50上限:2.00,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bee5835c-b6e0-496a-899b-f63bc6187e81,2019-08-28 21:54:13
宁波市本级,江北区湾头地区JB05-02-34、JB05-04-19、JB05-04-23地块,地块位于江北湾头区，环城北路以北、湾头路以南、星湖路两侧,中低价位、中小套型普通商品住房用地,房地产业,5.544700,挂牌出让,商务金融用地40年;普通商品住房用地70,136757.2548,下限:1.00上限:2.60,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b71aa46c-ef78-4ad5-92cc-b61bab9621fd,2019-08-28 21:54:16
宁波市本级,宁波华光城地段JD12-02-15A地块,鄞州区东郊街道矮柳村,商务金融用地,商务服务业,0.668600,挂牌出让,40,6538.9080,下限:1.60上限:3.00,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dbea25e5-e7ab-49fb-96b7-303f98e4586a,2019-08-28 21:54:19
宁波市本级,轨道交通3号线永达路站地块,位于江东区，北至永达路，东、西至规划道路，南至游龙江支河,中低价位、中小套型普通商品住房用地,房地产业,2.886700,挂牌出让,70,88338.2161,下限:1.00上限:2.70,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5abb5416-e0be-477e-9b74-fba3ce320fbf,2019-08-28 21:54:23
宁波市本级,高新区GX07-02-07-01地块,宁波国家高新区,工业用地,汽车制造,2.681400,挂牌出让,50,2129.9250,下限:1.50上限:2.00,2017年10月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=05405c4c-0257-47a8-9777-c7ca68c38cc1,2019-08-28 21:54:26
宁波市本级,东钱湖新城旅游交通集散中心地块,东钱湖新城区,其他商服用地,商务服务业,2.693600,挂牌出让,40,6087.2110,下限:1.00上限:1.50,2017年10月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9aa19204-6909-401b-8005-6b929fe3ba6c,2019-08-28 21:54:31
宁波市本级,东部新城核心区以东片区C1-3#地块,东部新城核心区以东片区，通途路南侧防护绿带以南，盛梅路以西，会展路以北，规划陈廊桥江东侧沿河绿带以东,中低价位、中小套型普通商品住房用地,房地产业,4.285600,挂牌出让,70,177852.4000,下限:1.00上限:2.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7eb3f8bd-24be-4476-b22f-49e5cca8f0db,2019-08-28 21:54:35
宁波市本级,高新区GX07-01-44-01地块,宁波国家高新区,工业用地,其它,6.853400,挂牌出让,50,5996.7250,下限:1.20上限:1.50,2017年10月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4a02668a-55e4-4683-a187-024ecd642ff1,2019-08-28 21:54:38
宁波市本级,高新区GX03-01-32地块,宁波国家高新区,商务金融用地,商务服务业,1.310300,挂牌出让,40,10446.7598,下限:1.50上限:2.40,2017年10月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=57c5a928-5e03-4379-bba6-03c4dc27d5ef,2019-08-28 21:54:41
宁波市本级,高新区总部基地二期D01地块,宁波国家高新区,商务金融用地,商务服务业,0.672400,挂牌出让,50,2634.3287,下限:1.50上限:3.80,2017年10月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d6ee9031-37ab-4718-b928-c7c7fe7eab44,2019-08-28 21:54:44
