行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
安庆市本级,置地商品房项目,东部新城。西至安庆十中、北至皖江大道、南至育才路、东至顺安路。,其他普通商品住房用地,房地产业,3.831757,拍卖出让,70,36643.0000,下限:1.00上限:2.50,2017年11月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dd32efb8-76de-4902-ad98-824a0cc24a3f,2019-08-28 08:48:41
安庆市本级,安庆置地公司邻里中心项目,东部新城，西至晴岚路，北至气象局，南至育才路，东至林语棠一期,其他商服用地,居民服务业,1.641404,拍卖出让,40,8732.0000,下限:0.00上限:1.80,2017年08月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2ae94d36-4112-44b1-8e11-a633c0438005,2019-08-28 08:51:52
安庆市本级,大发房地产(C-3),迎宾东路以北，朝阳路以东，C-3经济适用房以西，C-3保障性住房以南,其他普通商品住房用地,房地产业,2.702037,拍卖出让,70,18375.0000,下限:1.00上限:1.60,2017年08月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5f34ab33-6a04-4e2a-b119-be975a51469b,2019-08-28 08:52:51
安庆市本级,碧桂园·时代之光,东部新城，东至新河还建点，南至祥和路，西至潜江路，北至迎宾东路,其他普通商品住房用地,房地产业,7.112952,拍卖出让,70,58000.0000,下限:1.00上限:2.20,2017年08月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=63828313-1301-4c1f-8421-aad431ccf672,2019-08-28 08:53:40
安庆市本级,大发房地产(C-2),迎宾东路以北，文苑路以东，朝阳路以西，C-2保障性住房以南,其他普通商品住房用地,房地产业,4.561413,拍卖出让,70,30625.0000,下限:1.00上限:1.60,2017年08月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cacdd907-7593-4cf7-8411-2177916491ea,2019-08-28 08:54:53
安庆市本级,置地.皖江府项目,东部新城，西至晴岚路，北至育才路，南至华中东路，东至林语棠二期,其他普通商品住房用地,房地产业,4.083917,拍卖出让,70,44668.0000,下限:1.00上限:2.50,2017年08月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fcff8725-489f-4523-9678-87a2eaf10635,2019-08-28 08:56:04
安庆市本级,秦潭湖装备制造科技园一期项目,"临港经济开发区,东至内环西路,南至中俊新能源,西至方兴路,北至四号路",工业用地,专用设备制造业,8.243688,挂牌出让,50,3050.1700,下限:1.00上限:0.00,2017年07月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ed3fcc54-9874-48f8-9195-ee5c78288e7a,2019-08-28 08:57:13
安庆市本级,蓝宝石长晶与加工项目,经开区三期，东至规划地块，西至二号路，南至沿江路，北至四号路。,工业用地,其它,8.791353,挂牌出让,50,2216.0000,下限:1.00上限:0.00,2017年05月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2f3f1126-c457-4459-b90d-bb6d6b3117fa,2019-08-28 08:58:13
安庆市本级,年产100万台空气净化器项目,经开区罗冲工业园内，东至一号路，南至南环路，西至中力安公司，北至中船动力配套有限公司。,工业用地,家用空气调节器制造,1.093156,挂牌出让,50,404.5000,下限:1.00上限:0.00,2017年05月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b8e2cadd-4b3e-4910-ab56-caa9719c7d78,2019-08-28 08:59:01
安庆市本级,天盟房产,位于市开发区迎宾大道以南10-18-1地块。东至规划二路；南至10-19地块；西至社区二路；北至迎宾大道。,其他普通商品住房用地,房地产业,6.002613,拍卖出让,70,24771.0000,下限:1.00上限:1.80,2017年04月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f27bb5ed-1d2a-4162-9894-5e2d6ac2fba0,2019-08-28 08:59:44
