行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
安顺市本级,二环路与武当山路交叉口东北角地块建设项目,二环路与武当山路交叉口东北角,中低价位、中小套型普通商品住房用地,其他服务业,1.744500,挂牌出让,中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;批发零售用地40年;,2382.0000,下限:1.00上限:2.00,2015年09月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=89134768-ed10-4ce4-8266-50fa416e7cdb,2019-08-28 12:33:44
安顺市本级,安顺垃圾焚烧发电项目,轿子山大进村,工业用地,公共设施管理业,6.700827,挂牌出让,50,1195.0000,下限:0.00上限:0.55,2015年08月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f939ba3c-ff19-41f4-bda4-41a21b35d49f,2019-08-28 12:33:49
安顺市本级,南出口安紫公路与龙宫大道交叉口东南角地块建设项目,西秀区华西办事处玉碗井村,批发零售用地,房地产业,13.691600,挂牌出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;住宿餐饮用地40年;其他普通商品住房用地70年;仓储用地50,2054.0000,下限:1.00上限:1.51,2015年05月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=83200a7a-741d-4291-a719-624d7d2ed017,2019-08-28 12:33:58
安顺市本级,马家冲加油站地块建设项目,二环路与市府路交叉口东侧,批发零售用地,零售业,0.313519,挂牌出让,40,269.0000,下限:0.00上限:0.40,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=decfbe99-f123-443a-84ba-59f3f398afba,2019-08-28 12:34:01
安顺市本级,西秀区武当路与北航路交叉口西北角地块建设项目,武当路与北航路交叉口西北角,中低价位、中小套型普通商品住房用地,房地产业,4.004500,挂牌出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;其他普通商品住房用地70,601.0000,下限:1.00上限:2.20,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c7d89dde-5373-4dc3-9faa-a95103ccc366,2019-08-28 12:34:08
安顺市本级,虹山湖H4-01地块建设项目,西秀区东山路,批发零售用地,房地产业,4.614144,挂牌出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;其他普通商品住房用地70,693.0000,下限:1.00上限:3.80,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0e440e0e-520b-48b5-96a4-d29c66213d85,2019-08-28 12:34:14
安顺市本级,虹山湖H4-02地块建设项目,西秀区东山路,中低价位、中小套型普通商品住房用地,房地产业,4.722683,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;,996.0000,下限:1.00上限:2.60,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=09f1827c-96ad-458c-8745-3bfa68609790,2019-08-28 12:34:18
安顺市本级,西秀区玻璃厂、化工厂地块建设项目,西秀区凤东路,中低价位、中小套型普通商品住房用地,房地产业,0.148572,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;,119.0000,下限:1.00上限:4.50,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=26ef9b99-2c61-4d75-bf73-7618fe20b3b2,2019-08-28 12:34:25
安顺市本级,北航路与二十五号路交叉口西南角地块建设项目,北航路与二十五号路交叉口西南角,中低价位、中小套型普通商品住房用地,房地产业,4.073800,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;,612.0000,下限:1.00上限:2.70,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5b6fb421-1e68-4386-bd35-08a891b743ed,2019-08-28 12:34:33
安顺市本级,武当路东侧、人工湖西侧地块建设项目,西秀区武当路东侧、人工湖西侧,中低价位、中小套型普通商品住房用地,房地产业,0.560500,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;,85.0000,下限:1.00上限:2.00,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=692b69bb-2d2a-42e5-b275-0202f7168d81,2019-08-28 12:34:41
安顺市本级,虹山湖东山路H3地块建设项目,西秀区东山路,中低价位、中小套型普通商品住房用地,房地产业,3.338055,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;住宿餐饮用地40年;,501.0000,下限:1.00上限:2.80,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=793c4ab2-1e07-4ef7-9be2-0f186b8561bf,2019-08-28 12:34:51
安顺市本级,小十字五中校址地块建设项目,中华南路与蒋衙街交界处,批发零售用地,房地产业,0.128540,挂牌出让,40,1439.0000,下限:1.00上限:3.30,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=823d5af3-e42b-4d99-9879-2dcfaeab7b13,2019-08-28 12:34:58
安顺市本级,武当路与二环路交叉口西南角地块建设项目,武当路与二环路交叉口西南角,中低价位、中小套型普通商品住房用地,房地产业,2.591600,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;,389.0000,下限:1.00上限:2.20,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=858d8715-7f7e-4346-bb35-bbe0f8834638,2019-08-28 12:35:04
安顺市本级,武当路与北二十号路交叉口东南角地块建设项目,西秀区武当路与北二十号路交叉口东南角,中低价位、中小套型普通商品住房用地,房地产业,1.038100,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70年;,156.0000,下限:1.00上限:2.00,2015年04月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8cf75740-688c-4d03-9a67-ef984b3f569e,2019-08-28 12:35:08
安顺市本级,旧州镇农贸市场、集市、公租房及古镇新区商业步行街F地块项目,西秀区旧州镇,中低价位、中小套型普通商品住房用地,房地产业,2.291229,挂牌出让,批发零售用地40年;其他普通商品住房用地70年;中低价位、中小套型普通商品住房用地70,344.0000,下限:1.00上限:1.27,2015年02月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e1f021ba-4450-41c8-8a9e-2c03f3fb4d30,2019-08-28 12:35:14
安顺市本级,虹山湖东山路H5地块建设项目,西秀区东山路,中低价位、中小套型普通商品住房用地,房地产业,4.384312,挂牌出让,批发零售用地40年;商务金融用地40年;住宿餐饮用地40年;中低价位、中小套型普通商品住房用地70年;其他普通商品住房用地70,658.0000,下限:1.00上限:4.90,2014年11月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7ec71ba-e42b-479a-8697-999569560595,2019-08-28 12:35:16
