行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
宜宾市本级,宜宾良码智能科技有限公司,宜宾市临港开发区J–02–13（f）地块,工业用地,通讯设备、计算机及其他电子设备制造业,4.702700,挂牌出让,50,790.0536,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=45d68e8a-6759-4912-a696-35ce1960e47b,2019-08-27 22:41:07
宜宾市本级,文化创意产业用地,宜宾市李庄组团D-03-02地块,文体娱乐用地,文化艺术业,12.229500,挂牌出让,50,5503.2750,下限:0.00上限:1.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7514a50d-db0c-4340-9142-ff0b430fefbc,2019-08-27 22:41:09
宜宾市本级,宜宾山码科技有限公司,宜宾市临港开发区J–02–13（g）地块,工业用地,通讯设备、计算机及其他电子设备制造业,4.393600,挂牌出让,50,738.1248,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9eb5ecdc-2987-4014-aeff-8393704ac292,2019-08-27 22:41:12
宜宾市本级,四川悦兴实业有限公司,宜宾市临港开发区J-01-12（c）地块,工业用地,通讯设备、计算机及其他电子设备制造业,4.034900,挂牌出让,50,677.8632,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a6a22298-84db-4c36-a169-0aa53354827a,2019-08-27 22:41:16
宜宾市本级,四川悦兴实业有限公司,宜宾市临港开发区J-01-12（d）地块,工业用地,通讯设备、计算机及其他电子设备制造业,3.372200,挂牌出让,50,566.5296,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ab3b015f-f5c4-4192-a190-07a9edbc3ba8,2019-08-27 22:41:20
宜宾市本级,四川本码实业有限公司,宜宾市临港开发区J–02–13（b）地块,工业用地,通讯设备、计算机及其他电子设备制造业,4.212100,挂牌出让,50,707.6328,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ab7f12aa-1d71-44b2-828e-c64d49444849,2019-08-27 22:41:24
宜宾市本级,宜宾司马科技有限公司,宜宾市临港开发区J–02–13（h）地块,工业用地,通讯设备、计算机及其他电子设备制造业,5.515600,挂牌出让,50,926.6208,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e740836f-1b53-4ef8-a7e7-8bbe3e3571b5,2019-08-27 22:41:27
宜宾市本级,宜宾万信电子科技有限公司,宜宾市临港开发区J–03–02（d）地块,工业用地,通讯设备、计算机及其他电子设备制造业,2.677100,挂牌出让,50,449.7528,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=24aaeba6-547e-4b46-8c8a-b14954a04773,2019-08-27 22:41:30
宜宾市本级,宜宾本信电子科技有限公司,宜宾市临港开发区J–03–02（a）地块,工业用地,通讯设备、计算机及其他电子设备制造业,2.477200,挂牌出让,50,416.1696,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3289f3ba-e084-4b7f-a105-16172401271d,2019-08-27 22:41:32
宜宾市本级,宜宾众信电子科技有限公司,宜宾市临港开发区J–03–02（b）地块,工业用地,通讯设备、计算机及其他电子设备制造业,1.328900,挂牌出让,50,223.2552,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=35a1eadb-238a-43c8-8f18-5f9aad7a7f0f,2019-08-27 22:41:36
