行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
宜昌市本级,湖北易联置业有限公司位于东山园区周家冲三峡物联网孵化器二期,高新区东山园区周家冲,工业用地,专业技术服务业,2.526012,挂牌出让,50,731.0000,下限:1.00上限:2.00,2017年12月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb7167e4-cc98-423b-b573-42dec0ff7d02,2019-08-27 22:51:14
宜昌市本级,宜昌永耀电力集团有限责任公司位于桔乡路北侧工业项目用地,高新区生物产业园桔乡路北侧,工业用地,其它,9.413581,挂牌出让,50,2713.0000,下限:1.00上限:2.00,2017年12月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0810912e-3863-4b0e-8a60-4f3b45222e40,2019-08-27 22:51:18
宜昌市本级,湖北俏巴人休闲食品有限公司位于生物产业园共同北路西侧农副产品加工,生物产业园共同北路西侧,工业用地,农副食品加工业,2.649537,挂牌出让,50,764.0000,下限:1.00上限:2.00,2017年12月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=32698ce7-e936-49ff-a00e-fb15a6969a80,2019-08-27 22:51:25
宜昌市本级,宜昌恒智房地产开发有限公司位于东山园区西陵二路科教用地,东山园区西陵二路,科教用地,房地产业,4.669300,挂牌出让,50,6800.0000,下限:0.00上限:2.00,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=12623e07-b2e3-4c67-939a-1a18a25af14e,2019-08-27 22:51:31
宜昌市本级,宜昌高新投资开发有限公司位于电子信息产业园现状323省道与团结路交汇处东南侧居住用地,电子信息产业园现状323省道与团结路交汇处东南侧,其他普通商品住房用地,房地产业,4.751268,挂牌出让,70,9880.0000,下限:1.00上限:2.50,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a48d7f10-bef9-4336-9bb9-c0859a4a3cfd,2019-08-27 22:51:34
宜昌市本级,宜昌高新投资开发有限公司位于生物产业园东临路南侧商业用地,生物产业园东临路南侧,其他商服用地,房地产业,11.047357,挂牌出让,40,21200.0000,下限:0.00上限:4.50,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aac6a853-ca3e-4b24-8026-4141a85e878b,2019-08-27 22:51:36
宜昌市本级,宜昌恒科房地产开发有限公司位于东山园区西陵二路居住用地,东山园区西陵二路,其他普通商品住房用地,房地产业,7.210422,挂牌出让,70,97400.0000,下限:1.00上限:3.00,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cebee09c-ad36-4f34-a711-ac52faabc7d9,2019-08-27 22:51:39
宜昌市本级,宜昌高新投资开发有限公司位于电子信息产业园将军路北侧居住用地,电子信息产业园将军路北侧,其他普通商品住房用地,房地产业,4.558467,挂牌出让,70,8000.0000,下限:1.00上限:2.50,2017年11月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e632ac16-9f51-4132-abcb-d29c42146515,2019-08-27 22:51:42
宜昌市本级,宜昌德宝贸易有限公司、中国石油天然气股份有限公司湖北宜昌销售分公司,宜昌市伍家岗区东山三路与共同南路交汇处,批发零售用地,零售业,0.640940,挂牌出让,40,3110.0000,下限:0.00上限:0.50,2017年08月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4be26122-9164-46db-b176-8054ae651b69,2019-08-27 22:51:44
宜昌市本级,宜昌宏邦置业有限责任公司项目,西陵区白龙井路13号,其他普通商品住房用地,房地产业,1.409369,挂牌出让,0,11808.7927,下限:1.00上限:3.00,2017年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4966e74a-1c7f-4939-b09e-a5e830c3293b,2019-08-27 22:51:46
