行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
宜春市本级,江西正拓新能源科技股份有限公司,经开区春一路以南,工业用地,通讯设备、计算机及其他电子设备制造业,5.985487,拍卖出让,50,1300.0000,下限:1.00上限:,2017年12月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bb07fa08-f879-4365-90a9-888e44c35940,2019-08-27 23:07:11
宜春市本级,宜春赣锋锂业有限公司,经开区宜伟路以西,工业用地,金属制品业,4.867333,拍卖出让,50,1050.0000,下限:1.00上限:,2017年12月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d267521f-5a40-420f-9e3c-f83916df35fa,2019-08-27 23:07:13
宜春市本级,宜春市明月山旅游投资有限公司,温汤镇温潭公路以东、太平山路以南地段,其他商服用地,房地产业,21.839200,拍卖出让,其他商服用地40年;其他普通商品住房用地70年;,39600.0000,下限:1.00上限:1.10,2017年11月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fc252d5f-ac74-4faf-8f80-8e1169549d9b,2019-08-27 23:07:14
宜春市本级,宜春市创业投资有限公司,经开区春风路以南、春顺路以北、宜创路以西,工业用地,工艺品及其他制造业,27.872666,拍卖出让,50,5850.0000,下限:1.00上限:,2017年10月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8de44178-a0c3-44c7-9eb7-0a1959a11d11,2019-08-27 23:07:15
宜春市本级,江西升华新材料有限公司,经开区宜伟路以东、春帆路以北,工业用地,研究与试验发展,3.926986,拍卖出让,50,850.0000,下限:1.00上限:,2017年10月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b78d1b2f-7adf-4c1f-9f61-ba1d8e835b85,2019-08-27 23:07:17
宜春市本级,周林山、周晓庆,画眉路南侧、画眉小学东侧地段,其他普通商品住房用地,房地产业,2.761800,拍卖出让,70,11200.0000,下限:1.00上限:1.50,2017年10月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=72e1f82e-5dda-4f57-92bb-7a404c653c80,2019-08-27 23:07:19
宜春市本级,宜春华宇新能源科技发展有限公司,经开区宜云路以西地段,工业用地,研究与试验发展,3.061333,拍卖出让,50,640.0000,下限:1.00上限:,2017年10月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b123a928-89d3-445f-aed9-710c3b7184cd,2019-08-27 23:07:21
宜春市本级,江西宜春友博燃气有限公司,经开区春风路以北地段,工业用地,燃气生产和供应业,0.232660,拍卖出让,50,49.0000,下限:1.00上限:,2017年10月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=151a45cd-c5df-4cc8-839b-7a15e70c5ff8,2019-08-27 23:07:24
宜春市本级,鑫龙高科汽车制造有限责任公司,经开区春一路中段以南、河北御捷以北,工业用地,汽车制造,20.000000,拍卖出让,50,4150.0000,下限:1.00上限:,2017年06月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=44a357ac-02fa-4d3c-9fa7-a4dd97c911b2,2019-08-27 23:07:26
宜春市本级,明冠新材料股份有限公司,经开区经发大道以西,工业用地,制造业,0.307333,拍卖出让,50,65.0000,下限:1.00上限:,2017年04月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7f7ecebe-8d87-41da-a4f6-e881fe6f557d,2019-08-27 23:07:29
