行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
宣城市本级,宣城市水阳江大道与梅溪路交叉口西南角地块,水阳江大道与梅溪路交叉口西南角,中低价位、中小套型普通商品住房用地,房地产业,3.720000,拍卖出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,9980.0000,下限:1.00上限:1.60,2017年11月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2c141f31-5326-482f-89cc-303af8263893,2019-08-27 23:19:19
宣城市本级,宣城市薰化路与柏枧山路交叉口西北角地块,市区薰化路与柏枧山路交叉口西北角,中低价位、中小套型普通商品住房用地,房地产业,12.560000,拍卖出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,27100.0000,下限:1.00上限:2.12,2017年11月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5cbfb98c-d7fe-4763-9062-c82d151866a4,2019-08-27 23:19:20
宣城市本级,KGY1711,宣城经济技术开发区秋实路以北、致和路以东,工业用地,通用设备制造业,2.635600,挂牌出让,50,443.0000,下限:1.00上限:0.00,2017年10月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0f98665a-e66d-4877-b6de-21995806c751,2019-08-27 23:19:22
宣城市本级,宣城市文景路以南、创业路以东地块,文景路以南、创业路以东,科教用地,研究与试验发展,10.820000,挂牌出让,50,8390.0000,下限:0.80上限:1.50,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a140923d-f4ce-45fe-b6db-3add97e676e2,2019-08-27 23:19:23
宣城市本级,宣城市文景路与厚德路交叉口东北角地块,市区文景路与厚德路交叉口东北角,中低价位、中小套型普通商品住房用地,房地产业,18.460000,拍卖出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,58000.0000,下限:1.00上限:1.73,2017年09月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=06c691e2-c7a3-4c98-91a2-791ab562f5c9,2019-08-27 23:19:25
宣城市本级,宣城现代服务业产业园区工业F-2地块,市区宛陵东路以北、勤业街以西,工业用地,皮革、毛皮、羽毛（绒）及其制造业,5.425100,挂牌出让,50,912.0000,下限:1.00上限:0.00,2017年09月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9324a8dd-752a-4bc6-bd92-c30a84412508,2019-08-27 23:19:26
宣城市本级,宛陵路与大有街交叉口东南角地块,市区宛陵路与大有街交叉口东南角,批发零售用地,批发业,18.760000,挂牌出让,40,10966.0000,下限:0.00上限:1.60,2017年09月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=be6ca235-adc8-4849-ae9d-8baa8005690d,2019-08-27 23:19:28
宣城市本级,宣城市陵阳路以西加油加气站,市区陵阳路以西,批发零售用地,商务服务业,0.970000,拍卖出让,40,5080.0000,下限:上限:0.60,2017年09月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fcda1ac9-9cc6-4dc5-ae7c-c96502fcaf92,2019-08-27 23:19:29
宣城市本级,KGY1710,宣城经济技术开发区日新西路与致和路交叉口,工业用地,专用设备制造业,2.001100,挂牌出让,50,336.5000,下限:1.20上限:0.00,2017年08月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1e063201-cd32-4a83-86ef-02bc7945169a,2019-08-27 23:19:31
宣城市本级,KGY1706,宣城经济技术开发区致和路与承接路交叉口西北角,工业用地,通用设备制造业,2.953900,挂牌出让,50,497.0000,下限:1.00上限:0.00,2017年08月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dd942f17-0256-4ba1-a147-888a6dd6a688,2019-08-27 23:19:32
