行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
宿州市本级,宿州市工业投资集团有限公司,宿州市高新区汴河街道办事处邵杨村，红星路西侧,工业用地,房地产业,0.363027,挂牌出让,50,57.1767,下限:1.30上限:2.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=01646306-0a39-46df-835e-fb38318e4718,2019-08-27 23:33:02
宿州市本级,宿州市工业投资集团有限公司,宿州市埇桥区汴河街道办事处邵杨村,工业用地,房地产业,0.476463,挂牌出让,50,75.0425,下限:1.30上限:2.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=641453f7-0916-4f31-9790-fac10ddedba2,2019-08-27 23:33:05
宿州市本级,宿州市高新建设投资有限责任公司,宿州市高新区大王村、北外环路南侧,工业用地,房地产业,1.770351,挂牌出让,50,278.8307,下限:1.20上限:0.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=656b886d-6247-4c1e-aebf-d8fe354fd833,2019-08-27 23:33:08
宿州市本级,宿州市高新建设投资有限责任公司,宿州市高新区大王村、北外环路南侧、规划市场北路西侧,工业用地,房地产业,0.767814,挂牌出让,50,120.9306,下限:1.20上限:0.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a1791ba0-2769-4735-98f0-ccb0db132277,2019-08-27 23:33:10
宿州市本级,宿州市高新建设投资有限责任公司,宿州市高新区北十里村泗许高速北侧,工业用地,房地产业,0.954500,挂牌出让,50,150.3338,下限:1.20上限:0.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aae439a7-67e9-4e8a-817a-80a790b55279,2019-08-27 23:33:13
宿州市本级,宿州市工业投资集团有限公司,宿州市高新区汴河街道办事处邵杨村、红星路东侧,工业用地,房地产业,0.546545,挂牌出让,50,86.0811,下限:1.30上限:2.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b07b9cf8-aac5-45ea-98a1-675a3a3f1290,2019-08-27 23:33:15
宿州市本级,宿州市工业投资集团有限公司,宿州市埇桥区汴河街道办事处邵杨村,工业用地,房地产业,0.648308,挂牌出让,50,102.1083,下限:1.30上限:2.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c5e3a670-129e-4f9f-9aa2-04daec95a2a3,2019-08-27 23:33:17
宿州市本级,宿州市工业投资集团有限公司,宿州市埇桥区汴河街道办事处邵杨村,其他普通商品住房用地,房地产业,1.515486,挂牌出让,批发零售用地40年;其他普通商品住房用地70年;,2841.5375,下限:2.00上限:2.20,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e5e036ea-bb5e-476f-9f7c-dc5c6685126c,2019-08-27 23:33:24
宿州市本级,宿州市胜龙新材料科技有限公司,宿州经济技术开发区金泰五路东侧,工业用地,化学原料及化学制品制造业,0.989992,挂牌出让,50,155.9240,下限:0.70上限:0.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7c3ad69c-9331-4f66-b99a-60b68e158b95,2019-08-27 23:33:28
宿州市本级,宿州协和肿瘤医院有限公司,宿州市高新区北十里村、北外环路北侧,其他商服用地,卫生,6.413984,挂牌出让,40,6830.8958,下限:1.60上限:2.20,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=34ed47fc-5a85-487f-810c-5b832d63c04c,2019-08-27 23:33:31
