行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
宿迁市本级,江苏同乐乳胶制品有限公司,位于宿迁经济技术开发区,工业用地,橡胶制品业,3.960200,挂牌出让,50,570.2688,下限:1.00上限:,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=614A70F9EE4C37F4E055000000000001,2019-08-27 21:26:48
宿迁市本级,江苏雅泰科技产业园有限公司,位于宿迁经济技术开发区,工业用地,铝冶炼,17.711200,挂牌出让,50,2550.4128,下限:1.00上限:,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=614AA327032438EDE055000000000001,2019-08-27 21:26:52
宿迁市本级,2017(经）D湖滨新区02,湖滨新区,其他普通商品住房用地,房地产业,5.298500,挂牌出让,70,13511.1750,下限:1.00上限:2.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CBB643BD5051FF9E055000000000001,2019-08-27 21:26:55
宿迁市本级,2017(经）D湖滨新区03,湖滨新区,其他普通商品住房用地,房地产业,5.565600,挂牌出让,70,14192.2800,下限:1.00上限:2.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CE20CFEBA841808E055000000000001,2019-08-27 21:26:58
宿迁市本级,2017(经）D湖滨新区04,湖滨新区,其他普通商品住房用地,房地产业,6.898700,挂牌出让,70,17591.6850,下限:1.00上限:2.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CE20CFEBAA11808E055000000000001,2019-08-27 21:27:01
宿迁市本级,2017(经）D湖滨新区05,湖滨新区,其他普通商品住房用地,房地产业,6.696100,挂牌出让,70,16070.6400,下限:1.00上限:2.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CE265F5AF4718EEE055000000000001,2019-08-27 21:27:04
宿迁市本级,2017(经）D湖滨新区06,湖滨新区,其他普通商品住房用地,房地产业,3.875100,挂牌出让,70,9300.2400,下限:1.00上限:2.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CE2C42F03801A30E055000000000001,2019-08-27 21:27:06
宿迁市本级,2017(经）D湖滨新区07,湖滨新区,其他普通商品住房用地,房地产业,5.286600,挂牌出让,70,12687.8400,下限:1.00上限:2.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CE30550DC5B1B04E055000000000001,2019-08-27 21:27:07
宿迁市本级,2017(经）D湖滨新区08,湖滨新区,其他普通商品住房用地,房地产业,8.317500,挂牌出让,70,19962.0000,下限:1.00上限:2.80,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CE32BC44B891B7EE055000000000001,2019-08-27 21:27:09
宿迁市本级,宿迁市隆腾农业开发有限公司,湖滨新区皂河镇,工业用地,农、林、牧、渔服务业,1.723500,挂牌出让,30,116.3363,下限:1.00上限:0.00,2017年11月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5CCF29760E925C11E055000000000001,2019-08-27 21:27:10
