行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
岳阳市本级,商住用地,洞庭大道以北,其他普通商品住房用地,银行业,1.920000,挂牌出让,70,6150.0000,下限:1.01上限:2.50,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=84520464-531b-499c-ae25-dfa4e0021aa7,2019-08-28 08:46:11
岳阳市本级,岳阳港汨罗港区推山咀作业区一期工程建设项目,屈原管理区推山咀社区推山咀码头,港口码头用地,交通运输、仓储和邮政业,6.157600,挂牌出让,50,2145.0000,下限:0.55上限:0.55,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=71487ade-dda9-4679-83d6-e623fef2cb36,2019-08-28 08:49:12
岳阳市本级,岳阳市屈原管理区年产五万吨优质大米加工及仓储物流建设项目,营田镇推山咀社区,工业用地,农副食品加工业,9.206780,挂牌出让,50,2516.0000,下限:1.30上限:1.30,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a8690e6a-a035-48ce-91bd-ebac71e35d84,2019-08-28 08:49:57
岳阳市本级,屈原管理区营田镇余家坪棚户区改造安置房建设项目,营田镇糖厂居民区（橘颂路南侧）,其他普通商品住房用地,房地产业,0.541790,挂牌出让,70,834.0000,下限:3.00上限:3.00,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ae71ca71-6c1e-477b-9ded-4a59d6dbe472,2019-08-28 08:51:15
岳阳市本级,医慈善用地（医院）,枫桥湖路以南，汴河园路以东,医卫慈善用地,卫生,0.981400,挂牌出让,50,2020.0000,下限:上限:2.82,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8b1fb5ba-0955-48c1-8189-fb411ad410c3,2019-08-28 08:52:04
岳阳市本级,岳阳三福汽车销售服务有限公司,岳阳楼区梅溪乡滨湖村，联港路西侧,其他商服用地,商务服务业,0.770400,挂牌出让,40,1880.0000,下限:0.60上限:1.20,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bd7b25ea-0063-4838-9d76-e9b995db025d,2019-08-28 08:52:51
岳阳市本级,工业,监申桥路以南,工业用地,其它,1.510030,挂牌出让,50,625.0000,下限:1.10上限:,2017年12月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=50f9e8cc-4d29-4b39-b872-ed8256021a17,2019-08-28 08:53:39
岳阳市本级,岳土网挂（2013）08号,城北路以东，洛王西路以北,其他普通商品住房用地,房地产业,1.716300,挂牌出让,70,5050.0000,下限:1.01上限:3.51,2017年12月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3457f56d-d1a7-4214-abbd-bcbac3101d55,2019-08-28 08:54:37
岳阳市本级,商业、住宅用地,大塘路以东、置田庄路以南、分水垄路以西、瓦子坡路以北。,其他普通商品住房用地,房地产业,7.972360,挂牌出让,70,57300.0000,下限:1.01上限:2.80,2017年12月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=461e51be-1757-449e-8cd2-617469dc1825,2019-08-28 08:55:46
岳阳市本级,岳阳市屈原中大加油站,河市镇寺坪村屈汨路南线南侧,其他商服用地,商务服务业,0.095920,挂牌出让,40,86.5000,下限:0.80上限:0.80,2017年12月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0fccaef1-77a8-4e85-9049-f18d9781ae70,2019-08-28 08:56:58
岳阳市本级,加油站,长康路以西，畈嘴路以北,批发零售用地,商务服务业,0.203290,挂牌出让,40,940.0000,下限:上限:0.32,2017年12月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c6519386-a019-4675-bc7b-f7ab4138d330,2019-08-28 08:58:05
岳阳市本级,湖南津湘投资有限责任公司,岳阳楼区梅溪乡滨湖村，联港路以西,其他商服用地,商务服务业,0.593400,挂牌出让,40,1170.0000,下限:上限:1.20,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=43f16d08-5380-4416-b2bb-051795213f04,2019-08-28 08:58:56
岳阳市本级,湖南城陵矶临港新区开发投资有限公司,岳阳楼区城陵矶办事处，长江大道以西,工业用地,其他金融服务,6.553900,挂牌出让,50,2570.0000,下限:1.00上限:,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=90025aac-bb59-4ad7-b3fa-f7e490cd999a,2019-08-28 08:59:38
岳阳市本级,湖南城陵矶临港新区开发投资有限公司,岳阳楼区城陵矶办事处，长江大道以西,仓储用地,其他金融服务,8.600800,挂牌出让,50,3370.0000,下限:0.80上限:,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=de3009bb-f587-4a2f-826b-01e97a46f7ca,2019-08-28 09:00:10
岳阳市本级,南翔万商,南翔路东侧,其他商服用地,商务服务业,6.206850,挂牌出让,40,11950.0000,下限:上限:1.20,2017年12月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3d799a32-797c-4404-8911-083a4c1f35a0,2019-08-28 09:00:57
岳阳市本级,工业,京港澳连接线以北，星光北路以西,工业用地,专用设备制造业,6.950860,挂牌出让,50,6310.0000,下限:0.60上限:,2017年12月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5691f901-2abc-4ed0-9ce9-a0ddf243cd65,2019-08-28 09:01:47
