行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
巴中市本级,金华泰汽车配件生产,四川巴中经济开发区兴文街道文丛村I6-01-02宗地,工业用地,汽车制造,1.623725,挂牌出让,50,171.0000,下限:1.20上限:,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb37bb27-d098-43df-a05d-3bcaebead5bd,2019-08-28 13:30:53
巴中市本级,置信府,四川巴中经济开发区时新街道灰山村B3-01宗地,其他普通商品住房用地,房地产业,17.667563,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,25177.0000,下限:1.00上限:2.70,2017年11月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d847ba7b-1e75-4f92-aac8-e669d2ed3cb1,2019-08-28 13:32:13
巴中市本级,西部云谷,四川巴中经济开发区兴文街道五谷村J5-02-01宗地,科教用地,软件业,3.289156,拍卖出让,50,1135.0000,下限:上限:1.50,2017年11月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=411e3478-70b3-4535-9cb8-f6ea4412da11,2019-08-28 13:33:38
巴中市本级,西部云谷商住配套,四川巴中经济开发区兴文街道五谷村、牛角村J4-07-02宗地,其他普通商品住房用地,房地产业,3.333335,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,3301.0000,下限:1.00上限:3.00,2017年11月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=52a61049-60b3-449e-853d-7b68b1471da2,2019-08-28 13:35:04
巴中市本级,常州医药一次性医疗器材生产项目,四川巴中经济开发区兴文街道五谷村I8-06-05宗地,工业用地,橡胶制品业,5.135188,挂牌出让,50,694.0000,下限:1.20上限:2.00,2017年10月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c39d6888-a454-4aa0-8946-333e98c13fad,2019-08-28 13:36:21
巴中市本级,东片农贸市场,四川巴中经济开发区兴文街道中山村I7-09宗地,批发零售用地,零售业,1.114750,拍卖出让,40,1673.0000,下限:0.00上限:1.00,2017年10月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=26f4dc33-62b3-4d2f-8cda-e6f5d3402a95,2019-08-28 13:37:20
巴中市本级,骨科医院,四川巴中经济开发区时新街道园柏村F5-06宗地,医卫慈善用地,卫生,3.327746,挂牌出让,50,2247.0000,下限:0.00上限:2.00,2017年10月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b850ef1e-d3a6-4592-9a17-c51b3cfcda4a,2019-08-28 13:38:11
巴中市本级,经开区J3-03商住用地项目,四川巴中经济开发区兴文街道中山村、兴新居委会、狮子村J3-03宗地,其他普通商品住房用地,房地产业,11.263274,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,17740.0000,下限:1.00上限:3.00,2017年09月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=77303a24-2ace-46ef-838e-07da026811f4,2019-08-28 13:39:09
巴中市本级,大众创业园标准化厂房,四川巴中经济开发区兴文街道中山村一组、文丛村二组I6-04-02-02宗地,工业用地,仪器仪表及文化、办公用机械制造业,4.999894,挂牌出让,50,675.0000,下限:1.50上限:0.00,2017年09月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f63ae219-5251-4d37-92fc-eeca6ad59a15,2019-08-28 13:40:01
巴中市本级,I6-04-02-01商服项目,四川巴中经济开发区兴文街道中山村一组、文丛村二组I6-04-02-01宗地,其他商服用地,商务服务业,1.701493,拍卖出让,40,1532.0000,下限:0.00上限:3.00,2017年08月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4b649804-724b-4c92-9cf5-5bac7cf84fec,2019-08-28 13:41:02
