行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
金坛市,江苏金东投资发展有限公司新建项目,239省道东侧塘沿村地块,其他商服用地,批发业,0.213500,挂牌出让,40,1932.5000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D0D0FD994742CE055000000000001,2019-08-28 08:53:43
金坛市,江苏金东投资发展有限公司新建项目,201县道西侧康美化工地块,其他商服用地,批发业,1.758700,挂牌出让,40,15852.4000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D0D0FD99C742CE055000000000001,2019-08-28 08:54:45
金坛市,江苏金东投资发展有限公司新建项目,239省道西侧儒南路南侧地块一,其他商服用地,批发业,0.198600,挂牌出让,40,1791.9000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D28E423F9749EE055000000000001,2019-08-28 08:56:09
金坛市,江苏金东投资发展有限公司新建项目,儒林大街南侧黄泥坝地块二,其他商服用地,批发业,0.247100,挂牌出让,40,2233.6000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D28E42430749EE055000000000001,2019-08-28 08:57:34
金坛市,江苏金东投资发展有限公司新建项目,儒林镇儒林河东侧、239省道北侧地块一,其他商服用地,批发业,0.539000,挂牌出让,40,4834.1000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D28E42435749EE055000000000001,2019-08-28 08:59:00
金坛市,江苏金东投资发展有限公司新建项目,儒林中河南侧常溧高速东侧地块,其他商服用地,批发业,0.354400,挂牌出让,40,3177.8000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D28E42439749EE055000000000001,2019-08-28 08:59:44
金坛市,江苏金东投资发展有限公司新建项目,北干河南侧、239省道东侧地块二,其他商服用地,批发业,0.056400,挂牌出让,40,488.7000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D28E42440749EE055000000000001,2019-08-28 09:00:17
金坛市,江苏金东投资发展有限公司新建项目,儒林中河北侧201县道西南侧地块,其他商服用地,批发业,0.845100,挂牌出让,40,7621.4000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D2FAF5C7374A0E055000000000001,2019-08-28 09:01:03
金坛市,江苏金东投资发展有限公司新建项目,北干河南侧、239省道东侧地块六,其他商服用地,批发业,0.443000,挂牌出让,40,3360.7000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D334A3E0074EAE055000000000001,2019-08-28 09:01:35
金坛市,江苏金东投资发展有限公司新建项目,北干河南侧、239省道东侧地块一,其他商服用地,批发业,0.765600,挂牌出让,40,6898.2000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D38427417749CE055000000000001,2019-08-28 09:02:14
金坛市,江苏金东投资发展有限公司新建项目,239省道西侧儒南路南侧地块二,其他商服用地,批发业,0.354900,挂牌出让,40,3179.9000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D59D46A9B7548E055000000000001,2019-08-28 09:03:22
金坛市,江苏金东投资发展有限公司新建项目,儒林大街南侧黄泥坝地块一,其他商服用地,批发业,0.228300,挂牌出让,40,2070.7000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615D6AF225D2757AE055000000000001,2019-08-28 09:04:12
金坛市,江苏金东投资发展有限公司新建项目,239省道西侧、儒林中河南侧地块,其他商服用地,批发业,0.285300,挂牌出让,40,2562.2000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615DE0D2735F76E6E055000000000001,2019-08-28 09:05:01
金坛市,江苏金东投资发展有限公司新建项目,北干河南侧、239省道东侧地块三,其他商服用地,批发业,3.594600,挂牌出让,40,32389.2000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615DE8A95ED67740E055000000000001,2019-08-28 09:06:05
金坛市,江苏金东投资发展有限公司新建项目,北干河南侧、239省道东侧地块四,其他商服用地,批发业,4.742500,挂牌出让,40,42733.5000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615DF6BEEDDA7777E055000000000001,2019-08-28 09:07:32
金坛市,江苏金东投资发展有限公司新建项目,北干河南侧、239省道东侧地块五,其他商服用地,批发业,1.036500,挂牌出让,40,9325.2000,下限:1.00上限:3.50,2017年12月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615E06221E3F7722E055000000000001,2019-08-28 09:09:10
溧阳市,溧阳市燕山公园西侧（一期）A地块,燕山公园西侧、104国道南侧、241省道东侧,其他普通商品住房用地,房地产业,6.901300,挂牌出让,70,40249.0000,下限:1.00上限:1.60,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=615DE14708C5773CE055000000000001,2019-08-28 09:10:36
溧阳市,溧阳市燕山公园西侧（一期）B地块,燕山公园西侧、104国道南侧、241省道东侧,其他普通商品住房用地,房地产业,5.991500,挂牌出让,70,34949.0000,下限:1.00上限:1.60,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=61612F4D6C230334E055000000000001,2019-08-28 09:12:20
溧阳市,溧阳市燕山公园西侧（一期）C地块,燕山公园西侧、104国道南侧、241省道东侧,其他普通商品住房用地,房地产业,6.583400,挂牌出让,70,38397.0000,下限:1.00上限:1.60,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=616150104A6502F4E055000000000001,2019-08-28 09:14:19
溧阳市,溧阳市燕山公园西侧（一期）D地块,燕山公园西侧、104国道南侧、241省道东侧,其他普通商品住房用地,房地产业,6.554500,挂牌出让,70,38229.0000,下限:1.00上限:1.60,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6161D8B2B2A904FDE055000000000001,2019-08-28 09:15:53
武进区,常州市宝山冷藏设备有限公司,武进区洛阳镇武澄路东侧、创盛路南侧（挂牌编号：GWJ20171503）,工业用地,金属制品业,1.665200,挂牌出让,50,749.3400,下限:0.70上限:2.50,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6172809D158D3B98E055000000000001,2019-08-28 09:17:45
金坛市,常州市金坛区金城镇元巷村村民委员会新建项目,丹阳门北路东侧、春风北路南侧地块,其他商服用地,批发业,0.105600,挂牌出让,40,203.2000,下限:0.00上限:1.20,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60E96609ABA167F3E055000000000001,2019-08-28 09:18:36
金坛市,江苏金坛国发国际投资发展有限公司新建项目,中兴路西侧、金江苑北侧地块,其他商服用地,批发业,0.861900,挂牌出让,40,1886.7000,下限:0.00上限:1.20,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60EA53A1AA6A6B7AE055000000000001,2019-08-28 09:19:14
武进区,常州嘉宏融科置业发展有限公司,武进区采菱家园北侧（挂牌编号：JWJ20170701号）,其他普通商品住房用地,房地产业,3.115574,挂牌出让,70,24500.0000,下限:1.00上限:2.20,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6047D261B43C4D52E055000000000001,2019-08-28 09:20:09
钟楼区,玉龙南路西侧、运河路北侧（科技街1号）地块,玉龙南路西侧、运河路北侧,其他商服用地,房地产业,2.032000,挂牌出让,40,18500.0000,下限:1.00上限:2.00,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60C2862A1E3C614DE055000000000001,2019-08-28 09:21:25
钟楼区,玉龙南路东侧、运河路北侧（科技街4号）地块,玉龙南路东侧、运河路北侧,其他商服用地,房地产业,4.815300,挂牌出让,40,43900.0000,下限:1.00上限:2.00,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60D08AB3F9210FB4E055000000000001,2019-08-28 09:22:38
溧阳市,溧阳市溧城镇燕山南路西侧1号地块,溧阳市溧城镇燕山南路西侧,其他商服用地,商务服务业,1.154800,挂牌出让,40,13860.0000,下限:0.00上限:2.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60942B8AC0564488E055000000000001,2019-08-28 09:24:05
溧阳市,溧阳市溧城镇燕山南路西侧5号地块,溧阳市溧城镇燕山南路西侧,其他商服用地,商务服务业,2.547800,挂牌出让,40,30570.0000,下限:0.00上限:2.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6094FF8A641947EBE055000000000001,2019-08-28 09:25:45
溧阳市,溧阳市溧城镇燕山南路西侧9号地块,溧阳市溧城镇燕山南路西侧,其他商服用地,商务服务业,0.051600,挂牌出让,40,620.0000,下限:0.00上限:2.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=609500BEA9274785E055000000000001,2019-08-28 09:27:26
溧阳市,溧阳市溧城镇燕山南路西侧7号地块,溧阳市溧城镇燕山南路西侧,其他商服用地,商务服务业,0.205100,挂牌出让,40,2460.0000,下限:0.00上限:2.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=609527AFA5BC4893E055000000000001,2019-08-28 09:28:39
溧阳市,溧阳市溧城镇燕山南路西侧11号地块,溧阳市溧城镇燕山南路西侧,其他商服用地,商务服务业,4.225600,挂牌出让,40,50710.0000,下限:0.00上限:2.50,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6095ED7C7FBC4B1EE055000000000001,2019-08-28 09:29:49
金坛市,江苏五信新材料科技股份有限公司新建项目,直溪镇直东路南侧、东直里路东侧,工业用地,专用设备制造业,4.536500,挂牌出让,50,1320.1000,下限:0.00上限:0.80,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60A8AF9F65EA0895E055000000000001,2019-08-28 09:31:37
金坛市,常州江南茅山医院有限公司新建项目,茅山旅游度假区二地块,医卫慈善用地,卫生,4.575200,挂牌出让,50,1372.6000,下限:1.00上限:1.05,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6094A636203D46A7E055000000000001,2019-08-28 09:33:38
天宁区,鲜鱼巷西侧、周线巷北侧地块,鲜鱼巷西侧、周线巷北侧,其他普通商品住房用地,房地产业,0.283900,挂牌出让,其他商服用地40年，其他普通商品住房用地70年,4700.0000,下限:1.00上限:7.00,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6094CAB9E3EF4747E055000000000001,2019-08-28 09:35:26
金坛市,江苏默元房地产开发有限公司新建项目,茅山旅游度假区地块一,其他商服用地,批发业,3.663300,挂牌出让,40,2747.5000,下限:1.00上限:1.05,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6094F99BF8D94781E055000000000001,2019-08-28 09:36:28
