行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
常德市本级,杨桥河西地块六,青杨路以东、紫菱路以南、新河渠以北,其他普通商品住房用地,房地产业,5.917100,挂牌出让,其他普通商品住房用地70年;批发零售用地40年;,50200.0000,下限:2.00上限:2.50,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6dd58376-fda3-4e35-884e-1e94f5af0ac5,2019-08-28 22:37:40
常德市本级,杨桥河西地块五,长庚路以西、紫菱路以南、新河渠以北,其他普通商品住房用地,房地产业,11.753646,挂牌出让,批发零售用地40年;其他普通商品住房用地70年;,104400.0000,下限:2.00上限:2.50,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9f8ca490-c28f-4bae-a266-f9348eccbf4c,2019-08-28 22:37:42
常德市本级,柳叶湖中学西地块,柳泉北路以东、紫缘路以南、柳泉东路以北,其他普通商品住房用地,房地产业,3.015977,挂牌出让,批发零售用地40年;其他普通商品住房用地70年;,18810.0000,下限:1.50上限:2.20,2017年12月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dfdfba72-c63b-42fc-a641-1f7fba9faf05,2019-08-28 22:37:44
常德市本级,电子产业园一,德山大道以西、金德雷射以北,工业用地,通用设备制造业,8.805950,挂牌出让,50,2904.0000,下限:0.80上限:,2017年12月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=31378c69-5d6d-43db-bde5-b2fda55492a8,2019-08-28 22:37:47
常德市本级,石墨烯新材料,政德路以南、松林路以西,工业用地,电气机械及器材制造业,14.099480,挂牌出让,50,4087.0000,下限:1.00上限:,2017年12月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=01756e22-c789-4369-91c1-0a11f611a3a2,2019-08-28 22:37:49
常德市本级,电子产业园二,德山大道以西、金德雷射以北,工业用地,通用设备制造业,5.816480,挂牌出让,50,1918.0000,下限:0.80上限:,2017年12月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e9e1f885-780b-49b8-a879-1e5491647209,2019-08-28 22:37:51
常德市本级,智见控股集团,海德路以西、桃林路以北,工业用地,金属制品业,15.150820,挂牌出让,50,4741.0000,下限:1.00上限:,2017年12月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d616b0de-41ce-431e-a09e-8ea636149383,2019-08-28 22:37:54
常德市本级,飞桥板簧工业项目,中联路以南、乾明路以西,工业用地,交通运输设备制造业,5.690360,挂牌出让,50,1638.0000,下限:0.70上限:,2017年12月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b9ba0b68-e89b-4d86-b54b-152da275afff,2019-08-28 22:37:56
常德市本级,东景盛电子产业园,乾明路以西、三一路以北,工业用地,通用设备制造业,2.656680,挂牌出让,50,739.0000,下限:0.80上限:,2017年12月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3a64b197-5a89-4c4e-9c24-cf66fe3ed5ac,2019-08-28 22:37:58
常德市本级,重庆药友工业挂牌,尚德路以东、明建路以北,工业用地,医药制造业,7.343790,挂牌出让,50,2108.0000,下限:1.00上限:,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dafa1d3c-e97f-4f26-a809-182c6c69d884,2019-08-28 22:38:00
