行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
张家界市本级,仙人溪特色街区（云顶二期）出让供地,永定城区机场路南侧，云顶会西侧,其他商服用地,房地产业,3.132510,挂牌出让,40,8460.0000,下限:上限:1.80,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=769cc0f7-1098-4197-8daa-9bc360042654,2019-08-28 13:59:40
张家界市本级,万众新型墙体材料产业园,张家界经济开发区C区,工业用地,砖瓦、石材及其他建筑材料制造,2.738300,挂牌出让,50,730.0000,下限:1.00上限:1.60,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39bd3808-6de3-4bfb-8d32-edf8bb394298,2019-08-28 14:00:29
张家界市本级,年产500吨葛根粉腊味食品生产,张家界经济开发区C区,工业用地,食品制造业,1.020600,挂牌出让,50,263.8000,下限:1.00上限:1.60,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=15dd4d6e-504a-41c9-ad0a-1a49acb37c99,2019-08-28 14:01:32
张家界市本级,烟草物流园,张家界经济开发区C区,仓储用地,仓储业,3.354050,挂牌出让,40,2015.0000,下限:1.00上限:2.00,2017年12月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1dc94e13-0ca3-48d6-97d9-a98d729942b9,2019-08-28 14:02:36
张家界市本级,绿色粮油集散中心,张家界市经济开发区C区,工业用地,农副食品加工业,0.429940,挂牌出让,50,151.0000,下限:1.00上限:1.60,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9f4747ea-10f4-466e-82f4-6373764ae2d3,2019-08-28 14:03:44
张家界市本级,义乌国际商贸城地块三,张家界经济开发区C区,批发零售用地,商务服务业,2.280940,挂牌出让,40年,1813.0000,下限:上限:2.00,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8d384fd6-e34a-4f48-abc5-0425f907f4ff,2019-08-28 14:04:49
张家界市本级,义乌国际商贸城地块二,张家界市经济开发区C区,批发零售用地,商务服务业,3.665300,挂牌出让,40,2915.0000,下限:上限:2.00,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7fbdf47-abb3-4202-b07b-f6534c0c5dfe,2019-08-28 14:06:03
张家界市本级,义乌国际商贸城地块一,张家界市经济开发区C区,批发零售用地,商务服务业,2.602360,挂牌出让,40,2070.0000,下限:上限:2.00,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b8bc09e4-ff40-438c-bcdd-27becba5e546,2019-08-28 14:07:08
张家界市本级,张家界天翔房地产开发有限公司,永定区沙堤办事处郝坪村沙堤旅游商品产业园一期商业街B地块,住宿餐饮用地,房地产业,1.191970,挂牌出让,40,1407.0000,下限:1.00上限:2.00,2017年12月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=62d44572-8d43-4b21-aab8-99aea5e96960,2019-08-28 14:08:13
张家界市本级,张家界天翔房地产开发有限公司,永定区沙堤办事处郝坪村沙堤旅游商品产业园一期商业街A地块,住宿餐饮用地,房地产业,1.160530,挂牌出让,40,1333.0000,下限:上限:1.50,2017年12月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8192845a-2a1e-40b2-b904-e01a21938157,2019-08-28 14:09:21
