行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济开发区凤凰大道西侧工业项目,徐州经济开发区凤凰大道绿化带西,工业用地,房地产业,2.529900,挂牌出让,40,424.0000,下限:1.00上限:0.00,2016年06月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=341F004C16A04E07E055000000000001,2019-08-28 22:55:33
徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区京杭运河以南D地块城镇住宅项目,京杭运河以南、规划路以北,其他普通商品住房用地,房地产业,16.325910,挂牌出让,70,36750.0000,下限:1.00上限:2.50,2015年01月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=122F15E457B64B9EAB8182117CF3FE4E,2019-08-28 22:55:34
徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区高新路北延以东地块城镇住宅、商服项目,高新路北延以东、规划路以南,其他商服用地,房地产业,23.110340,挂牌出让,70,51900.0000,下限:1.00上限:2.50,2015年01月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5B7ACFA716594932A351868C460CE774,2019-08-28 22:55:50
徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区总部经济园GA线北侧城镇住宅项目,总部经济园GA线北侧,其他普通商品住房用地,房地产业,6.731600,挂牌出让,70,27270.0000,下限:1.00上限:2.00,2015年01月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8BDFB438F6B6482088D7576DE55B7AEE,2019-08-28 22:55:54
徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区京杭运河以南A地块城镇住宅项目,京杭运河以南、规划路以北,其他普通商品住房用地,房地产业,16.237530,挂牌出让,70,36555.0000,下限:1.00上限:2.50,2015年01月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=CFFB6507F0DC4E21AA64575AFFE8E6E5,2019-08-28 22:55:56
徐州市本级,徐州泓锦坤置业服务有限公司泉山区时代大道以南徐丰公路以西商务金融、其他商服项目,泉山区时代大道以南徐丰公路以西,其他商服用地,房地产业,12.328800,挂牌出让,40,5550.0000,下限:1.20上限:1.50,2014年11月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=C702CC008DB3489BA8115934233E669D,2019-08-28 22:55:58
徐州市本级,香港龙安投资有限公司泉山区时代大道以南徐丰公路以西仓储项目,泉山区时代大道以南，徐丰公路以西,仓储用地,仓储业,20.997000,挂牌出让,40,4310.0000,下限:0.70上限:1.00,2014年11月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=F99962E7F7DF4F10B30E829B0729D175,2019-08-28 22:56:00
徐州市本级,智盛房地产开发有限公司和徐州海智房地产开发有限公司（徐州海泉房地产开发有限公司）泉山区健康路南矿山路北商服、城镇住宅项目,泉山区健康路南矿山路北,其他普通商品住房用地,房地产业,9.808700,挂牌出让,70,102970.0000,下限:2.00上限:2.50,2014年10月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6EAFB93161C34DBEB5176B9BE082D05D,2019-08-28 22:56:12
徐州市本级,荣盛房地产发展有限公司和悦欣国际有限公司泉山区三环南路南欣欣路北姚庄南B地块商务金融、城镇住宅、文化设施项目,泉山区三环南路南欣欣路北姚庄南B地块,其他普通商品住房用地,房地产业,16.691800,挂牌出让,40,68200.0000,下限:2.00上限:2.80,2014年10月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=20E8049B4F2B4D67BB8AD24DB1B95A8C,2019-08-28 22:56:20
徐州市本级,荣盛房地产发展有限公司和悦欣国际有限公司泉山区三环南路南欣欣路北A地块商务金融、城镇住宅、文化设施项目,"泉山区三环南路南,欣欣路北",其他普通商品住房用地,房地产业,14.872500,挂牌出让,70,60650.0000,下限:2.00上限:2.80,2014年10月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=22E568F8F19A4BB798B9488379ACB5EE,2019-08-28 22:56:23
