行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
攀枝花市本级,2014-R21＃,仁和区迤沙拉大道,批发零售用地,零售业,0.395652,拍卖出让,40,898.0000,下限:0.00上限:1.50,2017年11月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=51144624-0081-485e-9b89-173a70881de5,2019-08-28 22:24:51
攀枝花市本级,2017-R4#,仁和镇田坝村,其他普通商品住房用地,房地产业,2.976140,拍卖出让,其他普通商品住房用地70年;批发零售用地40年;,7140.0000,下限:1.00上限:3.00,2017年11月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a1cdf112-043e-4403-ad28-4405e9cecb4d,2019-08-28 22:24:53
攀枝花市本级,2014-R17#,仁和区前进镇普达村,其他普通商品住房用地,房地产业,5.171091,拍卖出让,70,5100.0000,下限:1.00上限:1.80,2017年11月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a8cacfd7-fee8-4576-bbd6-0854ce749793,2019-08-28 22:24:57
攀枝花市本级,2017-BS1#,炳三区市政务中心对面,批发零售用地,房地产业,4.979512,挂牌出让,40,10338.0000,下限:0.00上限:2.20,2017年11月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e1c8cd4a-371c-442a-a6f3-b353ee1c1446,2019-08-28 22:24:58
攀枝花市本级,2016-H14#,花城新区干坝塘片区,其他普通商品住房用地,房地产业,5.416691,拍卖出让,70,9750.0000,下限:1.00上限:2.00,2017年11月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e030b1bd-488d-44ff-8267-f593f8e8ebad,2019-08-28 22:25:01
攀枝花市本级,2014-FT17#,攀枝花钒钛高新技术产业开发区,工业用地,金属制品业,1.780599,挂牌出让,30,235.0000,下限:1.00上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5ac02368-0187-4522-aa68-19f6aad0cb12,2019-08-28 22:25:04
攀枝花市本级,2016-FT5#,攀枝花钒钛高新技术产业开发区,工业用地,其它,0.223606,挂牌出让,30,36.0000,下限:1.00上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a4206c56-20f6-43a1-82bd-9ca7b987e365,2019-08-28 22:25:08
攀枝花市本级,2016-FT11#,攀枝花钒钛高新技术产业开发区,工业用地,其它,1.280688,挂牌出让,30,167.0000,下限:1.00上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bf8d1b87-2946-4aa0-920f-e7620f1009ad,2019-08-28 22:25:13
攀枝花市本级,2016-FT10#,攀枝花钒钛高新技术产业开发区,工业用地,其它,0.767823,挂牌出让,30,117.0000,下限:1.00上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cc816cbb-b206-4df0-9bd4-f86d65c3bc90,2019-08-28 22:25:15
攀枝花市本级,2016-FT12#,攀枝花钒钛高新技术产业开发区,工业用地,有色金属冶炼及压延加工业,0.350166,挂牌出让,30,52.0000,下限:1.00上限:0.00,2017年10月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ebea2ae1-617e-4533-824e-32de7af34d6b,2019-08-28 22:25:19
