行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
新余市本级,天宇胶袋LED配套产品生产项目,西城大道以东，浙赣铁路以北,工业用地,通用设备制造业,1.421849,挂牌出让,50,140.0000,下限:1.00上限:1.50,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=167e7bfa-9d76-488c-9a19-8081f257e877,2019-08-28 16:06:06
新余市本级,杰诚塑业包装袋、快递袋成产项目,南源路以南，西城大道以东,工业用地,塑料制品业,2.147255,挂牌出让,50,211.0000,下限:1.00上限:1.50,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2a0dd044-a56c-423b-989a-95253aec6b25,2019-08-28 16:06:50
新余市本级,信宏新材料美纹纸胶带生产,光明路与纵二路交叉口西北角,工业用地,塑料制品业,2.955460,挂牌出让,50,284.0000,下限:1.00上限:1.50,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7dcf14f8-3f08-4b28-9ad2-64769f1da0c0,2019-08-28 16:07:34
新余市本级,欣涵科技钢结构生产项目,南源路以南，西城大道以东,工业用地,金属制品业,2.373940,挂牌出让,50,233.0000,下限:1.00上限:1.50,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7e11df92-27d3-419e-bf3d-ba685e7d6790,2019-08-28 16:08:20
新余市本级,保安服务金融物流项目建设,阳光大道与虎跃路交叉口西北角,仓储用地,仓储业,1.935651,挂牌出让,50,310.0000,下限:0.50上限:1.00,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=81218771-34c8-4978-8e8f-1b8e28568cf1,2019-08-28 16:08:52
新余市本级,长富化工工业清洗剂生产项目,横二路以北，大凯新材料公司以东,工业用地,化学原料及化学制品制造业,0.832154,挂牌出让,50,82.0000,下限:1.00上限:1.50,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eab07067-1936-4fa2-8568-75b6c2a13388,2019-08-28 16:09:22
新余市本级,远大幼儿园,河下路以北、冶金学院以西,科教用地,教育业,1.919150,拍卖出让,50,233.1747,下限:1.00上限:1.00,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0275c4da-d7c5-47f5-8815-ac924dd2b272,2019-08-28 16:09:56
新余市本级,钢丝厂商住,老清宜公路钢丝厂老厂区内,中低价位、中小套型普通商品住房用地,房地产业,5.220966,拍卖出让,70,9397.6800,下限:1.00上限:2.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3212e2c5-7b37-4205-a6df-50be9fc731ff,2019-08-28 16:10:22
新余市本级,钢丝厂商贸物流,老清宜公路钢丝厂老厂区内,商务金融用地,商务服务业,1.716394,拍卖出让,40,2136.9180,下限:0.00上限:1.20,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7fc5850f-03e4-4beb-a98a-441b48ec685e,2019-08-28 16:10:44
新余市本级,钢丝厂商住,老清宜公路钢丝厂老厂区内,中低价位、中小套型普通商品住房用地,房地产业,3.998902,拍卖出让,70,6598.2400,下限:1.00上限:1.80,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=85b74365-fec4-46bb-a811-298f6f4393bb,2019-08-28 16:11:09
新余市本级,钢丝厂商贸物流,老清宜公路钢丝厂老厂区内,商务金融用地,商务服务业,4.053069,拍卖出让,40,5046.0680,下限:0.00上限:1.20,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a2ced0bc-fe49-4727-abe5-c2ff70c0f320,2019-08-28 16:12:39
新余市本级,钢丝厂商住,老清宜公路钢丝厂老厂区内,中低价位、中小套型普通商品住房用地,房地产业,4.525811,拍卖出让,70,7467.5700,下限:1.00上限:1.80,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bb6dfda8-fe4d-401b-b69c-f156fb477aff,2019-08-28 16:13:05
新余市本级,钢丝厂商住,老清宜公路钢丝厂老厂区内,中低价位、中小套型普通商品住房用地,房地产业,3.800873,招标出让,70,6271.4300,下限:1.00上限:1.80,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bdb34548-471e-4d96-a67f-703d34f32cba,2019-08-28 16:13:21
新余市本级,钢丝厂商住,老清宜公路钢丝厂老厂区内,中低价位、中小套型普通商品住房用地,房地产业,1.987683,拍卖出让,70,3279.6500,下限:1.00上限:0.00,2017年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f6c40085-b47a-4f85-95d7-a84765717477,2019-08-28 16:13:56
新余市本级,新能源科技职业学院,阳光大道以南，泉州大道以东,科教用地,教育业,10.730054,挂牌出让,50,2420.0000,下限:0.00上限:1.00,2017年12月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=49b3fa81-cd03-4f72-ba87-6fc31754f202,2019-08-28 16:14:27
新余市本级,品佳不锈钢制品生产项目,渝东大道以南，水马线以东，南源路以北,工业用地,金属制品业,0.832571,挂牌出让,50,82.0000,下限:1.00上限:1.50,2017年11月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17061ea3-671c-4d48-810a-acb90af2fc37,2019-08-28 16:15:36
