行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
昭通市本级,昭通锦海房地产开发有限公司,新区太平路旁,批发零售用地,房地产业,4.059500,挂牌出让,40,6099.3988,下限:0.00上限:3.00,2014年06月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1551ff4f-7a45-48b8-9847-5eebef8bb940,2019-08-28 20:58:52
昭通市本级,昭通中心城市昭市土储2013-01号国有建设用地,昭通中心城市二环南路南侧,其他普通商品住房用地,房地产业,0.351970,挂牌出让,其他商服用地40年;其他普通商品住房用地70,728.5779,下限:2.00上限:4.00,2013年09月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=42126387-e2f7-45b6-a5a3-6549a6fafb60,2019-08-28 20:58:54
昭通市本级,拍卖出让ZC11-23号,昭阳中心城市工业园区内昭通大道旁,其他商服用地,房地产业,1.553900,拍卖出让,40,2175.4600,下限:1.50上限:4.00,2013年03月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7e0e1fe0-ad8b-434a-89fb-d1f6e6b99301,2019-08-28 20:58:55
昭通市本级,挂牌出让ZC11-32号,昭阳中心城市工业园区内,其他普通商品住房用地,房地产业,1.044400,挂牌出让,70,728.9912,下限:3.00上限:4.00,2012年07月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5ef85212-c9b0-495d-b397-b8ee54ab7c71,2019-08-28 20:58:57
昭通市本级,挂牌出让YQ12-7-8号,昭阳中心城市工业园区内,其他普通商品住房用地,房地产业,1.717700,挂牌出让,70,1303.7343,下限:3.00上限:5.00,2012年07月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dde5aa6b-1313-472d-a2bc-e2241c91a60e,2019-08-28 20:58:58
昭通市本级,挂牌出让YQ12-7-7号,昭阳中心城市工业园区内,其他普通商品住房用地,房地产业,1.722600,挂牌出让,70,1307.4534,下限:3.00上限:5.00,2012年07月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=78b621c6-0b28-4c53-bba1-890873becda4,2019-08-28 20:59:01
昭通市本级,挂牌出让YQ12-7-6号,昭阳中心城市工业园区内,其他普通商品住房用地,房地产业,1.605700,挂牌出让,70,1218.7263,下限:3.00上限:5.00,2012年07月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a0a63f59-9512-455c-98f7-f9464562da64,2019-08-28 20:59:04
昭通市本级,挂牌出让YQ12-7-5号,昭阳中心城市工业园区内,其他普通商品住房用地,房地产业,1.826600,挂牌出让,70,1386.3894,下限:3.00上限:5.00,2012年07月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b85c16e6-8636-4bae-96dd-9f80cb8894b2,2019-08-28 20:59:06
昭通市本级,挂牌出让YQ12-7-4号,昭阳中心城市工业园区内,其他普通商品住房用地,房地产业,1.478500,挂牌出让,70,1117.7460,下限:3.00上限:5.00,2012年07月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=00af37f4-8d26-42e3-935a-0ac8dad4c6ac,2019-08-28 20:59:08
昭通市本级,挂牌出让YQ12-7-3号,昭阳中心城市工业园区内,其他普通商品住房用地,房地产业,1.463600,挂牌出让,70,1106.4816,下限:3.00上限:5.00,2012年07月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=440b3214-61f5-46e3-b62b-f3e8e5ec1ca7,2019-08-28 20:59:09
