行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
普洱市本级,P0919号宗地拍卖项目,普洱市思茅区思茅镇三家村麻栗山(旅游环线西侧),其他普通商品住房用地,房地产业,1.599100,拍卖出让,70,2408.6500,下限:1.00上限:1.30,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1cc1b89f-958e-4f64-97d7-58243f25eeeb,2019-08-28 22:39:50
普洱市本级,P0936号宗地拍卖项目,普洱市北部区1号线与北连接线交叉口东南侧,其他商服用地,房地产业,0.075500,拍卖出让,34.1,168.5500,下限:0.05上限:0.10,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2d3bd13f-1078-4f96-a246-49cfb2341abb,2019-08-28 22:39:52
普洱市本级,P0960号宗地拍卖项目,普洱市北部区市公安局南侧,其他普通商品住房用地,房地产业,4.599800,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,16520.0000,下限:1.00上限:2.20,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55458dae-0a17-431c-bcaa-178646c6b599,2019-08-28 22:39:54
普洱市本级,P0723号宗地拍卖项目,普洱市思茅区林源路思茅供电公司东侧,其他普通商品住房用地,房地产业,0.536100,拍卖出让,70,1720.0000,下限:1.00上限:2.10,2017年12月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b6bc002b-e75d-47f2-9d27-8f754feb2ae1,2019-08-28 22:39:56
普洱市本级,P0705号宗地拍卖项目,普洱市北部区普洱大道西侧（原锰铁合金厂）,其他普通商品住房用地,房地产业,6.670300,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,17030.0000,下限:1.00上限:2.30,2017年11月23日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7fd7bc23-8820-471b-bc66-8c00dc36a40e,2019-08-28 22:39:58
普洱市本级,P0864号宗地挂牌项目,普洱市思茅区倚象镇鱼塘村民委员会,住宿餐饮用地,公共设施管理业,6.887200,挂牌出让,40,1208.3278,下限:0.10上限:0.20,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7db900ec-9799-42aa-b903-54a8e83ca7c9,2019-08-28 22:40:00
普洱市本级,P0863号挂牌项目,普洱市思茅区倚象镇鱼塘村民委员会,风景名胜设施用地,公共设施管理业,0.327000,挂牌出让,40,66.8980,下限:0.20上限:0.30,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=960e77e8-2705-4197-a9ad-f186f7d64d50,2019-08-28 22:40:02
普洱市本级,P0865号宗地挂牌项目,普洱市思茅区鱼塘村民委员会,风景名胜设施用地,公共设施管理业,0.173400,挂牌出让,40,40.1716,下限:0.30上限:0.50,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e42abf9e-7b8a-4d79-af93-174edd209ce9,2019-08-28 22:40:05
普洱市本级,P0866号宗地挂牌项目,普洱市思茅区鱼塘村民委员会,风景名胜设施用地,公共设施管理业,0.513400,挂牌出让,40,99.3316,下限:1.00上限:1.50,2017年09月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ed1fe371-7f6f-4a56-84fd-8549318cd759,2019-08-28 22:40:06
普洱市本级,P0870号挂牌项目,普洱市思茅区思茅镇白庙村后山(西侧)白云山,殡葬用地,公共设施管理业,33.974600,挂牌出让,40,6635.0470,下限:上限:,2017年08月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=de7b3934-0462-4a0f-ac90-00bcb7f999cb,2019-08-28 22:40:08
普洱市本级,P0832宗地挂牌,普洱市思茅区旅游环线北侧（公园1号南侧）,科教用地,商务服务业,1.024600,挂牌出让,50,1530.0000,下限:0.50上限:1.00,2017年07月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17dd68cb-a1f1-45c9-a6a4-c75f60d50000,2019-08-28 22:40:11
普洱市本级,P0844宗地挂牌,普洱市思茅区旅游环线北侧（茶马古道）,风景名胜设施用地,公共设施管理业,0.133500,挂牌出让,40,57.0650,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0383091a-3c47-4902-b56b-9aef1b5b7d8e,2019-08-28 22:40:15
普洱市本级,P0846宗地挂牌,普洱市思茅区旅游环线北侧（茶马古道）,风景名胜设施用地,公共设施管理业,0.145400,挂牌出让,40,61.7060,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0df53df6-67c1-4b0d-b041-16e07ce71e8e,2019-08-28 22:40:18
普洱市本级,P0849挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,0.080100,挂牌出让,40,33.2390,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2ba95049-7271-41ae-9950-b6292fa89b38,2019-08-28 22:40:22
普洱市本级,P0855挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,0.012400,挂牌出让,40,6.8360,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=425e1c55-3e6f-44d5-8229-113f00ad61c1,2019-08-28 22:40:25
普洱市本级,P0845宗地挂牌,普洱市思茅区旅游环线北侧（茶马古道）,风景名胜设施用地,公共设施管理业,0.109500,挂牌出让,40,44.7050,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=68a1f7a9-cf09-4a0d-b129-3d31dd789417,2019-08-28 22:40:29
普洱市本级,P0850挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,0.155200,挂牌出让,40,65.5280,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9d7ac14d-ff46-466c-a83c-e7d1b2503ff2,2019-08-28 22:40:34
普洱市本级,P0854挂牌,普洱市思茅区旅游环线北侧(茶马古道),住宿餐饮用地,公共设施管理业,4.830200,挂牌出让,40,2256.0430,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9dde157b-2775-46d5-b3f5-69c40762c5f1,2019-08-28 22:40:37
普洱市本级,P0872挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,2.430100,挂牌出让,40,957.7390,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9df01cdd-757e-418f-b304-3e8921c50f1b,2019-08-28 22:40:41
普洱市本级,P0842宗地挂牌,普洱市思茅区旅游环线北侧（茶马古道）,风景名胜设施用地,公共设施管理业,0.993100,挂牌出让,40,397.3090,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a13c8c04-d40c-4726-a351-bc6bd0046b67,2019-08-28 22:40:45
普洱市本级,P0853挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,0.298700,挂牌出让,40,121.4930,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a1d3a84b-9fbc-440c-9839-fd3c9deeb691,2019-08-28 22:40:49
普洱市本级,P0851挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,0.988600,挂牌出让,40,395.5540,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=af51a5e1-da57-4fba-9f80-21ac2b714954,2019-08-28 22:40:50
普洱市本级,P0857挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,0.133500,挂牌出让,40,57.0650,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bceb5293-fa8f-4aaf-b621-b8f2a72e621f,2019-08-28 22:40:52
普洱市本级,P0843宗地挂牌,普洱市思茅区旅游环线北侧（茶马古道）,风景名胜设施用地,公共设施管理业,0.056100,挂牌出让,40,23.8790,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c5fb91c6-3465-458f-b2ce-6f54f1894896,2019-08-28 22:40:54
普洱市本级,P0871挂牌,普洱市思茅区旅游环线北侧(茶马古道),住宿餐饮用地,公共设施管理业,0.995800,挂牌出让,40,473.0470,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d60164b4-254e-4f6e-8dcf-f09aac2b90fe,2019-08-28 22:40:56
普洱市本级,P0856挂牌,普洱市思茅区旅游环线北侧(茶马古道),风景名胜设施用地,公共设施管理业,0.087700,挂牌出让,40,36.2030,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=df007bff-fb99-4a56-ac2c-76e9b1ec50df,2019-08-28 22:40:58
普洱市本级,P0848宗地挂牌,普洱市思茅区旅游环线北侧（茶马古道）,风景名胜设施用地,公共设施管理业,0.168700,挂牌出让,40,70.7930,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=df3bf7cf-ec71-4880-9cfb-1bafe5bc4f5f,2019-08-28 22:41:01
普洱市本级,P0852挂牌,普洱市思茅区旅游环线北侧(茶马古道),住宿餐饮用地,公共设施管理业,0.371600,挂牌出让,40,182.7940,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e37cec1a-db37-491b-9126-ea48209bb943,2019-08-28 22:41:04
普洱市本级,P0847宗地挂牌,普洱市思茅区旅游环线北侧（茶马古道）,风景名胜设施用地,公共设施管理业,0.044400,挂牌出让,40,19.3160,下限:0.50上限:1.00,2017年06月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f612af86-1ef3-4227-8c84-27868b1e154c,2019-08-28 22:41:05
普洱市本级,蒋宇超,普洱市思茅区思茅镇莲花寺,工业用地,废弃资源和废旧材料回收加工业,0.829600,挂牌出让,50,196.6600,下限:0.70上限:1.50,2017年06月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=065d0aa1-b9a5-4256-b5b6-860ca0e85882,2019-08-28 22:41:07
普洱市本级,普洱市思茅区贵鸿陶艺文化有限公司,普洱市思茅区思茅镇莲花寺,工业用地,工艺品及其他制造业,0.446900,挂牌出让,50,110.5525,下限:1.00上限:1.50,2017年06月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6055ca35-3c79-43bb-b0d3-ee4fe83920bd,2019-08-28 22:41:12
普洱市本级,普洱正光气体有限公司,普洱市思茅区思茅镇莲花寺,工业用地,燃气生产和供应业,0.727100,挂牌出让,50,173.5975,下限:0.60上限:1.50,2017年06月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6d5d849f-aa34-4137-8c0a-2e183aa509f1,2019-08-28 22:41:15
普洱市本级,云南普洱英爵油业科技发展有限公司,思茅区南屏镇木乃河普洱滇洱农业科技开发有限公司北侧,工业用地,农副食品加工业,0.065500,挂牌出让,50,14.2638,下限:1.00上限:1.50,2017年06月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=82593410-98c0-4687-9f94-9330449e1ce3,2019-08-28 22:41:17
普洱市本级,P0862,普洱市帝泊洱大道南侧(热作学东侧),工业用地,电信和其他信息传输服务业,3.333400,挂牌出让,50,1270.0300,下限:1.00上限:1.50,2017年05月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cee88c76-4677-48b4-bba5-27e9327f35db,2019-08-28 22:41:20
普洱市本级,P0836号拍卖建设项目,普洱市思茅区旅游环线东侧(石龙河头),其他普通商品住房用地,房地产业,0.466400,拍卖出让,70,359.8000,下限:1.00上限:1.05,2017年04月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=728460f2-5094-4efc-8611-86598be6b806,2019-08-28 22:41:22
普洱市本级,P0838号拍卖建设项目,普洱市思茅区旅游环线东侧(石龙河头),其他普通商品住房用地,房地产业,0.628900,拍卖出让,70,481.6750,下限:1.00上限:1.05,2017年04月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=88fa7c31-fb2f-424f-82ad-f5abd28070be,2019-08-28 22:41:24
普洱市本级,P0841号拍卖建设项目,普洱市思茅区旅游环线东侧(石龙河头),其他普通商品住房用地,房地产业,0.107100,拍卖出让,70,90.3250,下限:1.00上限:1.05,2017年04月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=972527ff-436b-4e26-9d7d-836d829d070d,2019-08-28 22:41:28
普洱市本级,P0839号拍卖建设项目,普洱市思茅区旅游环线东侧(石龙河头),其他普通商品住房用地,房地产业,1.358600,拍卖出让,70,1028.9500,下限:1.00上限:1.05,2017年04月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ab688320-add3-49a8-844a-c9c48358b767,2019-08-28 22:41:31
普洱市本级,P0840号拍卖建设项目,普洱市思茅区旅游环线东侧(石龙河头),其他普通商品住房用地,房地产业,0.291800,拍卖出让,70,228.8500,下限:1.00上限:1.05,2017年04月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d7ffa9a8-286b-4743-8424-d35ffaf29bcc,2019-08-28 22:41:34
