行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
株洲市本级,株洲市力焯通信科技有限公司,天元区新马工业园,工业用地,电信和其他信息传输服务业,4.995643,挂牌出让,50,1601.0000,下限:0.80上限:2.00,2017年12月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=47eb98db-a8b2-4460-8cf4-1fcb23109719,2019-08-28 21:11:56
株洲市本级,株洲郡堂房地产开发有限公司,株洲市石峰区轨道科技城田心大道以西，报亭北路以北,其他普通商品住房用地,房地产业,8.257745,挂牌出让,其他普通商品住房用地70年;其他商服用地40年;,25924.0000,下限:1.00上限:2.50,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fe0536ea-1adf-49e5-8b0e-41c7c2a9187b,2019-08-28 21:12:00
株洲市本级,株洲金城日月湖置业有限公司,株洲市荷塘区金龙路与金宋路交汇处以东,其他普通商品住房用地,房地产业,11.982765,挂牌出让,其他普通商品住房用地70年;其他商服用地40年;,22549.0000,下限:1.00上限:1.50,2017年11月09日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=22d35b9f-4450-4507-abb0-5fd9e0595247,2019-08-28 21:12:02
株洲市本级,株洲市国投轨道科技城发展有限公司,株洲市石峰区郭家塘村,其他商服用地,城市公共交通业,5.059537,挂牌出让,40,17951.0000,下限:1.00上限:3.20,2017年11月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8049b2f5-bff0-406a-a830-def08208d465,2019-08-28 21:12:03
株洲市本级,株洲市给力名车服务有限公司,株洲市天元区株洲大道北辅道汽车博览园内,其他商服用地,商务服务业,0.475437,挂牌出让,40,927.0000,下限:1.00上限:1.20,2017年11月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6d1ecb6a-bd47-4487-b243-a383c1b99d31,2019-08-28 21:12:04
株洲市本级,株洲时代金属制造有限公司,株洲市石峰区联诚路以西、报亭北路以东、规划道路以北,工业用地,金属制品业,3.684298,挂牌出让,50,1891.0000,下限:1.20上限:2.00,2017年11月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55e9c6c2-6137-451d-ac06-721a6729397a,2019-08-28 21:12:06
株洲市本级,株洲金城华亿发展有限公司,株洲市荷塘区金塘路以东、金龙东路以北、金乐路以西、金精路以南,工业用地,房地产业,3.936813,挂牌出让,50,1100.0000,下限:1.00上限:2.00,2017年10月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c39fb03-f2a0-49c9-882e-d3786f35fe42,2019-08-28 21:12:11
株洲市本级,中国航发南方工业有限公司,芦淞区董家塅街道办事处百井村、道田村、关口村,工业用地,航空运输业,18.619364,挂牌出让,50,8146.0000,下限:0.70上限:2.00,2017年10月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c951129-8a55-47dd-b9e0-fe952c374c1d,2019-08-28 21:12:14
株洲市本级,株洲通用航空产业发展有限公司,株洲市芦淞区董家塅街道办事处百井村,工业用地,航空运输业,5.421649,挂牌出让,50,1825.0000,下限:0.70上限:2.00,2017年10月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6b159bfb-8c8d-4ee1-ab6f-9bceb3a41077,2019-08-28 21:12:21
株洲市本级,株洲市众合房地产开发有限公司,荷塘区金钩山路千金药业西侧,其他普通商品住房用地,房地产业,1.578289,挂牌出让,其他普通商品住房用地70年;其他商服用地40年;,4836.0000,下限:1.00上限:3.50,2017年09月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3240f324-ef05-4180-942c-9ee8fb8f1067,2019-08-28 21:12:23
