行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
武汉市本级,武汉天运汽车电器有限公司工业项目,武汉经济技术开发区104M1地块内,工业用地,汽车制造,3.341535,挂牌出让,50,1755.0000,下限:1.00上限:,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=500ddb68-aca3-481a-b3ee-7e28307218f9,2019-08-28 21:44:21
武汉市本级,武汉乾敬置业发展有限公司江汉区发展大道与马场二路交汇处城镇住宅用地,江汉区发展大道与马场二路交汇处,其他普通商品住房用地,房地产业,1.299988,挂牌出让,70,68940.0000,下限:9.07上限:9.07,2017年12月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=76d1f84e-54c9-4a0e-99bb-337c75802857,2019-08-28 21:44:25
武汉市本级,金科地产集团武汉有限公司洪山区大洲村K2地块城镇住宅用地,洪山区大洲村K2地块,其他普通商品住房用地,房地产业,10.364478,挂牌出让,70,207944.0000,下限:4.70上限:4.70,2017年12月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=afbcb2e6-9d1e-46c0-96ff-ea0dd172aa3f,2019-08-28 21:44:27
武汉市本级,湖北保利普提金置业有限公司洪山区铁机村（A1地块）城镇住宅用地,洪山区铁机村（A1地块）,其他普通商品住房用地,房地产业,1.339975,挂牌出让,70,18320.0000,下限:3.13上限:3.13,2017年11月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=687f750c-71f5-403f-b6b4-d0bf8e622472,2019-08-28 21:44:29
武汉市本级,武汉禾元生物科技股份有限公司,神墩五路以南、九龙中路以东,工业用地,专业技术服务业,2.026660,挂牌出让,50,678.0000,下限:1.50上限:1.50,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1b7b6bbf-8db9-4be5-9da0-7db1859e5c44,2019-08-28 21:44:36
武汉市本级,武汉东湖综合保税区建设投资有限公司,高新六路以南、台山溪小路以东,工业用地,专业技术服务业,13.599971,挂牌出让,50,4214.0000,下限:上限:1.20,2017年11月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55423ba3-5c7c-406d-9d61-151507e01589,2019-08-28 21:44:38
武汉市本级,两军东路加油站,武汉经济技术开发区165R2地块内,批发零售用地,燃气生产和供应业,0.355371,挂牌出让,40,1477.0000,下限:上限:0.50,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1b7e9351-9fa2-44d4-90eb-3a83d81a322f,2019-08-28 21:44:44
武汉市本级,武汉华星光电半导体显示技术有限公司,左岭大道以西、科技一路以北,工业用地,专业技术服务业,17.243448,挂牌出让,50,7343.0000,下限:1.00上限:1.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=12e0f505-1793-4e6c-809d-7b98d97ad87c,2019-08-28 21:44:48
武汉市本级,武汉华星光电半导体显示技术有限公司,左岭大道以西、科技一路以北,工业用地,专业技术服务业,0.815008,挂牌出让,50,392.0000,下限:1.00上限:1.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=18cc022a-1d04-4c26-9d4e-eff09424718f,2019-08-28 21:44:53
武汉市本级,武汉彼欧英瑞杰汽车系统有限公司,光谷三路以东、高新五路以北,工业用地,专业技术服务业,4.358700,挂牌出让,50,1700.0000,下限:1.00上限:1.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1a7f5cdc-7787-4f9b-a70b-66df5b6cbccc,2019-08-28 21:44:55
