行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
泰州市本级,泰州经济开发区青年南路西侧、苏源花园南侧,泰州经济开发区青年南路西侧、苏源花园南侧,其他普通商品住房用地,房地产业,12.225700,挂牌出让,70,170100.0000,下限:1.60上限:1.80,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=613AA8D52E4F7650E055000000000001,2019-08-28 22:37:49
泰州市本级,泰州经济开发区凤凰西路北侧、天虹路西侧,泰州经济开发区凤凰西路北侧、天虹路西侧,其他普通商品住房用地,房地产业,4.215000,挂牌出让,70,34800.0000,下限:1.00上限:1.20,2017年12月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=613AB92F652276F3E055000000000001,2019-08-28 22:37:52
泰州市本级,医药高新区狮子河路南侧、新华路东侧地块,医药高新区狮子河路南侧、新华路东侧,工业用地,其它,3.901100,挂牌出让,50,1520.0000,下限:1.00上限:1.20,2017年12月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5FA2DBB4163A245EE055000000000001,2019-08-28 22:37:55
泰州市本级,医药高新区祥龙路北侧、四号路东侧地块,医药高新区祥龙路北侧、四号路东侧,工业用地,通讯设备、计算机及其他电子设备制造业,18.714900,挂牌出让,50,7040.0000,下限:1.00上限:1.20,2017年11月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5D46F384E3434E23E055000000000001,2019-08-28 22:37:59
泰州市本级,医药高新区祥龙路南侧、祥泰路东侧地块,医药高新区祥龙路南侧、祥泰路东侧,工业用地,通讯设备、计算机及其他电子设备制造业,21.483100,挂牌出让,50,7960.0000,下限:1.00上限:1.20,2017年11月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5D46C6E6CF904E77E055000000000001,2019-08-28 22:38:02
泰州市本级,医药高新区凤凰西路南侧、祥泰路西侧地块,医药高新区凤凰西路南侧、祥泰路西侧,工业用地,其它,8.468400,挂牌出让,50,3300.0000,下限:1.20上限:1.80,2017年08月18日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=57618F8E87012EC1E055000000000001,2019-08-28 22:38:06
泰州市本级,医药高新区润江路西侧、港城西路北侧地块,医药高新区润江路西侧、港城西路北侧,工业用地,家具制造业,4.507200,挂牌出让,50,1620.0000,下限:1.00上限:2.00,2017年08月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=56AD3E1507B36FA0E055000000000001,2019-08-28 22:38:10
泰州市本级,泰州医药高新区曙光路北侧、会展路西侧,泰州医药高新区曙光路北侧、会展路西侧,商务金融用地,其他金融服务,3.562100,挂牌出让,40,9600.0000,下限:3.30上限:3.50,2017年08月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55AD113BB1E26309E055000000000001,2019-08-28 22:38:13
泰州市本级,泰州医药高新区会展路西侧、会展1号支路南侧,泰州医药高新区会展路西侧、会展1号支路南侧,商务金融用地,其他金融服务,1.721700,挂牌出让,40,4800.0000,下限:5.66上限:5.86,2017年08月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55AD1FD1B05562F9E055000000000001,2019-08-28 22:38:16
泰州市本级,医药高新区玉竹路南侧、南官河西路西侧地块,医药高新区玉竹路南侧、南官河西路西侧,工业用地,医药制造业,3.537800,挂牌出让,50,1290.0000,下限:1.00上限:1.80,2017年07月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55931D9F840F045CE055000000000001,2019-08-28 22:38:18
泰州市本级,医药高新区伟业路东侧、祥龙路北侧地块,医药高新区伟业路东侧、祥龙路北侧,工业用地,其它,9.987200,挂牌出让,50,3600.0000,下限:1.00上限:1.50,2017年07月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=545137F3F64819E8E055000000000001,2019-08-28 22:38:21
泰州市本级,周山河街区引江路南侧、东周港路西测,周山河街区引江路南侧、东周港路西测,其他普通商品住房用地,房地产业,7.760900,挂牌出让,70,94400.0000,下限:2.00上限:2.20,2017年07月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=53B3085A088A366BE055000000000001,2019-08-28 22:38:24
泰州市本级,周山河街区海军大道北侧约50米、东周港路西侧,周山河街区海军大道北侧约50米、东周港路西侧,其他普通商品住房用地,房地产业,5.672400,挂牌出让,70,66400.0000,下限:1.90上限:2.10,2017年07月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=538E5018873742C3E055000000000001,2019-08-28 22:38:27
泰州市本级,医药高新区陶弘景路西侧、郁金路北侧项目,医药高新区陶弘景路西侧、郁金路北侧,工业用地,医药制造业,1.513300,挂牌出让,50,630.0000,下限:1.00上限:1.50,2017年04月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4CCE8D5005AA47D2E055000000000001,2019-08-28 22:38:31
