行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
温州市本级,温州市致特森汽车配件有限公司,温州经济技术开发区滨海园区D502-d-3地块,工业用地,汽车制造,1.599996,挂牌出让,50,1064.0000,下限:0.70上限:0.00,2017年11月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fad94596-e1af-4743-9419-8478dbd20dbc,2019-08-28 20:36:41
温州市本级,温州星耀房地产开发有限公司,温州经济技术开发区金海园区C-12a、C-13b、C-13c地块,中低价位、中小套型普通商品住房用地,房地产业,14.337144,挂牌出让,70,148980.0000,下限:1.50上限:2.80,2017年11月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2907963f-9052-4853-bf4b-b41d01255b14,2019-08-28 20:36:46
温州市本级,温州市顺新混凝土股份有限公司,温州经济技术开发区滨海园区D606-a-2地块,工业用地,水泥、石灰和石膏的制造,1.194487,挂牌出让,50,787.0000,下限:0.70上限:0.00,2017年11月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b7b465ee-3263-4f6b-8cdc-b365f0ad45a9,2019-08-28 20:37:03
温州市本级,浙江兴德实业有限公司,温州经济技术开发区滨海园区D502-d-1地块,工业用地,其它,2.053894,挂牌出让,50,1365.0000,下限:0.60上限:0.00,2017年11月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2af2f65e-3411-4167-b717-c0f6f7d32afc,2019-08-28 20:37:12
温州市本级,温州兴荣实业发展有限公司,温州经济技术开发区金海园区D-45h-1地块,工业用地,金属制品业,6.600013,挂牌出让,50,3179.0000,下限:0.80上限:1.75,2017年10月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fcf96b0b-beb8-493c-9119-dfc5476ae002,2019-08-28 20:37:39
温州市本级,浙江鑫宇汽车零部件有限公司,温州经济技术开发区金海园区D-37-4地块,工业用地,汽车制造,1.994535,挂牌出让,50,1288.0000,下限:0.70上限:,2017年10月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0faedfd6-520f-4fdc-81dc-13e7480ca7ff,2019-08-28 20:37:49
温州市本级,温州瑞源电器有限公司,温州经济技术开发区金海园区D-15d-2地块,工业用地,其它,2.000000,挂牌出让,50,1279.0000,下限:0.90上限:0.00,2017年10月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=deb6f8db-113f-4334-ac4e-e6df99d7642f,2019-08-28 20:37:59
温州市本级,温州市富田不锈钢管有限公司,温州经济技术开发区滨海园区D604-a地块,工业用地,金属制品业,2.363860,挂牌出让,50,1543.0000,下限:0.80上限:,2017年10月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=617e27cc-be20-431d-b591-9f9f022b7639,2019-08-28 20:38:04
温州市本级,展宇投资发展有限公司,温州经济技术开发区滨海园区D606-a-3地块,工业用地,其它,2.552668,挂牌出让,50,1671.0000,下限:0.70上限:,2017年10月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aef623de-6f3b-43f0-a827-b8a1dc9d1b37,2019-08-28 20:38:07
温州市本级,浙江合泰汽车科技有限公司,温州经济技术开发区金海园区B-19b地块,工业用地,汽车制造,8.545488,挂牌出让,50,5129.0000,下限:0.70上限:0.00,2017年09月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dc82490c-5158-47bb-bbb6-763e5c28a7c6,2019-08-28 20:38:11
