行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
绵阳市本级,机械设备生产加工,河北-平武工业园区磨家镇观音堂村1、4社,工业用地,专用设备制造业,1.771781,挂牌出让,50,645.9800,下限:1.20上限:0.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0dc8cc84-ab83-45b6-9e51-d86ce69e7ab7,2019-08-29 00:23:58
绵阳市本级,机械设备生产加工,河北-平武工业园区磨家镇观音堂村1、4社,工业用地,专用设备制造业,2.231168,挂牌出让,50,827.3000,下限:1.20上限:0.00,2017年12月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cd603bf5-4db9-49a6-896e-e556ef56ad2f,2019-08-29 00:24:02
绵阳市本级,电子产品项目,高新区河边镇海峰村一、二、三、九社及村委会,工业用地,通讯设备、计算机及其他电子设备制造业,5.744014,挂牌出让,50,2205.7000,下限:1.00上限:3.00,2017年12月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fba79a6b-837e-47cc-8019-254eb3979d24,2019-08-29 00:24:04
绵阳市本级,工业,经开区塘汛镇桃园村7、8社,工业用地,通讯设备、计算机及其他电子设备制造业,4.649187,挂牌出让,50,2162.0000,下限:1.20上限:3.00,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=457f9d77-8e9d-495b-b31e-69d293edef50,2019-08-29 00:24:06
绵阳市本级,工业用地,涪城区城郊乡金家林村1社,工业用地,制造业,2.637174,挂牌出让,50,1454.0226,下限:1.20上限:3.00,2017年12月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=651bce65-ddb6-4208-aed4-ea89d6877170,2019-08-29 00:24:08
绵阳市本级,工业（节能环保项目）,游仙区小枧沟镇顺河村一社、松垭镇龙洞子村六社,工业用地,化学原料及化学制品制造业,1.536229,挂牌出让,50,525.3100,下限:1.00上限:,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=25efdfeb-0b28-4a87-b9b5-4ef67f8a3394,2019-08-29 00:24:11
绵阳市本级,高端汽车发动机线束及其配套项目,磨家镇茅针寺村3社,工业用地,汽车制造,4.058100,挂牌出让,50,2164.6013,下限:1.20上限:0.00,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=63076742-7df2-43d2-9b2a-f195efb4732a,2019-08-29 00:24:15
绵阳市本级,工业（工业项目）,游仙区小枧沟镇顺河村一、三、四社，河沟村七社,工业用地,通讯设备、计算机及其他电子设备制造业,3.636142,挂牌出让,50,1389.1300,下限:1.20上限:3.00,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=66cf9adb-324c-41fd-a4fe-2b13df7661c9,2019-08-29 00:24:18
绵阳市本级,工业（化工类项目）,游仙区小枧沟镇顺河村二社、三社、八社,工业用地,化学原料及化学制品制造业,7.898697,挂牌出让,50,2834.0400,下限:1.20上限:3.00,2017年12月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d0f85907-9014-4366-8e26-25ae949f4814,2019-08-29 00:24:26
绵阳市本级,电子产品项目,高新区河边镇海峰村8社，项家庙村7、8社，磨家镇冯家湾村2、8社,工业用地,通讯设备、计算机及其他电子设备制造业,37.106431,挂牌出让,50,14100.4400,下限:1.20上限:3.00,2017年12月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1a7c4a62-612e-4ca2-8e7d-5a2e3901584e,2019-08-29 00:24:30
