行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
舟山市本级,舟山市新城商业中心LKc-4-11地块,舟山市新城商业中心LKc-4-11地块（舟山医院西侧、定沈路北侧）,批发零售用地,零售业,8.945965,挂牌出让,40,89012.3518,下限:1.50上限:2.50,2017年12月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=31425f1e-2702-4e76-9f69-808f8cec2570,2019-08-28 21:16:19
舟山市本级,舟山市新城LC-07-03-01a地块,舟山市新城LC-07-03-01a地块,批发零售用地,零售业,1.918037,挂牌出让,40,5516.2745,下限:0.00上限:1.00,2017年11月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8fe993fa-a106-4413-8d89-f68497f194f0,2019-08-28 21:16:23
舟山市本级,舟山市新城金鸡山单元LC-09-02-10地块住宅项目,舟山市新城金鸡山单元LC-09-02-10地块住宅项目,中低价位、中小套型普通商品住房用地,房地产业,11.389396,挂牌出让,70,207425.0124,下限:1.00上限:2.11,2017年09月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=30672dbf-2a8b-4b6c-8a7e-cdf1678babbb,2019-08-28 21:16:25
舟山市本级,舟土储出（2017）2号地块（新城翁山单元LC-11-04-07地块（新城媒创园区））,新城翁山单元LC-11-04-07地块（新城媒创园区）,商务金融用地,其他金融服务,0.887300,挂牌出让,40,3411.4910,下限:1.30上限:3.60,2017年05月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=33d9b2a5-c1f3-4d46-973c-ef7469722999,2019-08-28 21:16:27
舟山市本级,舟山港综合保税区衢山开发建设有限公司,综保区本岛分区2017-1号,工业用地,通用设备制造业,3.040700,挂牌出让,50,2052.4725,下限:0.80上限:2.00,2017年05月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3012505f-d060-4f53-9fd1-0cfdbf63aabe,2019-08-28 21:16:29
舟山市本级,舟土储出（2017）1号地块（新城LKc-5-5a、LKc-5-1a地块）,新城LKc-5-5a、LKc-5-1a地块,中低价位、中小套型普通商品住房用地,房地产业,3.367300,挂牌出让,70,69969.8002,下限:1.00上限:2.16,2017年05月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bbae9b48-7291-4ed4-b5ab-8182724af71b,2019-08-28 21:16:32
舟山市本级,舟山市新城科创园东区块LKf-1-10、LKf-1-11地块商务金融项目,舟山市新城科创园东区块LKf-1-10、LKf-1-11地块（绿岛路东侧）,商务金融用地,其他金融服务,4.135200,挂牌出让,40,8034.8814,下限:1.30上限:2.60,2017年04月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c4c65c0b-5ba2-492b-81d8-0c9dd77f0358,2019-08-28 21:16:34
舟山市本级,新城LC-10-01-01地块普通商品住宅项目,新城LC-10-01-01地块,中低价位、中小套型普通商品住房用地,房地产业,8.849700,挂牌出让,70,20873.0400,下限:1.00上限:1.60,2017年04月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cb2cb7f5-c7fb-453b-a0a4-254a393cd19d,2019-08-28 21:16:37
舟山市本级,舟山市新城科创园东区块LKf-1-12地块商务金融用地,舟山市新城科创园东区块LKf-1-12地块（富丽岛路西侧）,商务金融用地,零售业,1.481500,挂牌出让,40,4591.1685,下限:1.30上限:3.00,2017年03月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4797b98e-7567-41ce-a08c-027b7bb1f12a,2019-08-28 21:16:42
舟山市本级,舟山群岛北部海洋开发投资有限公司,舟山经济开发区新港园区二期2016-9号地块,工业用地,农副食品加工业,16.548400,挂牌出让,50,4499.7821,下限:1.00上限:1.50,2017年01月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=15a86193-f663-4ff8-a6ae-331a0dde5a5b,2019-08-28 21:16:45
舟山市本级,舟土储出（2016）6号地块（新城LKc-1-8地块商务金融项目）,舟土储出（2016）6号地块（新城LKc-1-8地块）,商务金融用地,其他金融服务,2.281100,挂牌出让,40,7062.2856,下限:1.30上限:3.00,2017年01月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ea9bd264-f373-4d18-b7a9-4cd87449faf1,2019-08-28 21:16:50
舟山市本级,新城翁山单元LC-11-04-06地块商务金融用地,新城翁山单元LC-11-04-06地块,商务金融用地,其他金融服务,0.567300,挂牌出让,40,1300.0800,下限:1.30上限:3.20,2017年01月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2a2b10e3-0c00-4930-aa6c-4af18b1fc86e,2019-08-28 21:16:57
舟山市本级,舟山宇培仓储有限公司,舟山经济开发区新港园区2016-8号地块,仓储用地,仓储业,18.380600,挂牌出让,50,7264.6200,下限:0.60上限:1.50,2016年12月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=093688a6-e163-4a24-b5ec-2538c960caf3,2019-08-28 21:17:03
舟山市本级,舟山市恒顺预拌混凝土有限公司,舟山经济开发区新港园区,工业用地,其它,1.488000,挂牌出让,50,713.6850,下限:0.70上限:1.60,2016年10月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8f086400-fa47-4776-8c0f-722a28608139,2019-08-28 21:17:07
舟山市本级,舟土储出（2016）5号地块（新城LKc-5-9地块）商务金融项目,舟土储出（2016）5号地块（新城LKc-5-9地块）,商务金融用地,其他服务业,3.458600,招标出让,40,10427.6790,下限:1.30上限:3.00,2016年08月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4bec7a23-9e93-48a5-80c8-9306cce315ad,2019-08-28 21:17:10
舟山市本级,舟土储出（2016）1号地块（新城翁洲单元ZS-LC-08-01-09（2）地块）住宅项目,舟土储出（2016）1号地块（新城翁洲单元ZS-LC-08-01-09（2）地块）,中低价位、中小套型普通商品住房用地,房地产业,4.058500,挂牌出让,70,21707.6310,下限:1.00上限:1.74,2016年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=44091c3e-4031-4770-97d1-3f42b13bc071,2019-08-28 21:17:15
舟山市本级,舟土储出（2016）2号地块（新城LC-10-04-01地块）住宅项目,舟土储出（2016）2号地块（新城LC-10-04-01地块）,中低价位、中小套型普通商品住房用地,房地产业,10.222200,挂牌出让,70,58273.3170,下限:1.00上限:1.50,2016年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ca891efc-41cc-4c84-a969-c1841f0a76b6,2019-08-28 21:17:18
舟山市本级,舟土储出（2016）4号地块（新城LC-13-03-20地块）普通商品住宅项目,舟土储出（2016）4号地块（新城LC-13-03-20地块）,中低价位、中小套型普通商品住房用地,房地产业,8.860500,挂牌出让,70,57578.7296,下限:1.00上限:1.40,2016年06月17日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=63409cf4-7629-4d37-a16a-3e610cd497f0,2019-08-28 21:17:23
