行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
资阳市本级,资阳市松达商贸有限公司竞得2017-I-1号拍卖地块,兰家坡建设南路西延线与西门市场路交汇处,批发零售用地,房地产业,1.493256,拍卖出让,40,4377.0000,下限:1.00上限:2.30,2017年12月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=65006d5c-3820-48dc-a1d7-d63ae08043e6,2019-08-28 21:32:01
资阳市本级,资阳高端金融外包服务产业园项目,现代大道与城南大道交汇处,商务金融用地,其他服务业,1.616348,拍卖出让,40,2010.0000,下限:1.00上限:2.50,2017年12月14日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=46dc4a7a-488e-4bc2-bb44-3b9134358aab,2019-08-28 21:32:09
资阳市本级,YD-2016-053号农贸市场地块,城南工业园集中发展区侯家坪村,批发零售用地,零售业,1.008520,挂牌出让,40,500.0000,下限:0.00上限:0.50,2017年07月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=112ba5ee-5d29-4ef2-b254-ae324a920c2d,2019-08-28 21:32:12
资阳市本级,运动休闲鞋生产项目,松涛镇宰山村2、3、4、5组,工业用地,纺织服装、鞋、帽制造业,12.616006,挂牌出让,50,2446.0000,下限:1.00上限:0.00,2016年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d468322a-eedb-4bfc-8727-b35060d7f0b2,2019-08-28 21:32:14
资阳市本级,2016-F-1挂牌地块,松涛镇五显村8、9组,批发零售用地,批发业,9.601679,挂牌出让,40,2628.1200,下限:1.00上限:1.50,2016年11月04日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0a180d3c-dbf9-4bfd-b8d9-93f2b22bfcd3,2019-08-28 21:32:18
资阳市本级,城南工业配气站,松涛镇歇马村5、6组,公共设施用地,燃气生产和供应业,1.089280,挂牌出让,50,240.0000,下限:0.00上限:0.30,2016年07月07日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a3540350-7760-4614-a2ed-680009008ba7,2019-08-28 21:32:22
资阳市本级,房地产开发项目,遛马村1社、五显村2社,中低价位、中小套型普通商品住房用地,房地产业,1.533410,拍卖出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,4000.0000,下限:1.00上限:3.00,2016年06月22日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6c1a19e7-0822-4373-a43e-3741ba025b76,2019-08-28 21:32:27
资阳市本级,资阳开发区投资有限公司商住用地,城东新区纬四路北碧满路东,中低价位、中小套型普通商品住房用地,房地产业,12.092660,拍卖出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,43000.0000,下限:1.00上限:2.80,2015年12月03日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eed88949-a11a-479c-ac2e-8b7d9d10db23,2019-08-28 21:32:30
资阳市本级,YD-2015-001号商业地块,资阳大道区八厂小区,其他商服用地,租赁和商务服务业,0.374070,拍卖出让,40,1020.0000,下限:0.00上限:1.30,2015年10月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7460d8a7-a7cd-4fc5-ac7b-af5a8e9eb55c,2019-08-28 21:32:33
资阳市本级,南车共享剩余地块,临江镇大堰村、斑竹村,工业用地,交通运输设备制造业,1.594500,挂牌出让,50,465.0000,下限:0.70上限:0.00,2015年10月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ac4d3961-4958-4917-acd4-b32ec52b77dc,2019-08-28 21:32:35
