行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
重庆市本级,工业项目,北碚区蔡家组团B分区B10-3/02地块,工业用地,火力发电,4.728300,挂牌出让,50,1347.0000,下限:0.70上限:0.70,2013年01月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dcbfa000-2300-4633-8e8f-9c7ff40943a8,2019-08-28 21:08:19
重庆市本级,工业项目,北碚区蔡家组团B标准分区B35-1/03地块,工业用地,研究与试验发展,1.493400,挂牌出让,50,1569.0000,下限:0.00上限:1.20,2013年01月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c6a39e44-5816-4fb7-aa39-deff1291604f,2019-08-28 21:08:24
重庆市本级,工业项目,北碚区蔡家组团D分区D11-4/03、D13-1/03地块,工业用地,铁合金冶炼,2.753600,挂牌出让,50,2891.0000,下限:0.70上限:0.00,2013年01月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=91cac26b-a30d-4ce2-b2ac-18580bb2a9ef,2019-08-28 21:08:30
重庆市本级,工业项目,北碚区蔡家组团B分区B10-1/02地块,工业用地,火力发电,2.173900,挂牌出让,50,2282.0000,下限:0.70上限:0.00,2013年01月15日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c5897a33-1d32-450b-8fa3-908cce86dfdf,2019-08-28 21:08:34
重庆市本级,工业项目,北碚区蔡家组团D分区D14-1/02地块,工业用地,钢压延加工,3.726600,挂牌出让,50,809.0000,下限:0.70上限:0.00,2012年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=64bacba4-fee4-4765-b2f6-c543e2f540d6,2019-08-28 21:08:41
重庆市本级,工业项目,北碚区蔡家组团D分区D12-1/04地块,工业用地,汽车制造,2.634300,挂牌出让,50,749.0000,下限:0.70上限:0.00,2012年12月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fb5aae63-3c5e-45c8-805d-ed6e1e211c39,2019-08-28 21:08:43
重庆市本级,工业项目,北碚区蔡家组团B分区B03-1/04号地块,工业用地,家用制冷电器具制造,8.575500,挂牌出让,50,7901.0000,下限:0.70上限:,2012年06月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dce44b9f-6c3f-4162-81e8-134c0206e26d,2019-08-28 21:08:50
重庆市本级,工业项目,北碚区蔡家组团B分区B35-1/03地块,工业用地,研究与试验发展,2.222000,挂牌出让,50,2397.0000,下限:0.00上限:1.20,2012年06月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f5ab97b5-b083-4782-96a1-c2d47332b816,2019-08-28 21:08:53
重庆市本级,工业项目,北碚区蔡家组团B分区B01-1/03地块,工业用地,通讯设备、计算机及其他电子设备制造业,3.138600,挂牌出让,50,3367.0000,下限:1.00上限:,2012年06月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a30f1f2e-b9de-46ff-95e4-e9206db655b0,2019-08-28 21:08:55
重庆市本级,工业项目,北碚区蔡家组团B分区B11-1/03地块,工业用地,专用设备制造业,13.791700,挂牌出让,50,5379.0000,下限:0.70上限:,2012年06月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=93fd4cd1-8a74-445c-8159-7654671c5388,2019-08-28 21:08:58
重庆市本级,工业项目,北碚区蔡家组团B分区B10-3地块,工业用地,专业技术服务业,1.655500,挂牌出让,50,2172.0000,下限:0.70上限:,2012年05月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5fec589c-c525-41c2-980c-08da4478f94b,2019-08-28 21:09:02
重庆市本级,工业项目,北碚区蔡家组团B分区B01-1/03地块,工业用地,汽车制造,3.701400,挂牌出让,50,3882.0000,下限:0.70上限:0.00,2012年03月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=50c1bcf3-7fce-438e-8d96-48fd542dbbe8,2019-08-28 21:09:04
重庆市本级,工业项目,大渡口区大渡口组团N分区N37/02(部分1)地块,工业用地,通讯设备、计算机及其他电子设备制造业,8.681200,挂牌出让,50,6073.0000,下限:0.70上限:,2012年03月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d0318e92-679c-43fe-ac52-ab5dc6ee9799,2019-08-28 21:09:14
重庆市本级,工业项目,大渡口区大渡口组团N分区N43-1/03(部分)地块,工业用地,铁路运输设备制造,5.165700,挂牌出让,50,3227.0000,下限:0.70上限:,2012年02月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=76abff76-ac9a-4006-939c-9eb50015ca6e,2019-08-28 21:09:18
重庆市本级,房地产开发项目,大渡口区大渡口组团T分区T3-5/01地块,其他普通商品住房用地,房地产业,2.407100,挂牌出让,50,7516.0000,下限:1.00上限:3.30,2012年02月08日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b521c2a4-48f3-4674-b3ba-a83523c6793e,2019-08-28 21:09:24
重庆市本级,工业项目,北碚区蔡家组团B分区B03-1/03号地块（部分2）,工业用地,家用制冷电器具制造,3.330400,挂牌出让,50,1250.0000,下限:0.70上限:0.00,2011年09月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=edf9d591-cd4b-4d36-85a7-891ea4ac9354,2019-08-28 21:09:27
重庆市本级,工业项目,北碚区蔡家组团B分区B10-5/02号地块,工业用地,汽车制造,1.883700,挂牌出让,50,575.0000,下限:0.70上限:0.00,2011年08月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb60145b-3211-4590-bde9-ac1b74ddf3c2,2019-08-28 21:09:32
