行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
铜仁地区本级,铜仁高新区控规（一期）A-02-02号地块,铜仁高新区控规（一期）A-02-02号地块,工业用地,摩托车制造,7.686100,挂牌出让,50,2031.0000,下限:1.00上限:,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=004e0d51-1477-4083-baf9-a9877e795908,2019-08-28 21:41:21
铜仁地区本级,铜仁市中心城区老山口--高楼坪组团LG-6控规LG-6-02-30地块,万山区万山镇矿山公园内,住宿餐饮用地,房地产业,0.654500,挂牌出让,40,380.0000,下限:上限:1.00,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bfea7995-9f11-4847-9a1b-bc100fb90f68,2019-08-28 21:41:23
铜仁地区本级,铜仁市中心城区老山口--高楼坪组团LG-6控规LG-6-02-33地块,万山区万山镇矿山公园内,住宿餐饮用地,房地产业,1.515300,挂牌出让,40,950.0000,下限:上限:2.00,2017年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e437a524-6828-4bc9-99e6-8fd42aa7b2e0,2019-08-28 21:41:25
铜仁地区本级,铜仁市中心城区凉湾组团LW-3单元控规LW-3-19地块,铜仁市中心城区凉湾组团LW-3单元控规LW-3-19地块,中低价位、中小套型普通商品住房用地,房地产业,11.241500,挂牌出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,9139.0000,下限:1.00上限:1.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=03ca7839-b2e3-4e02-b87a-9d9f394012eb,2019-08-28 21:41:28
铜仁地区本级,铜仁市中心城区凉湾组团LW-3单元控规LW-3-16地块,铜仁市中心城区凉湾组团LW-3单元控规LW-3-16地块,商务金融用地,房地产业,6.423500,挂牌出让,商务金融用地40年;批发零售用地40年;中低价位、中小套型普通商品住房用地70年;,5630.0000,下限:1.00上限:2.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0b071650-45ba-456d-a757-7255f93a4ff6,2019-08-28 21:41:31
铜仁地区本级,铜仁市中心城区凉湾组团LW-3单元控规LW-3-18地块,铜仁市中心城区凉湾组团LW-3单元控规LW-3-18地块,批发零售用地,房地产业,4.090600,挂牌出让,批发零售用地40年;中低价位、中小套型普通商品住房用地70年;,2945.0000,下限:上限:0.50,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=66a09604-d9e6-431e-b0d7-f302c3361b8c,2019-08-28 21:41:36
铜仁地区本级,铜仁市中心城区凉湾组团LW-3单元控规LW-3-24地块,铜仁市中心城区凉湾组团LW-3单元控规LW-3-24地块,中低价位、中小套型普通商品住房用地,房地产业,2.956000,挂牌出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,2669.0000,下限:1.00上限:2.50,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8bdd49b2-a2f9-4f0c-8945-78b7d1c91007,2019-08-28 21:41:39
铜仁地区本级,铜仁市中心城区凉湾组团LW-3单元控规LW-3-05地块,铜仁市中心城区凉湾组团LW-3单元控规LW-3-05地块,商务金融用地,房地产业,3.845200,挂牌出让,批发零售用地40年;商务金融用地40年;中低价位、中小套型普通商品住房用地70年;,3289.0000,下限:1.00上限:2.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9ee26b60-63ac-49c2-a799-c6f52fae57b1,2019-08-28 21:41:40
铜仁地区本级,铜仁市中心城区凉湾组团LW-3单元控规LW-3-17地块,铜仁市中心城区凉湾组团LW-3单元控规LW-3-17地块,中低价位、中小套型普通商品住房用地,房地产业,4.786800,挂牌出让,中低价位、中小套型普通商品住房用地70年;批发零售用地40年;,3408.0000,下限:1.00上限:1.50,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cf76a3db-1299-468c-9e29-a5e754f63790,2019-08-28 21:41:41
铜仁地区本级,铜仁市中心城区凉湾组团LW-3单元控规LW-3-15地块,铜仁市中心城区凉湾组团LW-3单元控规LW-3-15地块,商务金融用地,房地产业,3.455100,挂牌出让,批发零售用地40年;商务金融用地40年;中低价位、中小套型普通商品住房用地70年;,3787.0000,下限:1.00上限:3.00,2017年12月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f29a5d3a-a2c6-4666-a8d8-d9390189a24c,2019-08-28 21:41:44
