,品牌索引,品牌名称,车系名称,车型,ID,时间
0,A,AC Schnitzer,AC Schnitzer,AC Schnitzer M3,3895,2019-07-11 14:56:49.627182
1,A,AC Schnitzer,AC Schnitzer,AC Schnitzer X5(停售),2097,2019-07-11 14:56:49.627182
2,A,ALPINA,ALPINA,ALPINA B4,4212,2019-07-11 14:56:49.627182
3,A,AUXUN傲旋,车驰汽车,傲旋V-Class,5329,2019-07-11 14:56:49.627182
4,A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,3825,2019-07-11 14:56:49.627182
5,A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,4196,2019-07-11 14:56:49.627182
6,A,阿尔法·罗密欧,阿尔法·罗密欧,ALFA 156(停售),179,2019-07-11 14:56:49.627182
7,A,阿尔法·罗密欧,阿尔法·罗密欧,ALFA GT(停售),401,2019-07-11 14:56:49.627182
8,A,阿斯顿·马丁,阿斯顿·马丁,Rapide,923,2019-07-11 14:56:49.627182
9,A,阿斯顿·马丁,阿斯顿·马丁,V12 Vantage,822,2019-07-11 14:56:49.627182
10,A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,385,2019-07-11 14:56:49.627182
11,A,阿斯顿·马丁,阿斯顿·马丁,Vanquish,386,2019-07-11 14:56:49.627182
12,A,阿斯顿·马丁,阿斯顿·马丁,Virage,2275,2019-07-11 14:56:49.627182
13,A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,3891,2019-07-11 14:56:49.627182
14,A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB9,266,2019-07-11 14:56:49.627182
15,A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,582,2019-07-11 14:56:49.627182
16,A,阿斯顿·马丁,阿斯顿·马丁,V12 Zagato(停售),2846,2019-07-11 14:56:49.627182
17,A,阿斯顿·马丁,阿斯顿·马丁,拉共达Taraf(停售),884,2019-07-11 14:56:49.627182
18,A,安凯客车,安凯客车,宝斯通(停售),2745,2019-07-11 14:56:49.627182
19,A,奥迪,一汽-大众奥迪,奥迪A3,3170,2019-07-11 14:56:49.627182
20,A,奥迪,一汽-大众奥迪,奥迪A4L,692,2019-07-11 14:56:49.627182
21,A,奥迪,一汽-大众奥迪,奥迪A6L,18,2019-07-11 14:56:49.627182
22,A,奥迪,一汽-大众奥迪,奥迪A6L新能源,4526,2019-07-11 14:56:49.627182
23,A,奥迪,一汽-大众奥迪,奥迪Q2L,4871,2019-07-11 14:56:49.627182
24,A,奥迪,一汽-大众奥迪,奥迪Q3,2951,2019-07-11 14:56:49.627182
25,A,奥迪,一汽-大众奥迪,奥迪Q5L,4851,2019-07-11 14:56:49.627182
26,A,奥迪,一汽-大众奥迪,奥迪A4(停售),19,2019-07-11 14:56:49.627182
27,A,奥迪,一汽-大众奥迪,奥迪A6(停售),509,2019-07-11 14:56:49.627182
28,A,奥迪,一汽-大众奥迪,奥迪Q5(停售),812,2019-07-11 14:56:49.627182
29,A,奥迪,Audi Sport,奥迪R8,511,2019-07-11 14:56:49.627182
