省级区域代码,省,拼音,省ID,市级区域代码,市,拼音,市ID,城市级别
A,安徽,anhui,340000,H,合肥,hefei,340100,2
A,安徽,anhui,340000,W,芜湖,wuhu,340200,3
A,安徽,anhui,340000,B,蚌埠,bangbu,340300,3
A,安徽,anhui,340000,H,淮南,huainan,340400,3
A,安徽,anhui,340000,M,马鞍山,maanshan,340500,3
A,安徽,anhui,340000,H,淮北,huaibei,340600,3
A,安徽,anhui,340000,T,铜陵,tongling,340700,3
A,安徽,anhui,340000,A,安庆,anqing,340800,3
A,安徽,anhui,340000,H,黄山,huangshan,341000,3
A,安徽,anhui,340000,C,滁州,chuzhou,341100,3
A,安徽,anhui,340000,F,阜阳,fu_yang,341200,3
A,安徽,anhui,340000,S,宿州,su_zhou,341300,3
A,安徽,anhui,340000,L,六安,liuan,341500,3
A,安徽,anhui,340000,B,亳州,bozhou,341600,3
A,安徽,anhui,340000,C,池州,chizhou,341700,3
A,安徽,anhui,340000,X,宣城,xuancheng,341800,3
B,北京,beijing,110000,B,北京,beijing,110100,1
C,重庆,chongqing,500000,C,重庆,chongqing,500100,2
F,福建,fujian,350000,F,福州,fuzhou,350100,2
F,福建,fujian,350000,X,厦门,xiamen,350200,2
F,福建,fujian,350000,Q,泉州,quanzhou,350500,2
F,福建,fujian,350000,P,莆田,putian,350300,3
F,福建,fujian,350000,S,三明,sanming,350400,3
F,福建,fujian,350000,Z,漳州,zhangzhou,350600,3
F,福建,fujian,350000,N,南平,nanping,350700,3
F,福建,fujian,350000,L,龙岩,longyan,350800,3
F,福建,fujian,350000,N,宁德,ningde,350900,3
G,广东,guangdong,440000,G,广州,guangzhou,440100,1
G,广东,guangdong,440000,S,深圳,shenzhen,440300,1
G,广东,guangdong,440000,F,佛山,foshan,440600,2
G,广东,guangdong,440000,H,惠州,huizhou,441300,2
G,广东,guangdong,440000,D,东莞,dongguan,441900,2
G,广东,guangdong,440000,Z,中山,zhongshan,442000,2
G,广东,guangdong,440000,S,韶关,shaoguan,440200,3
G,广东,guangdong,440000,Z,珠海,zhuhai,440400,3
G,广东,guangdong,440000,S,汕头,shantou,440500,3
G,广东,guangdong,440000,J,江门,jiangmen,440700,3
G,广东,guangdong,440000,Z,湛江,zhanjiang,440800,3
G,广东,guangdong,440000,M,茂名,maoming,440900,3
G,广东,guangdong,440000,Z,肇庆,zhaoqing,441200,3
G,广东,guangdong,440000,M,梅州,meizhou,441400,3
G,广东,guangdong,440000,S,汕尾,shanwei,441500,3
G,广东,guangdong,440000,H,河源,heyuan,441600,3
