品牌索引,品牌名称,车系名称,车型,汽车型号,气缸数,气缸排列形式,气门数,变速箱,排量,环保标准,上市时间,能源类型,燃油标号,整车质保,座位数（个）,后悬架类型,驻车制动类型,时间
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 精英版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,2018.08,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:49.324702
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国V,2017.03,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:49.670488
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国V,2017.05,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 12:28:49.878360
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 精英版,4,L,4,8挡手自一体,2.0,国V,2017.03,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:50.075238
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 豪华版,4,L,4,8挡手自一体,2.0,国V,2017.03,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:50.316098
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 豪华版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,2018.08,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:50.584644
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,2018.08,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:50.838487
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华运动版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,2018.08,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:51.041364
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP NRING纽博格林限量版,4,V,4,8挡手自一体,2.9,国VI,2019.07,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 12:28:51.228310
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.0T 280HP Black Package黑标限量版,4,L,4,8挡手自一体,2.0,国VI,2019.07,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:51.574177
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华运动版,4,L,4,8挡手自一体,2.0,国V,2017.03,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:51.785752
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国VI,2019.07,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:51.976632
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国VI,2019.07,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 12:28:52.196493
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP F1限量版,4,V,4,8挡手自一体,2.9,国VI,2019.07,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 12:28:52.376382
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 精英版,4,L,4,8挡手自一体,2.0,国V,2017.06,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:53.043468
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国V,2017.06,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:53.317299
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 豪华版,4,L,4,8挡手自一体,2.0,国V,2017.06,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:53.538939
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2018款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国V,2018.04,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:53.855769
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP NRING纽博格林限量版,4,V,4,8挡手自一体,2.9,国VI,2019.07,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:54.087629
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP F1限量版,4,V,4,8挡手自一体,2.9,国VI,2019.07,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:54.330609
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.0T 280HP Black Package黑标限量版,4,L,4,8挡手自一体,2.0,国VI,2019.07,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:54.528484
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国VI,2019.07,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:28:54.755343
