品牌索引,品牌名称,车系名称,车型,汽车型号,气缸数,气缸排列形式,气门数,变速箱,排量,环保标准,上市时间,能源类型,燃油标号,整车质保,座位数（个）,后悬架类型,驻车制动类型,时间
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP F1限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 08:51:36.195738
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP NRING纽博格林限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 08:51:36.430115
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 豪华版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:36.617606
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国V,国V,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 08:51:36.836343
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:37.023838
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:37.242591
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.0T 280HP Black Package黑标限量版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:37.445698
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 精英版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:37.930056
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华运动版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:38.133173
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-27 08:51:38.289418
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华运动版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:38.773774
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 精英版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:38.992516
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:39.211261
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:39.430002
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP NRING纽博格林限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:40.039358
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:40.211225
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:40.398728
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:51:40.570589
