品牌索引,品牌名称,车系名称,品牌ID,车系ID,汽车型号,发动机型号,气缸数,气缸排列形式,气门数,排量,环保标准,燃料形式,燃油标号,变速箱,上市时间,整车质保,座位数（个）
A,AC Schnitzer,AC Schnitzer,117,3895,AC Schnitzer M3 2015款 ACS3 sport 109.00万,S55B30,6,L,4,2979,V,汽油,95,7挡双离合,2015.1,待查,5
A,AC Schnitzer,AC Schnitzer,117,2097,AC Schnitzer X5 2015款 ACS35 35i 110.00万,N55B30,6,L,4,2979,V,汽油,95,8挡手自一体,2015.1,待查,5
A,ALPINA,ALPINA,276,4212,ALPINA B4 2016款 B4 BITURBO Coupe 109.80万,N55R30A,6,L,4,2979,VI,汽油,95,8挡手自一体,2016.11,三10万公里,4
A,阿尔法·罗密欧,阿尔法·罗密欧,34,3825,Giulia 2019款 2.0T 280HP 37.98万,,4,L,4,1995,VI,汽油,92,8挡手自一体,2019.07,三,5
A,阿尔法·罗密欧,阿尔法·罗密欧,34,3825,Giulia 2019款 2.0T 280HP Black Package黑标限量 39.48万,,4,L,4,1995,VI,汽油,92,8挡手自一体,2019.07,三,5
A,阿尔法·罗密欧,阿尔法·罗密欧,34,3825,Giulia 2019款 2.9T 510HP 四叶草 94.98万,,6,V,4,2891,VI,汽油,92,8挡手自一体,2019.07,三,4
A,阿尔法·罗密欧,阿尔法·罗密欧,34,3825,Giulia 2019款 2.9T 510HP NRING纽博格林限量 119.98万,,6,V,4,2891,VI,汽油,92,8挡手自一体,2019.07,三,4
A,阿尔法·罗密欧,阿尔法·罗密欧,34,3825,Giulia 2019款 2.9T 510HP F1限量 125.98万,,6,V,4,2891,VI,汽油,92,8挡手自一体,2019.07,三,4
A,阿尔法·罗密欧,阿尔法·罗密欧,34,4196,Stelvio 2019款 2.0T 280HP 45.68万,,4,L,4,1995,VI,汽油,92,8挡手自一体,2019.07,三,5
A,阿尔法·罗密欧,阿尔法·罗密欧,34,4196,Stelvio 2019款 2.0T 280HP Black Package黑标限量 47.18万,,4,L,4,1995,VI,汽油,92,8挡手自一体,2019.07,三,5
A,阿尔法·罗密欧,阿尔法·罗密欧,34,4196,Stelvio 2019款 2.9T 510HP 四叶草 96.98万,,6,V,4,2891,VI,汽油,92,8挡手自一体,2019.07,三,5
A,阿尔法·罗密欧,阿尔法·罗密欧,34,4196,Stelvio 2019款 2.9T 510HP NRING纽博格林限量 121.98万,,6,V,4,2891,VI,汽油,92,8挡手自一体,2019.07,三,5
A,阿尔法·罗密欧,阿尔法·罗密欧,34,4196,Stelvio 2019款 2.9T 510HP F1限量 127.98万,,6,V,4,2891,VI,汽油,92,8挡手自一体,2019.07,三,5
A,阿斯顿·马丁,阿斯顿·马丁,35,385,V8 Vantage 2018款 4.0T V8 181.80万,177950,8,V,4,3982,V,汽油,95,8挡手自一体,2017.11,三,2
A,阿斯顿·马丁,阿斯顿·马丁,35,386,Vanquish 2017款 6.0L S Coupe 399.80万,,12,V,4,5935,V,汽油,95,8挡手自一体,2017.07,三,2
A,阿斯顿·马丁,阿斯顿·马丁,35,386,Vanquish 2017款 6.0L S Volante 409.80万,,12,V,4,5935,V,汽油,95,8挡手自一体,2017.07,三,2
A,阿斯顿·马丁,阿斯顿·马丁,35,3891,·DB11 2019款 4.0T V8 Coupe 220.80万,177950,8,V,4,3982,V,汽油,95,8挡手自一体,2017.1,三,4
A,阿斯顿·马丁,阿斯顿·马丁,35,3891,·DB11 2019款 4.0T V8 Volante 230.80万,177950,8,V,4,3982,V,汽油,95,8挡手自一体,2017.1,三,4
A,阿斯顿·马丁,阿斯顿·马丁,35,3891,·DB11 2019款 5.2T V12 Coupe 279.80万,,12,V,4,5204,V,汽油,95,8挡手自一体,2017.1,三,4
A,阿斯顿·马丁,阿斯顿·马丁,35,582,·DBS 2019款 DBS Superleggera 366.80万,,12,V,4,,VI,汽油,95,8挡手自一体,2018.06,待查,4
A,阿斯顿·马丁,阿斯顿·马丁,35,582,·DBS 2019款 DBS Superleggera Volante 376.80万,,12,V,4,,VI,汽油,95,8挡手自一体,2019.04,待查,4
A,阿斯顿·马丁,阿斯顿·马丁,35,2846,V12 Zagato 2012款 6.0L Zagato 1200.00万,,12,V,4,5935,IV,汽油,95,6挡手动,2013.02,三,2
A,奥迪,一汽-大众奥迪,33,3170,A3 2019款 Sportback 35 TFSI 进取型 V 18.86万,,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
