品牌索引,品牌名称,车系名称,车型,汽车型号,前轮胎规格,后轮胎规格,时间
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华版,225/45R18,225/45R18,08:04.0
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP NRING纽博格林限量版,245/35R19,285/30R19,08:04.2
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 豪华版,225/45R18,225/45R18,08:04.2
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 精英版,225/50R17,225/50R17,08:04.3
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 精英版 碳纤维限量版,225/50R17,225/50R17,08:04.4
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.9T 510HP 四叶草版,245/35R19,285/30R19,08:04.5
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华运动版,225/45R18,225/45R18,08:10.1
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华运动版 碳纤维限量版,225/45R18,225/45R18,08:10.2
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP 四叶草版,245/35R19,285/30R19,08:10.3
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP F1限量版,245/35R19,285/30R19,08:10.4
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 豪华版 碳纤维限量版,225/45R18,225/45R18,08:10.5
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.0T 280HP 豪华版,225/45R18,225/45R18,08:10.6
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华版 碳纤维限量版,225/45R18,225/45R18,08:15.7
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP NRING纽博格林限量版,255/45R20,285/40R20,08:16.3
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2018款 2.9T 510HP 四叶草版,255/45R20,285/40R20,08:16.4
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP 四叶草版,255/45R20,285/40R20,08:16.5
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 豪华版,235/55R19,235/55R19,08:16.6
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.0T 280HP 豪华版,235/55R19,235/55R19,08:16.7
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 280HP 豪华版,235/55R19,235/55R19,08:16.7
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 精英版,235/60R18,235/60R18,08:16.8
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP F1限量版,255/45R20,285/40R20,08:16.9
A,阿斯顿·马丁,阿斯顿·马丁,Rapide,2017款 6.0L S,245/40R20,295/35R20,08:19.1
A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2018款 4.0T V8,255/40R20,295/35R20,08:19.6
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Coupe,255/40R20,295/35R20,08:20.3
