2019-06-16 04:15:34,102 | Spider | INFO  | 程序启动中...
2019-06-16 04:15:45,781 | Spider | INFO  | 开始登录,请等待页面加载完成后,扫码登录...
2019-06-16 04:15:53,179 | Spider | INFO  | 等待扫码中...
2019-06-16 04:15:55,190 | Spider | INFO  | 等待扫码中...
2019-06-16 04:15:57,222 | Spider | INFO  | 等待扫码中...
2019-06-16 04:16:00,250 | Spider | INFO  | 登录成功
2019-06-16 04:16:00,257 | Spider | INFO  | 程序开始时间：2019-06-16 04:16:00.256578
2019-06-16 04:16:00,257 | Spider | INFO  | 开始获取出售中的商品信息...
2019-06-16 04:16:09,779 | Spider | INFO  | 出售中的商品数量：27
2019-06-16 04:16:09,817 | Spider | INFO  | 出售中的商品总页数：2
2019-06-16 04:16:09,863 | Spider | INFO  | 获取此商家登陆状态的token成功, token:[a0df7343-b963-4b1f-9126-012e1e1e2e98]
2019-06-16 04:16:14,596 | Spider | INFO  | 出售中的商品即将用来匹配Excel中的编号：['596296372471~BD8023', '596296252629~DV1618', '596973543014~DV0195', '596973511082~B22537', '596885811202~BD8023', '596789086538~B37936', '596788778598~AC8419', '596523789298~B28128W YC', '596289888551~DB3011', '596703490338~Q21903', '596703322456~EE6329', '596685978554~FU6684', '596523737006~BB1835', '596523481562~EF2810', '596523161838~B26279', '596885443218~BB8973', '596703754064~B37342', '596703610013~EF2438', '596703542043~BA7325', '596686342067~BB1826', '596685622822~DY0567', '596272416572~852542-3011', '596685722500~B75571', '596272060739~553558-116', '596235148142~CP9654(2018)', '596406749100~DY0572']
2019-06-16 04:16:14,598 | Spider | INFO  | 开始读取excel中待修改的数据...
2019-06-16 04:16:14,603 | Spider | INFO  | 开始读取 ==》X:\project\project\毒APP爬虫\淘宝价格修改\excel/Jordan.xlsx
2019-06-16 04:16:18,743 | Spider | INFO  | X:\project\project\毒APP爬虫\淘宝价格修改\excel/Jordan.xlsx总条数：3029
2019-06-16 04:16:19,088 | Spider | INFO  | 开始读取 ==》X:\project\project\毒APP爬虫\淘宝价格修改\excel/adidas original.xlsx
2019-06-16 04:16:20,266 | Spider | INFO  | X:\project\project\毒APP爬虫\淘宝价格修改\excel/adidas original.xlsx总条数：852
2019-06-16 04:16:20,365 | Spider | INFO  | 开始读取 ==》X:\project\project\毒APP爬虫\淘宝价格修改\excel/Nike.xlsx
2019-06-16 04:16:33,020 | Spider | INFO  | X:\project\project\毒APP爬虫\淘宝价格修改\excel/Nike.xlsx总条数：8449
2019-06-16 04:16:34,083 | Spider | INFO  | 出售中的商品成功匹配excel数据25条
2019-06-16 04:16:34,084 | Spider | INFO  | 开始修改出售中的商品价格...
2019-06-16 04:16:34,181 | Spider | INFO  | 获取商家编码[BD8023], ID[596296372471]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:34,182 | Spider | INFO  | 即将修改商家编码[BD8023], ID[596296372471], 尺码[40]，初始金额[539.00]，Excel金额[539], 增减金额[0], 修改后金额[539.0]的商品信息
2019-06-16 04:16:34,183 | Spider | INFO  | 即将修改商家编码[BD8023], ID[596296372471], 尺码[40.5]，初始金额[539.00]，Excel金额[539], 增减金额[0], 修改后金额[539.0]的商品信息
2019-06-16 04:16:34,368 | Spider | INFO  | 修改商家编码[BD8023], ID[596296372471]价格成功，请刷新后查看...
