,品牌索引,品牌名称,车系名称,车型,时间
0,A,AC Schnitzer,AC Schnitzer,AC Schnitzer M3,2019-07-08 11:29:30.474563
1,A,AC Schnitzer,AC Schnitzer,AC Schnitzer X5(停售),2019-07-08 11:29:30.474563
2,A,ALPINA,ALPINA,ALPINA B4,2019-07-08 11:29:30.474563
3,A,AUXUN傲旋,车驰汽车,傲旋V-Class,2019-07-08 11:29:30.474563
4,A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019-07-08 11:29:30.474563
5,A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019-07-08 11:29:30.474563
6,A,阿尔法·罗密欧,阿尔法·罗密欧,ALFA 156(停售),2019-07-08 11:29:30.474563
7,A,阿尔法·罗密欧,阿尔法·罗密欧,ALFA GT(停售),2019-07-08 11:29:30.474563
8,A,阿斯顿·马丁,阿斯顿·马丁,Rapide,2019-07-08 11:29:30.474563
9,A,阿斯顿·马丁,阿斯顿·马丁,V12 Vantage,2019-07-08 11:29:30.474563
10,A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2019-07-08 11:29:30.474563
11,A,阿斯顿·马丁,阿斯顿·马丁,Vanquish,2019-07-08 11:29:30.474563
12,A,阿斯顿·马丁,阿斯顿·马丁,Virage,2019-07-08 11:29:30.474563
13,A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019-07-08 11:29:30.474563
14,A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB9,2019-07-08 11:29:30.474563
15,A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,2019-07-08 11:29:30.474563
16,A,阿斯顿·马丁,阿斯顿·马丁,V12 Zagato(停售),2019-07-08 11:29:30.474563
17,A,阿斯顿·马丁,阿斯顿·马丁,拉共达Taraf(停售),2019-07-08 11:29:30.474563
18,A,安凯客车,安凯客车,宝斯通(停售),2019-07-08 11:29:30.474563
19,A,奥迪,一汽-大众奥迪,奥迪A3,2019-07-08 11:29:30.474563
20,A,奥迪,一汽-大众奥迪,奥迪A4L,2019-07-08 11:29:30.474563
21,A,奥迪,一汽-大众奥迪,奥迪A6L,2019-07-08 11:29:30.474563
22,A,奥迪,一汽-大众奥迪,奥迪A6L新能源,2019-07-08 11:29:30.474563
23,A,奥迪,一汽-大众奥迪,奥迪Q2L,2019-07-08 11:29:30.474563
24,A,奥迪,一汽-大众奥迪,奥迪Q3,2019-07-08 11:29:30.474563
25,A,奥迪,一汽-大众奥迪,奥迪Q5L,2019-07-08 11:29:30.474563
26,A,奥迪,一汽-大众奥迪,奥迪A4(停售),2019-07-08 11:29:30.474563
27,A,奥迪,一汽-大众奥迪,奥迪A6(停售),2019-07-08 11:29:30.474563
28,A,奥迪,一汽-大众奥迪,奥迪Q5(停售),2019-07-08 11:29:30.474563
29,A,奥迪,Audi Sport,奥迪R8,2019-07-08 11:29:30.474563
30,A,奥迪,Audi Sport,奥迪RS 3,2019-07-08 11:29:30.474563
31,A,奥迪,Audi Sport,奥迪RS 4,2019-07-08 11:29:30.474563
32,A,奥迪,Audi Sport,奥迪RS 5,2019-07-08 11:29:30.474563
33,A,奥迪,Audi Sport,奥迪RS 6,2019-07-08 11:29:30.474563
34,A,奥迪,Audi Sport,奥迪RS 7,2019-07-08 11:29:30.474563
35,A,奥迪,Audi Sport,奥迪TT RS,2019-07-08 11:29:30.474563
36,A,奥迪,奥迪(进口),奥迪A1,2019-07-08 11:29:30.474563
37,A,奥迪,奥迪(进口),奥迪A3(进口),2019-07-08 11:29:30.474563
38,A,奥迪,奥迪(进口),奥迪A4(进口),2019-07-08 11:29:30.474563
39,A,奥迪,奥迪(进口),奥迪A5,2019-07-08 11:29:30.474563
40,A,奥迪,奥迪(进口),奥迪A6(进口),2019-07-08 11:29:30.474563
41,A,奥迪,奥迪(进口),奥迪A7,2019-07-08 11:29:30.474563
42,A,奥迪,奥迪(进口),奥迪A8,2019-07-08 11:29:30.474563
43,A,奥迪,奥迪(进口),奥迪Q3(进口),2019-07-08 11:29:30.474563
44,A,奥迪,奥迪(进口),奥迪Q5(进口),2019-07-08 11:29:30.474563
45,A,奥迪,奥迪(进口),奥迪Q7,2019-07-08 11:29:30.474563
46,A,奥迪,奥迪(进口),奥迪Q7新能源,2019-07-08 11:29:30.474563
47,A,奥迪,奥迪(进口),奥迪S3,2019-07-08 11:29:30.474563
48,A,奥迪,奥迪(进口),奥迪S4,2019-07-08 11:29:30.474563
49,A,奥迪,奥迪(进口),奥迪S5,2019-07-08 11:29:30.474563
50,A,奥迪,奥迪(进口),奥迪S6,2019-07-08 11:29:30.474563
51,A,奥迪,奥迪(进口),奥迪S7,2019-07-08 11:29:30.474563
52,A,奥迪,奥迪(进口),奥迪S8,2019-07-08 11:29:30.474563
53,A,奥迪,奥迪(进口),奥迪SQ5,2019-07-08 11:29:30.474563
54,A,奥迪,奥迪(进口),奥迪TT,2019-07-08 11:29:30.474563
55,A,奥迪,奥迪(进口),奥迪TTS,2019-07-08 11:29:30.474563
56,A,奥迪,奥迪(进口),奥迪A3新能源(进口)(停售),2019-07-08 11:29:30.474563
57,B,巴博斯,巴博斯,巴博斯 CLS级,2019-07-08 11:29:30.474563
58,B,巴博斯,巴博斯,巴博斯 M级,2019-07-08 11:29:30.474563
59,B,巴博斯,巴博斯,巴博斯 SLK级,2019-07-08 11:29:30.474563
60,B,巴博斯,巴博斯,巴博斯 smart forfour,2019-07-08 11:29:30.474563
61,B,巴博斯,巴博斯,巴博斯 smart fortwo,2019-07-08 11:29:30.474563
62,B,巴博斯,巴博斯,巴博斯 S级,2019-07-08 11:29:30.474563
63,B,宝骏,上汽通用五菱,宝骏310,2019-07-08 11:29:30.474563
64,B,宝骏,上汽通用五菱,宝骏310W,2019-07-08 11:29:30.474563
65,B,宝骏,上汽通用五菱,宝骏360,2019-07-08 11:29:30.474563
66,B,宝骏,上汽通用五菱,宝骏510,2019-07-08 11:29:30.474563
67,B,宝骏,上汽通用五菱,宝骏530,2019-07-08 11:29:30.474563
68,B,宝骏,上汽通用五菱,宝骏560,2019-07-08 11:29:30.474563
69,B,宝骏,上汽通用五菱,宝骏730,2019-07-08 11:29:30.474563
70,B,宝骏,上汽通用五菱,宝骏E100,2019-07-08 11:29:30.474563
71,B,宝骏,上汽通用五菱,宝骏E200,2019-07-08 11:29:30.474563
72,B,宝骏,上汽通用五菱,宝骏RS-5,2019-07-08 11:29:30.474563
73,B,宝骏,上汽通用五菱,宝骏330(停售),2019-07-08 11:29:30.474563
74,B,宝骏,上汽通用五菱,宝骏610(停售),2019-07-08 11:29:30.474563
75,B,宝骏,上汽通用五菱,宝骏630(停售),2019-07-08 11:29:30.474563
76,B,宝骏,上汽通用五菱,乐驰(停售),2019-07-08 11:29:30.474563
77,B,宝马,华晨宝马,宝马1系,2019-07-08 11:29:30.474563
78,B,宝马,华晨宝马,宝马2系旅行车,2019-07-08 11:29:30.474563
79,B,宝马,华晨宝马,宝马3系,2019-07-08 11:29:30.474563
80,B,宝马,华晨宝马,宝马5系,2019-07-08 11:29:30.474563
81,B,宝马,华晨宝马,宝马5系新能源,2019-07-08 11:29:30.474563
82,B,宝马,华晨宝马,宝马X1,2019-07-08 11:29:30.474563
83,B,宝马,华晨宝马,宝马X1新能源,2019-07-08 11:29:30.474563
84,B,宝马,华晨宝马,宝马X3,2019-07-08 11:29:30.474563
85,B,宝马,宝马(进口),宝马1系(进口),2019-07-08 11:29:30.474563
86,B,宝马,宝马(进口),宝马2系,2019-07-08 11:29:30.474563
87,B,宝马,宝马(进口),宝马2系多功能旅行车,2019-07-08 11:29:30.474563
88,B,宝马,宝马(进口),宝马2系旅行车(进口),2019-07-08 11:29:30.474563
89,B,宝马,宝马(进口),宝马3系(进口),2019-07-08 11:29:30.474563
90,B,宝马,宝马(进口),宝马3系GT,2019-07-08 11:29:30.474563
91,B,宝马,宝马(进口),宝马4系,2019-07-08 11:29:30.474563
92,B,宝马,宝马(进口),宝马5系(进口),2019-07-08 11:29:30.474563
93,B,宝马,宝马(进口),宝马6系,2019-07-08 11:29:30.474563
94,B,宝马,宝马(进口),宝马6系GT,2019-07-08 11:29:30.474563
95,B,宝马,宝马(进口),宝马7系,2019-07-08 11:29:30.474563
96,B,宝马,宝马(进口),宝马7系新能源,2019-07-08 11:29:30.474563
97,B,宝马,宝马(进口),宝马i3,2019-07-08 11:29:30.474563
98,B,宝马,宝马(进口),宝马i8,2019-07-08 11:29:30.474563
99,B,宝马,宝马(进口),宝马X1(进口),2019-07-08 11:29:30.474563
100,B,宝马,宝马(进口),宝马X2(进口),2019-07-08 11:29:30.474563
101,B,宝马,宝马(进口),宝马X3(进口),2019-07-08 11:29:30.474563
102,B,宝马,宝马(进口),宝马X4,2019-07-08 11:29:30.474563
103,B,宝马,宝马(进口),宝马X5,2019-07-08 11:29:30.474563
104,B,宝马,宝马(进口),宝马X5新能源,2019-07-08 11:29:30.474563
105,B,宝马,宝马(进口),宝马X6,2019-07-08 11:29:30.474563
106,B,宝马,宝马(进口),宝马X7,2019-07-08 11:29:30.474563
107,B,宝马,宝马(进口),宝马Z4,2019-07-08 11:29:30.474563
108,B,宝马,宝马(进口),宝马5系GT(停售),2019-07-08 11:29:30.474563
109,B,宝马,宝马M,宝马M2,2019-07-08 11:29:30.474563
110,B,宝马,宝马M,宝马M3,2019-07-08 11:29:30.474563
111,B,宝马,宝马M,宝马M4,2019-07-08 11:29:30.474563
112,B,宝马,宝马M,宝马M5,2019-07-08 11:29:30.474563
113,B,宝马,宝马M,宝马M6,2019-07-08 11:29:30.474563
114,B,宝马,宝马M,宝马X5 M,2019-07-08 11:29:30.474563
115,B,宝马,宝马M,宝马X6 M,2019-07-08 11:29:30.474563
116,B,宝马,宝马M,宝马1系M(停售),2019-07-08 11:29:30.474563
117,B,宝骐汽车,宝骐汽车,帅骐,2019-07-08 11:29:30.474563
118,B,宝沃,宝沃汽车,宝沃BX5,2019-07-08 11:29:30.474563
119,B,宝沃,宝沃汽车,宝沃BX6,2019-07-08 11:29:30.474563
120,B,宝沃,宝沃汽车,宝沃BX7,2019-07-08 11:29:30.474563
121,B,宝沃,宝沃汽车,宝沃BXi7,2019-07-08 11:29:30.474563
122,B,保时捷,保时捷,Cayenne,2019-07-08 11:29:30.475063
123,B,保时捷,保时捷,Cayenne新能源,2019-07-08 11:29:30.475063
124,B,保时捷,保时捷,Macan,2019-07-08 11:29:30.475063
125,B,保时捷,保时捷,Panamera,2019-07-08 11:29:30.475063
126,B,保时捷,保时捷,Panamera新能源,2019-07-08 11:29:30.475063
127,B,保时捷,保时捷,保时捷718,2019-07-08 11:29:30.475063
128,B,保时捷,保时捷,保时捷911,2019-07-08 11:29:30.475063
129,B,保时捷,保时捷,918 Spyder(停售),2019-07-08 11:29:30.475063
130,B,保时捷,保时捷,Boxster(停售),2019-07-08 11:29:30.475063
131,B,保时捷,保时捷,Cayman(停售),2019-07-08 11:29:30.475063
132,B,北京,北京汽车,北京(BJ)20,2019-07-08 11:29:30.475063
133,B,北京,北京汽车,北京BJ40,2019-07-08 11:29:30.475063
134,B,北京,北京汽车,北京BJ80,2019-07-08 11:29:30.475063
135,B,北京汽车,北京汽车,绅宝D50,2019-07-08 11:29:30.475063
136,B,北京汽车,北京汽车,绅宝D70,2019-07-08 11:29:30.475063
137,B,北京汽车,北京汽车,绅宝X25,2019-07-08 11:29:30.475063
138,B,北京汽车,北京汽车,绅宝X35,2019-07-08 11:29:30.475063
139,B,北京汽车,北京汽车,绅宝X55,2019-07-08 11:29:30.475063
