2019-06-28 17:06:03,792 | Spider | INFO  | 机场航班信息实时监测系统启动中...
2019-06-28 17:06:03,916 | Spider | INFO  | 设备连接成功：[d750dac5]
2019-06-28 17:06:03,918 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-28 17:06:19,429 | Spider | INFO  | 监测账号是否登录...
2019-06-28 17:06:20,331 | Spider | INFO  | 账号已登录!
2019-06-28 17:06:20,625 | Spider | INFO  | 开始监控关注机场
2019-06-28 17:06:23,734 | Spider | INFO  | 监控机场数量：关注机场35
2019-06-28 17:06:25,144 | Spider | INFO  | [昆明长水]：机场航班信息获取中...
2019-06-28 17:06:33,639 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-28 17:06:44,818 | Spider | INFO  | <font color="green">[KA761]航班延误时间计算中...</font>
2019-06-28 17:06:45,061 | Spider | INFO  | KA761 香港 15:15 17:30
2019-06-28 17:06:45,061 | Spider | INFO  | <font color="red">机场[昆明长水]航班号[KA761]出发地[昆明长水]目的地[香港]延误时间[135],不符合条件</font>
2019-06-28 17:06:45,156 | Spider | INFO  | <font color="green">[MU5980]航班延误时间计算中...</font>
2019-06-28 17:06:45,376 | Spider | INFO  | MU5980 上海虹桥 16:00 17:26
2019-06-28 17:06:45,377 | Spider | INFO  | <font color="red">机场[昆明长水]航班号[MU5980]出发地[昆明长水]目的地[上海虹桥]延误时间[86],不符合条件</font>
2019-06-28 17:06:45,419 | Spider | INFO  | <font color="green">[ZH8794]航班延误时间计算中...</font>
2019-06-28 17:06:45,677 | Spider | INFO  | ZH8794 泉州 16:30 17:16
2019-06-28 17:06:45,678 | Spider | INFO  | <font color="red">机场[昆明长水]航班号[ZH8794]出发地[昆明长水]目的地[泉州]延误时间[46],不符合条件</font>
2019-06-28 17:06:45,747 | Spider | INFO  | <font color="green">[MU2775]航班延误时间计算中...</font>
2019-06-28 17:06:46,031 | Spider | INFO  | MU2775 淮安 16:35 17:20
