2019-06-26 16:12:33,241 | Spider | INFO  | 机场航班信息实时监测系统启动中...
2019-06-26 16:12:33,336 | Spider | INFO  | 设备连接成功：[d750dac5]
2019-06-26 16:12:33,339 | Spider | INFO  | 读取航班记录成功!
2019-06-26 16:12:50,680 | Spider | INFO  | 开始监控关注机场
2019-06-26 16:12:53,213 | Spider | INFO  | 监控机场数量：关注机场35
2019-06-26 16:12:53,391 | Spider | INFO  | [昆明长水]：机场航班信息获取中...
2019-06-26 16:13:04,697 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:13:05,025 | Spider | INFO  | <font color="green">[DR5025]航班延误时间计算中...</font>
2019-06-26 16:13:05,028 | Spider | INFO  | 读取航班记录成功!
2019-06-26 16:13:08,260 | Spider | INFO  | <font color="red">读取航班时间失败!重试[1]...</font>
2019-06-26 16:13:08,556 | Spider | INFO  | <font color="green">[QV816]航班延误时间计算中...</font>
2019-06-26 16:13:08,557 | Spider | INFO  | 读取航班记录成功!
2019-06-26 16:13:10,150 | Spider | INFO  | <font color="red">读取航班时间失败!重试[2]...</font>
2019-06-26 16:13:10,151 | Spider | INFO  | <font color="red">读取航班时间失败!暂时跳过...</font>
2019-06-26 16:13:13,300 | Spider | INFO  | [北京首都]：机场航班信息获取中...
2019-06-26 16:13:22,754 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:13:23,739 | Spider | INFO  | <font color="green">[CA6601]航班延误时间计算中...</font>
2019-06-26 16:13:23,742 | Spider | INFO  | 读取航班记录成功!
2019-06-26 16:13:28,707 | Spider | INFO  | <font color="red">读取航班时间失败!重试[1]...</font>
2019-06-26 16:13:31,872 | Spider | INFO  | <font color="green">[W578]航班延误时间计算中...</font>
2019-06-26 16:13:31,874 | Spider | INFO  | 读取航班记录成功!
2019-06-26 16:13:33,318 | Spider | INFO  | <font color="red">读取航班时间失败!重试[2]...</font>
2019-06-26 16:13:33,318 | Spider | INFO  | <font color="red">读取航班时间失败!暂时跳过...</font>
2019-06-26 16:13:38,767 | Spider | INFO  | [大连]：机场航班信息获取中...
2019-06-26 16:13:40,893 | Spider | INFO  | [大连]机场暂无延误航班,出场延误航班数：0
2019-06-26 16:13:41,067 | Spider | INFO  | [杭州萧山]：机场航班信息获取中...
2019-06-26 16:19:47,803 | Spider | INFO  | 机场航班信息实时监测系统启动中...
2019-06-26 16:19:47,897 | Spider | INFO  | 设备连接成功：[d750dac5]
2019-06-26 16:19:47,898 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:20:02,687 | Spider | INFO  | 开始监控关注机场
2019-06-26 16:20:05,998 | Spider | INFO  | 监控机场数量：关注机场35
2019-06-26 16:20:06,453 | Spider | INFO  | [重庆江北]：机场航班信息获取中...
2019-06-26 16:20:15,812 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:20:16,083 | Spider | INFO  | <font color="green">[CZ8173]航班延误时间计算中...</font>
